species_abbreviation,site_abbreviation,year,date_format,nid_estimated,nid_how,clutch_size,n_nest,comments
BWTE,CGREC - MTORG,2021,ordinal (1 = January 1),162,candling,11,1,"Candled 2 eggs from the nest for nests found while incubating. For nests found at the nestling stage, we determined age based on feather/nestling development."
BWTE,CGREC - MTORG,2021,ordinal (1 = January 1),161,candling,7,1,"Candled 2 eggs from the nest for nests found while incubating. For nests found at the nestling stage, we determined age based on feather/nestling development."
BWTE,CGREC - MTORG,2021,ordinal (1 = January 1),150,candling,9,1,"Candled 2 eggs from the nest for nests found while incubating. For nests found at the nestling stage, we determined age based on feather/nestling development."
MALL,CGREC - MTORG,2021,ordinal (1 = January 1),125,candling,9,1,"Candled 2 eggs from the nest for nests found while incubating. For nests found at the nestling stage, we determined age based on feather/nestling development."
MALL,CGREC - MTORG,2021,ordinal (1 = January 1),141,candling,10,1,"Candled 2 eggs from the nest for nests found while incubating. For nests found at the nestling stage, we determined age based on feather/nestling development."
MALL,CGREC - MTORG,2021,ordinal (1 = January 1),145,candling,10,1,"Candled 2 eggs from the nest for nests found while incubating. For nests found at the nestling stage, we determined age based on feather/nestling development."
MALL,CGREC - MTORG,2021,ordinal (1 = January 1),153,candling,7,1,"Candled 2 eggs from the nest for nests found while incubating. For nests found at the nestling stage, we determined age based on feather/nestling development."
MALL,CGREC - MTORG,2021,ordinal (1 = January 1),164,candling,9,1,"Candled 2 eggs from the nest for nests found while incubating. For nests found at the nestling stage, we determined age based on feather/nestling development."
MALL,CGREC - MTORG,2021,ordinal (1 = January 1),159,candling,8,1,"Candled 2 eggs from the nest for nests found while incubating. For nests found at the nestling stage, we determined age based on feather/nestling development."
NSHO,CGREC - MTORG,2021,ordinal (1 = January 1),137,candling,9,1,"Candled 2 eggs from the nest for nests found while incubating. For nests found at the nestling stage, we determined age based on feather/nestling development."
RWBL,CGREC - MTORG,2021,ordinal (1 = January 1),157,candling,4,1,"Candled 2 eggs from the nest for nests found while incubating. For nests found at the nestling stage, we determined age based on feather/nestling development."
BRBL,CGREC - NA,2021,ordinal (1 = January 1),156,candling,4,1,"Candled 2 eggs from the nest for nests found while incubating. For nests found at the nestling stage, we determined age based on feather/nestling development."
BRBL,CGREC - MTORG,2021,ordinal (1 = January 1),140,candling,2,1,"Candled 2 eggs from the nest for nests found while incubating. For nests found at the nestling stage, we determined age based on feather/nestling development."
BRBL,CGREC - MTORG,2021,ordinal (1 = January 1),155,candling,2,1,"Candled 2 eggs from the nest for nests found while incubating. For nests found at the nestling stage, we determined age based on feather/nestling development."
BRBL,CGREC - MTORG,2021,ordinal (1 = January 1),163,candling,4,1,"Candled 2 eggs from the nest for nests found while incubating. For nests found at the nestling stage, we determined age based on feather/nestling development."
BRBL,CGREC - MTORG,2021,ordinal (1 = January 1),156,candling,4,1,"Candled 2 eggs from the nest for nests found while incubating. For nests found at the nestling stage, we determined age based on feather/nestling development."
BRBL,CGREC - MTORG,2021,ordinal (1 = January 1),154,candling,3,1,"Candled 2 eggs from the nest for nests found while incubating. For nests found at the nestling stage, we determined age based on feather/nestling development."
BRBL,CGREC - MTORG,2021,ordinal (1 = January 1),163,candling,4,1,"Candled 2 eggs from the nest for nests found while incubating. For nests found at the nestling stage, we determined age based on feather/nestling development."
BRBL,CGREC - MTORG,2021,ordinal (1 = January 1),157,candling,2,1,"Candled 2 eggs from the nest for nests found while incubating. For nests found at the nestling stage, we determined age based on feather/nestling development."
WEME,CGREC - MTORG,2021,ordinal (1 = January 1),176,candling,3,1,"Candled 2 eggs from the nest for nests found while incubating. For nests found at the nestling stage, we determined age based on feather/nestling development."
WEME,CGREC - MTORG,2021,ordinal (1 = January 1),137,candling,3,1,"Candled 2 eggs from the nest for nests found while incubating. For nests found at the nestling stage, we determined age based on feather/nestling development."
WEME,CGREC - MTORG,2021,ordinal (1 = January 1),169,candling,4,1,"Candled 2 eggs from the nest for nests found while incubating. For nests found at the nestling stage, we determined age based on feather/nestling development."
NOPI,CGREC - MTORG,2021,ordinal (1 = January 1),130,candling,8,1,"Candled 2 eggs from the nest for nests found while incubating. For nests found at the nestling stage, we determined age based on feather/nestling development."
NOPI,CGREC - MTORG,2021,ordinal (1 = January 1),128,candling,8,1,"Candled 2 eggs from the nest for nests found while incubating. For nests found at the nestling stage, we determined age based on feather/nestling development."
NOPI,CGREC - MTORG,2021,ordinal (1 = January 1),156,candling,8,1,"Candled 2 eggs from the nest for nests found while incubating. For nests found at the nestling stage, we determined age based on feather/nestling development."
NOPI,CGREC - MTORG,2021,ordinal (1 = January 1),159,candling,7,1,"Candled 2 eggs from the nest for nests found while incubating. For nests found at the nestling stage, we determined age based on feather/nestling development."
NOPI,CGREC - MTORG,2021,ordinal (1 = January 1),152,candling,8,1,"Candled 2 eggs from the nest for nests found while incubating. For nests found at the nestling stage, we determined age based on feather/nestling development."
NOPI,CGREC - MTORG,2021,ordinal (1 = January 1),133,candling,9,1,"Candled 2 eggs from the nest for nests found while incubating. For nests found at the nestling stage, we determined age based on feather/nestling development."
NOPI,CGREC - MTORG,2021,ordinal (1 = January 1),154,candling,8,1,"Candled 2 eggs from the nest for nests found while incubating. For nests found at the nestling stage, we determined age based on feather/nestling development."
NOPI,CGREC - MTORG,2021,ordinal (1 = January 1),136,candling,7,1,"Candled 2 eggs from the nest for nests found while incubating. For nests found at the nestling stage, we determined age based on feather/nestling development."
NOPI,CGREC - MTORG,2021,ordinal (1 = January 1),155,candling,8,1,"Candled 2 eggs from the nest for nests found while incubating. For nests found at the nestling stage, we determined age based on feather/nestling development."
NOPI,CGREC - MTORG,2021,ordinal (1 = January 1),139,candling,7,1,"Candled 2 eggs from the nest for nests found while incubating. For nests found at the nestling stage, we determined age based on feather/nestling development."
CCSP,CGREC - MTORG,2021,ordinal (1 = January 1),153,candling,1,1,"Candled 2 eggs from the nest for nests found while incubating. For nests found at the nestling stage, we determined age based on feather/nestling development."
CCSP,CGREC - MTORG,2021,ordinal (1 = January 1),153,candling,4,1,"Candled 2 eggs from the nest for nests found while incubating. For nests found at the nestling stage, we determined age based on feather/nestling development."
CCSP,CGREC - MTORG,2021,ordinal (1 = January 1),155,candling,4,1,"Candled 2 eggs from the nest for nests found while incubating. For nests found at the nestling stage, we determined age based on feather/nestling development."
CCSP,CGREC - MTORG,2021,ordinal (1 = January 1),164,candling,2,1,"Candled 2 eggs from the nest for nests found while incubating. For nests found at the nestling stage, we determined age based on feather/nestling development."
CCSP,CGREC - MTORG,2021,ordinal (1 = January 1),180,candling,2,1,"Candled 2 eggs from the nest for nests found while incubating. For nests found at the nestling stage, we determined age based on feather/nestling development."
CCSP,CGREC - MTORG,2021,ordinal (1 = January 1),155,candling,4,1,"Candled 2 eggs from the nest for nests found while incubating. For nests found at the nestling stage, we determined age based on feather/nestling development."
CCSP,CGREC - MTORG,2021,ordinal (1 = January 1),149,candling,3,1,"Candled 2 eggs from the nest for nests found while incubating. For nests found at the nestling stage, we determined age based on feather/nestling development."
CCSP,CGREC - MTORG,2021,ordinal (1 = January 1),154,candling,4,1,"Candled 2 eggs from the nest for nests found while incubating. For nests found at the nestling stage, we determined age based on feather/nestling development."
CCSP,CGREC - MTORG,2021,ordinal (1 = January 1),144,candling,2,1,"Candled 2 eggs from the nest for nests found while incubating. For nests found at the nestling stage, we determined age based on feather/nestling development."
CCSP,CGREC - MTORG,2021,ordinal (1 = January 1),145,candling,1,1,"Candled 2 eggs from the nest for nests found while incubating. For nests found at the nestling stage, we determined age based on feather/nestling development."
CCSP,CGREC - MTORG,2021,ordinal (1 = January 1),144,candling,3,1,"Candled 2 eggs from the nest for nests found while incubating. For nests found at the nestling stage, we determined age based on feather/nestling development."
CCSP,CGREC - MTORG,2021,ordinal (1 = January 1),156,candling,2,1,"Candled 2 eggs from the nest for nests found while incubating. For nests found at the nestling stage, we determined age based on feather/nestling development."
CCSP,CGREC - MTORG,2021,ordinal (1 = January 1),139,candling,4,1,"Candled 2 eggs from the nest for nests found while incubating. For nests found at the nestling stage, we determined age based on feather/nestling development."
CCSP,CGREC - MTORG,2021,ordinal (1 = January 1),145,candling,4,1,"Candled 2 eggs from the nest for nests found while incubating. For nests found at the nestling stage, we determined age based on feather/nestling development."
CCSP,CGREC - MTORG,2021,ordinal (1 = January 1),142,candling,4,2,"Candled 2 eggs from the nest for nests found while incubating. For nests found at the nestling stage, we determined age based on feather/nestling development."
CCSP,CGREC - MTORG,2021,ordinal (1 = January 1),178,candling,4,1,"Candled 2 eggs from the nest for nests found while incubating. For nests found at the nestling stage, we determined age based on feather/nestling development."
CCSP,CGREC - MTORG,2021,ordinal (1 = January 1),162,candling,4,3,"Candled 2 eggs from the nest for nests found while incubating. For nests found at the nestling stage, we determined age based on feather/nestling development."
CCSP,CGREC - MTORG,2021,ordinal (1 = January 1),173,candling,2,1,"Candled 2 eggs from the nest for nests found while incubating. For nests found at the nestling stage, we determined age based on feather/nestling development."
CCSP,CGREC - MTORG,2021,ordinal (1 = January 1),173,candling,1,1,"Candled 2 eggs from the nest for nests found while incubating. For nests found at the nestling stage, we determined age based on feather/nestling development."
CCSP,CGREC - MTORG,2021,ordinal (1 = January 1),141,candling,1,1,"Candled 2 eggs from the nest for nests found while incubating. For nests found at the nestling stage, we determined age based on feather/nestling development."
CCSP,CGREC - MTORG,2021,ordinal (1 = January 1),145,candling,5,1,"Candled 2 eggs from the nest for nests found while incubating. For nests found at the nestling stage, we determined age based on feather/nestling development."
CCSP,CGREC - MTORG,2021,ordinal (1 = January 1),143,candling,5,1,"Candled 2 eggs from the nest for nests found while incubating. For nests found at the nestling stage, we determined age based on feather/nestling development."
CCSP,CGREC - MTORG,2021,ordinal (1 = January 1),167,candling,4,1,"Candled 2 eggs from the nest for nests found while incubating. For nests found at the nestling stage, we determined age based on feather/nestling development."
CCSP,CGREC - MTORG,2021,ordinal (1 = January 1),156,candling,4,1,"Candled 2 eggs from the nest for nests found while incubating. For nests found at the nestling stage, we determined age based on feather/nestling development."
CCSP,CGREC - MTORG,2021,ordinal (1 = January 1),141,candling,3,2,"Candled 2 eggs from the nest for nests found while incubating. For nests found at the nestling stage, we determined age based on feather/nestling development."
CCSP,CGREC - MTORG,2021,ordinal (1 = January 1),149,candling,4,1,"Candled 2 eggs from the nest for nests found while incubating. For nests found at the nestling stage, we determined age based on feather/nestling development."
CCSP,CGREC - MTORG,2021,ordinal (1 = January 1),141,candling,4,3,"Candled 2 eggs from the nest for nests found while incubating. For nests found at the nestling stage, we determined age based on feather/nestling development."
CCSP,CGREC - MTORG,2021,ordinal (1 = January 1),145,candling,4,3,"Candled 2 eggs from the nest for nests found while incubating. For nests found at the nestling stage, we determined age based on feather/nestling development."
CCSP,CGREC - MTORG,2021,ordinal (1 = January 1),173,candling,4,1,"Candled 2 eggs from the nest for nests found while incubating. For nests found at the nestling stage, we determined age based on feather/nestling development."
CCSP,CGREC - MTORG,2021,ordinal (1 = January 1),177,candling,3,1,"Candled 2 eggs from the nest for nests found while incubating. For nests found at the nestling stage, we determined age based on feather/nestling development."
CCSP,CGREC - MTORG,2021,ordinal (1 = January 1),148,candling,4,1,"Candled 2 eggs from the nest for nests found while incubating. For nests found at the nestling stage, we determined age based on feather/nestling development."
CCSP,CGREC - MTORG,2021,ordinal (1 = January 1),185,candling,3,1,"Candled 2 eggs from the nest for nests found while incubating. For nests found at the nestling stage, we determined age based on feather/nestling development."
CCSP,CGREC - MTORG,2021,ordinal (1 = January 1),151,candling,4,1,"Candled 2 eggs from the nest for nests found while incubating. For nests found at the nestling stage, we determined age based on feather/nestling development."
CCSP,CGREC - MTORG,2021,ordinal (1 = January 1),147,candling,4,1,"Candled 2 eggs from the nest for nests found while incubating. For nests found at the nestling stage, we determined age based on feather/nestling development."
CCSP,CGREC - MTORG,2021,ordinal (1 = January 1),145,candling,3,1,"Candled 2 eggs from the nest for nests found while incubating. For nests found at the nestling stage, we determined age based on feather/nestling development."
CCSP,CGREC - MTORG,2021,ordinal (1 = January 1),183,candling,3,1,"Candled 2 eggs from the nest for nests found while incubating. For nests found at the nestling stage, we determined age based on feather/nestling development."
CCSP,CGREC - MTORG,2021,ordinal (1 = January 1),184,candling,3,1,"Candled 2 eggs from the nest for nests found while incubating. For nests found at the nestling stage, we determined age based on feather/nestling development."
CCSP,CGREC - MTORG,2021,ordinal (1 = January 1),146,candling,5,1,"Candled 2 eggs from the nest for nests found while incubating. For nests found at the nestling stage, we determined age based on feather/nestling development."
CCSP,CGREC - MTORG,2021,ordinal (1 = January 1),142,candling,4,2,"Candled 2 eggs from the nest for nests found while incubating. For nests found at the nestling stage, we determined age based on feather/nestling development."
CCSP,CGREC - MTORG,2021,ordinal (1 = January 1),142,candling,2,1,"Candled 2 eggs from the nest for nests found while incubating. For nests found at the nestling stage, we determined age based on feather/nestling development."
CCSP,CGREC - MTORG,2021,ordinal (1 = January 1),151,candling,4,1,"Candled 2 eggs from the nest for nests found while incubating. For nests found at the nestling stage, we determined age based on feather/nestling development."
CCSP,CGREC - MTORG,2021,ordinal (1 = January 1),158,candling,4,1,"Candled 2 eggs from the nest for nests found while incubating. For nests found at the nestling stage, we determined age based on feather/nestling development."
CCSP,CGREC - MTORG,2021,ordinal (1 = January 1),145,candling,4,1,"Candled 2 eggs from the nest for nests found while incubating. For nests found at the nestling stage, we determined age based on feather/nestling development."
CCSP,CGREC - MTORG,2021,ordinal (1 = January 1),155,candling,4,1,"Candled 2 eggs from the nest for nests found while incubating. For nests found at the nestling stage, we determined age based on feather/nestling development."
CCSP,CGREC - MTORG,2021,ordinal (1 = January 1),137,candling,4,1,"Candled 2 eggs from the nest for nests found while incubating. For nests found at the nestling stage, we determined age based on feather/nestling development."
CCSP,CGREC - MTORG,2021,ordinal (1 = January 1),143,candling,4,1,"Candled 2 eggs from the nest for nests found while incubating. For nests found at the nestling stage, we determined age based on feather/nestling development."
CCSP,CGREC - MTORG,2021,ordinal (1 = January 1),144,candling,4,2,"Candled 2 eggs from the nest for nests found while incubating. For nests found at the nestling stage, we determined age based on feather/nestling development."
CCSP,CGREC - MTORG,2021,ordinal (1 = January 1),194,candling,4,1,"Candled 2 eggs from the nest for nests found while incubating. For nests found at the nestling stage, we determined age based on feather/nestling development."
CCSP,CGREC - MTORG,2021,ordinal (1 = January 1),144,candling,2,1,"Candled 2 eggs from the nest for nests found while incubating. For nests found at the nestling stage, we determined age based on feather/nestling development."
UPSA,CGREC - MTORG,2021,ordinal (1 = January 1),174,candling/back dating,4,1,"Since eggs were often hard to see through, we would estimate the age by candling 2 eggs and back date based on hatch date to ensure accurate estimation."
GRSP,CGREC - MTORG,2021,ordinal (1 = January 1),198,candling,3,1,"Candled 2 eggs from the nest for nests found while incubating. For nests found at the nestling stage, we determined age based on feather/nestling development."
GRSP,CGREC - MTORG,2021,ordinal (1 = January 1),177,candling,2,1,"Candled 2 eggs from the nest for nests found while incubating. For nests found at the nestling stage, we determined age based on feather/nestling development."
GRSP,CGREC - MTORG,2021,ordinal (1 = January 1),166,candling,5,1,"Candled 2 eggs from the nest for nests found while incubating. For nests found at the nestling stage, we determined age based on feather/nestling development."
DICK,CGREC - MTORG,2021,ordinal (1 = January 1),172,candling,1,1,"Candled 2 eggs from the nest for nests found while incubating. For nests found at the nestling stage, we determined age based on feather/nestling development."
DICK,CGREC - MTORG,2021,ordinal (1 = January 1),168,candling,1,1,"Candled 2 eggs from the nest for nests found while incubating. For nests found at the nestling stage, we determined age based on feather/nestling development."
EAKI,CGREC - MTORG,2021,ordinal (1 = January 1),165,candling,2,1,"Candled 2 eggs from the nest for nests found while incubating. For nests found at the nestling stage, we determined age based on feather/nestling development."
EAKI,CGREC - MTORG,2021,ordinal (1 = January 1),168,candling,2,1,"Candled 2 eggs from the nest for nests found while incubating. For nests found at the nestling stage, we determined age based on feather/nestling development."
EAKI,CGREC - MTORG,2021,ordinal (1 = January 1),177,candling,4,1,"Candled 2 eggs from the nest for nests found while incubating. For nests found at the nestling stage, we determined age based on feather/nestling development."
EAKI,CGREC - MTORG,2021,ordinal (1 = January 1),170,candling,3,1,"Candled 2 eggs from the nest for nests found while incubating. For nests found at the nestling stage, we determined age based on feather/nestling development."
AMWI,CGREC - MTORG,2021,ordinal (1 = January 1),166,candling,8,1,"Candled 2 eggs from the nest for nests found while incubating. For nests found at the nestling stage, we determined age based on feather/nestling development."
GADW,CGREC - MTORG,2021,ordinal (1 = January 1),165,candling,8,1,"Candled 2 eggs from the nest for nests found while incubating. For nests found at the nestling stage, we determined age based on feather/nestling development."
GADW,CGREC - MTORG,2021,ordinal (1 = January 1),164,candling,8,1,"Candled 2 eggs from the nest for nests found while incubating. For nests found at the nestling stage, we determined age based on feather/nestling development."
GADW,CGREC - MTORG,2021,ordinal (1 = January 1),165,candling,8,1,"Candled 2 eggs from the nest for nests found while incubating. For nests found at the nestling stage, we determined age based on feather/nestling development."
GADW,CGREC - MTORG,2021,ordinal (1 = January 1),166,candling,8,1,"Candled 2 eggs from the nest for nests found while incubating. For nests found at the nestling stage, we determined age based on feather/nestling development."
GADW,CGREC - MTORG,2021,ordinal (1 = January 1),174,candling,10,1,"Candled 2 eggs from the nest for nests found while incubating. For nests found at the nestling stage, we determined age based on feather/nestling development."
MALL,CGREC - MTORG,2021,ordinal (1 = January 1),153,candling,10,1,"Candled 2 eggs from the nest for nests found while incubating. For nests found at the nestling stage, we determined age based on feather/nestling development."
GADW,CGREC - MTORG,2021,ordinal (1 = January 1),167,candling,8,1,"Candled 2 eggs from the nest for nests found while incubating. For nests found at the nestling stage, we determined age based on feather/nestling development."
GADW,CGREC - MTORG,2021,ordinal (1 = January 1),166,candling,10,1,"Candled 2 eggs from the nest for nests found while incubating. For nests found at the nestling stage, we determined age based on feather/nestling development."
BOBO,CGREC - MTORG,2021,ordinal (1 = January 1),174,candling,1,1,"Candled 2 eggs from the nest for nests found while incubating. For nests found at the nestling stage, we determined age based on feather/nestling development."
BOBO,CGREC - MTORG,2021,ordinal (1 = January 1),165,candling,1,1,"Candled 2 eggs from the nest for nests found while incubating. For nests found at the nestling stage, we determined age based on feather/nestling development."
BOBO,CGREC - MTORG,2021,ordinal (1 = January 1),183,candling,2,1,"Candled 2 eggs from the nest for nests found while incubating. For nests found at the nestling stage, we determined age based on feather/nestling development."
BOBO,CGREC - MTORG,2021,ordinal (1 = January 1),165,candling,5,1,"Candled 2 eggs from the nest for nests found while incubating. For nests found at the nestling stage, we determined age based on feather/nestling development."
BOBO,CGREC - MTORG,2021,ordinal (1 = January 1),164,candling,3,1,"Candled 2 eggs from the nest for nests found while incubating. For nests found at the nestling stage, we determined age based on feather/nestling development."
CCLO,CGREC - MTORG,2021,ordinal (1 = January 1),181,candling,3,1,"Candled 2 eggs from the nest for nests found while incubating. For nests found at the nestling stage, we determined age based on feather/nestling development."
CCLO,CGREC - MTORG,2021,ordinal (1 = January 1),158,candling,3,1,"Candled 2 eggs from the nest for nests found while incubating. For nests found at the nestling stage, we determined age based on feather/nestling development."
CCLO,CGREC - MTORG,2021,ordinal (1 = January 1),155,candling,5,1,"Candled 2 eggs from the nest for nests found while incubating. For nests found at the nestling stage, we determined age based on feather/nestling development."
WISN,CGREC - MTORG,2021,ordinal (1 = January 1),156,candling/back dating,4,1,"Since eggs were often hard to see through, we would estimate the age by candling 2 eggs and back date based on hatch date to ensure accurate estimation."
BWTE,CGREC - MTORG,2021,ordinal (1 = January 1),165,candling,9,1,"Candled 2 eggs from the nest for nests found while incubating. For nests found at the nestling stage, we determined age based on feather/nestling development."
BWTE,CGREC - MTORG,2021,ordinal (1 = January 1),151,candling,4,1,"Candled 2 eggs from the nest for nests found while incubating. For nests found at the nestling stage, we determined age based on feather/nestling development."
BWTE,CGREC - MTORG,2021,ordinal (1 = January 1),162,candling,9,1,"Candled 2 eggs from the nest for nests found while incubating. For nests found at the nestling stage, we determined age based on feather/nestling development."
BWTE,CGREC - MTORG,2021,ordinal (1 = January 1),167,candling,9,1,"Candled 2 eggs from the nest for nests found while incubating. For nests found at the nestling stage, we determined age based on feather/nestling development."
BWTE,CGREC - MTORG,2021,ordinal (1 = January 1),152,candling,8,1,"Candled 2 eggs from the nest for nests found while incubating. For nests found at the nestling stage, we determined age based on feather/nestling development."
WILL,CGREC - MTORG,2021,ordinal (1 = January 1),144,candling/back dating,4,1,"Since eggs were often hard to see through, we would estimate the age by candling 2 eggs and back date based on hatch date to ensure accurate estimation."
SAVS,CGREC - MTORG,2021,ordinal (1 = January 1),148,candling,5,1,"Candled 2 eggs from the nest for nests found while incubating. For nests found at the nestling stage, we determined age based on feather/nestling development."
SAVS,CGREC - MTORG,2021,ordinal (1 = January 1),168,candling,5,1,"Candled 2 eggs from the nest for nests found while incubating. For nests found at the nestling stage, we determined age based on feather/nestling development."
YHBL,CGREC - MTORG,2021,ordinal (1 = January 1),158,candling,1,1,"Candled 2 eggs from the nest for nests found while incubating. For nests found at the nestling stage, we determined age based on feather/nestling development."
MALL,CGREC - MTORG,2021,ordinal (1 = January 1),173,candling,11,1,"Candled 2 eggs from the nest for nests found while incubating. For nests found at the nestling stage, we determined age based on feather/nestling development."
