Year,id,X,Y,Spec,Date,Visit.Interval,Expos,Fate,Fate2,FirstFound,Stage,BHCONum,InitBHCO,Clutch,InitClutch,AgeFound,Open,KBG,Smooth.Brome,Litter,Bare,Forb,Grasslike,Woody,Litter.Depth,Veg.Height,R1,R2,R3,R4,Paddock,Replicate,Treatment,Notes
2021,RWBL04655855176955,465585,5176955,RWBL,7/5/2021,4,3,0,Survive,6/23/2021,Nestling,4,4,2,2,3,,0,0,15,0,0,85,0,39,555,3,6,3,3,3,NE,MTORG,
2021,RWBL04655855176955,465585,5176955,RWBL,7/8/2021,5,3,0,Survive,6/23/2021,Nestling,4,4,1,2,3,,0,0,15,0,0,85,0,39,555,3,6,3,3,3,NE,MTORG,RWBL nestling looks stunted
2021,RWBL04655855176955,465585,5176955,RWBL,7/11/2021,6,3,0,Survive,6/23/2021,Nestling,3,4,1,2,3,,0,0,15,0,0,85,0,39,555,3,6,3,3,3,NE,MTORG,
2021,RWBL04655855176955,465585,5176955,RWBL,7/14/2021,7,3,0,Survive,6/23/2021,Nestling,3,4,1,2,3,,0,0,15,0,0,85,0,39,555,3,6,3,3,3,NE,MTORG,briefly passing over female with food and a ouple scolds
2021,RWBL04654585176880,465458,5176880,RWBL,6/26/2021,1,3,0,Survive,6/23/2021,Incubating,6,6,4,3,8,,0,0,3,0,0,98,0,70,1060,7,8,7,8,3,NE,MTORG,
2021,RWBL04654585176880,465458,5176880,RWBL,6/29/2021,2,3,0,Survive,6/23/2021,Nestling,5,6,4,3,8,,0,0,3,0,0,98,0,70,1060,7,8,7,8,3,NE,MTORG,"1 male RWBL perched 20m away, not very agitated"
2021,RWBL04654585176880,465458,5176880,RWBL,7/2/2021,3,3,0,Survive,6/23/2021,Nestling,4,6,4,3,8,,0,0,3,0,0,98,0,70,1060,7,8,7,8,3,NE,MTORG,
2021,RWBL04654585176880,465458,5176880,RWBL,7/5/2021,4,3,1,Failed,6/23/2021,Nestling,4,6,4,3,8,,0,0,3,0,0,98,0,70,1060,7,8,7,8,3,NE,MTORG,no fledglings spotted; female nearby carrying food likely attributed to other successful RWBL nest
2021,RWBL04657055177146,465705,5177146,RWBL,6/29/2021,1,6,0,Survive,6/23/2021,Nestling,1,1,2,2,9,,3,38,38,0,3,15,3,48,860,8,6,6,8,3,NE,MTORG,
2021,RWBL04657055177146,465705,5177146,RWBL,7/2/2021,2,3,0,Survive,6/23/2021,Nestling,1,1,2,2,9,,3,38,38,0,3,15,3,48,860,8,6,6,8,3,NE,MTORG,
2021,RWBL04657055177146,465705,5177146,RWBL,7/5/2021,3,3,0,Survive,6/23/2021,Nestling,1,1,2,2,9,,3,38,38,0,3,15,3,48,860,8,6,6,8,3,NE,MTORG,
2021,RWBL04657055177146,465705,5177146,RWBL,7/8/2021,4,3,0,Survive,6/23/2021,Nestling,1,1,2,2,9,,3,38,38,0,3,15,3,48,860,8,6,6,8,3,NE,MTORG,spotted female RWBL carrying food; male very agitated and dive bombing
2021,RWBL04654775176989,465477,5176989,RWBL,7/5/2021,1,4,0,Survive,7/1/2021,Nestling,0,0,3,3,20,,0,0,15,0,0,85,0,61,810,6,8,11,8,3,NE,MTORG,saw fledgling out of nest; other fledgling still in nest but looked very old
2021,RWBL04656965177032,465696,5177032,RWBL,6/14/2021,1,4,0,Survive,6/10/2021,Nestling,0,0,2,2,7,,0,0,0,15,15,85,0,75,700,6,5,5,5,3,NE,MTORG,
2021,RWBL04656965177032,465696,5177032,RWBL,6/17/2021,2,3,0,Survive,6/10/2021,Nestling,0,0,2,2,7,,0,0,0,15,15,85,0,75,700,6,5,5,5,3,NE,MTORG,
2021,RWBL04656965177032,465696,5177032,RWBL,6/20/2021,3,3,0,Survive,6/10/2021,Nestling,0,0,2,2,7,,0,0,0,15,15,85,0,75,700,6,5,5,5,3,NE,MTORG,
2021,RWBL04656965177032,465696,5177032,RWBL,6/23/2021,4,3,0,Survive,6/10/2021,Nestling,0,0,2,2,7,,0,0,0,15,15,85,0,75,700,6,5,5,5,3,NE,MTORG,
2021,RWBL04656965177032,465696,5177032,RWBL,6/26/2021,5,3,0,Survive,6/10/2021,Nestling,0,0,2,2,7,,0,0,0,15,15,85,0,75,700,6,5,5,5,3,NE,MTORG,agitated parents nearby
2021,MODO04642085175841,464208,5175841,MODO,7/13/2021,1,1,0,Survive,7/12/2021,Incubating,0,0,2,2,5,,38,3,38,15,15,3,15,48,498,2,4,2,2,11,SW,MTORG,
2021,MODO04642085175841,464208,5175841,MODO,7/16/2021,2,3,0,Survive,7/12/2021,Incubating,0,0,2,2,5,,38,3,38,15,15,3,15,48,498,2,4,2,2,11,SW,MTORG,flushed
2021,MODO04642085175841,464208,5175841,MODO,7/19/2021,3,3,0,Survive,7/12/2021,Incubating,0,0,2,2,5,,38,3,38,15,15,3,15,48,498,2,4,2,2,11,SW,MTORG,
2021,MODO04642085175841,464208,5175841,MODO,7/22/2021,4,3,0,Survive,7/12/2021,Nestling,0,0,2,2,5,,38,3,38,15,15,3,15,48,498,2,4,2,2,11,SW,MTORG,
2021,MODO04642085175841,464208,5175841,MODO,7/25/2021,5,3,0,Survive,7/12/2021,Nestling,0,0,2,2,5,,38,3,38,15,15,3,15,48,498,2,4,2,2,11,SW,MTORG,
2021,MODO04642085175841,464208,5175841,MODO,7/28/2021,6,3,0,Survive,7/12/2021,Nestling,0,0,2,2,5,,38,3,38,15,15,3,15,48,498,2,4,2,2,11,SW,MTORG,
2021,MODO04642085175841,464208,5175841,MODO,7/30/2021,7,2,0,Survive,7/12/2021,Nestling,0,0,2,2,5,,38,3,38,15,15,3,15,48,498,2,4,2,2,11,SW,MTORG,
2021,MODO04643105176374,464310,5176374,MODO,6/19/2021,1,1,0,Survive,6/18/2021,Incubating,0,0,2,2,5,,63,3,38,0,3,0,15,115,470,4,2,6,3,12,SW,MTORG,
2021,MODO04643105176374,464310,5176374,MODO,6/22/2021,2,3,0,Survive,6/18/2021,Incubating,0,0,2,2,5,,63,3,38,0,3,0,15,115,470,4,2,6,3,12,SW,MTORG,
2021,MODO04643105176374,464310,5176374,MODO,6/25/2021,3,3,0,Survive,6/18/2021,Nestling,0,0,2,2,5,,63,3,38,0,3,0,15,115,470,4,2,6,3,12,SW,MTORG,flushed
2021,MODO04643105176374,464310,5176374,MODO,6/28/2021,4,3,0,Survive,6/18/2021,Nestling,0,0,2,2,5,,63,3,38,0,3,0,15,115,470,4,2,6,3,12,SW,MTORG,
2021,MODO04643105176374,464310,5176374,MODO,7/1/2021,5,3,0,Survive,6/18/2021,Nestling,0,0,2,2,5,,63,3,38,0,3,0,15,115,470,4,2,6,3,12,SW,MTORG,
2021,MODO04643105176374,464310,5176374,MODO,7/4/2021,6,3,0,Survive,6/18/2021,Nestling,0,0,2,2,5,,63,3,38,0,3,0,15,115,470,4,2,6,3,12,SW,MTORG,flushed mom
2021,MODO04643105176374,464310,5176374,MODO,7/7/2021,7,3,0,Survive,6/18/2021,Nestling,0,0,2,2,5,,63,3,38,0,3,0,15,115,470,4,2,6,3,12,SW,MTORG,small MODO nearby; likely fledglings
2021,MODO04642545176215,464254,5176215,MODO,6/19/2021,1,1,0,Survive,6/18/2021,Nestling,0,0,2,2,20,,63,0,15,38,3,0,15,48,510,4,4,4,5,12,SW,MTORG,
2021,MODO04642545176215,464254,5176215,MODO,6/22/2021,2,3,0,Survive,6/18/2021,Nestling,0,0,2,2,20,,63,0,15,38,3,0,15,48,510,4,4,4,5,12,SW,MTORG,
2021,MODO04642545176215,464254,5176215,MODO,6/25/2021,3,3,0,Survive,6/18/2021,Nestling,0,0,2,2,20,,63,0,15,38,3,0,15,48,510,4,4,4,5,12,SW,MTORG,walked but they could have flushed
2021,MODO04643755176409,464375,5176409,MODO,6/4/2021,1,3,0,Survive,6/1/2021,Nestling,0,0,2,2,20,,38,0,15,38,3,0,38,40,450,2,3,3,4,12,SW,MTORG,dove sitting on nestlings
2021,MODO04643755176409,464375,5176409,MODO,6/7/2021,2,3,0,Survive,6/1/2021,Nestling,0,0,2,2,20,,38,0,15,38,3,0,38,40,450,2,3,3,4,12,SW,MTORG,empty; lots of droppings in nest
2021,MODO04642275176632,464227,5176632,MODO,6/7/2021,1,3,0,Survive,6/7/2021,Nestling,0,0,2,2,19,,38,15,38,15,3,0,0,35,410,3,3,3,6,13,NW,MTORG,
2021,MODO04642275176632,464227,5176632,MODO,6/10/2021,2,3,0,Survive,6/7/2021,Nestling,0,0,2,2,19,,38,15,38,15,3,0,0,35,410,3,3,3,6,13,NW,MTORG,fledglings sitting on rock outside of nest; mother not visible
2021,MODO04642275176632,464227,5176632,MODO,6/13/2021,3,3,0,Survive,6/7/2021,Nestling,0,0,2,2,19,,38,15,38,15,3,0,0,35,410,3,3,3,6,13,NW,MTORG,nest empty
2021,MODO04643515176484,464351,5176484,MODO,6/7/2021,1,3,0,Survive,6/4/2021,Nestling,0,0,2,2,15,,38,0,15,0,3,15,38,50,584,3,4,3,4,13,NW,MTORG,
2021,MODO04643515176484,464351,5176484,MODO,6/10/2021,2,3,0,Survive,6/4/2021,Nestling,0,0,2,2,15,,38,0,15,0,3,15,38,50,584,3,4,3,4,13,NW,MTORG,
2021,MODO04643515176484,464351,5176484,MODO,6/13/2021,3,3,0,Survive,6/4/2021,Nestling,0,0,2,2,15,,38,0,15,0,3,15,38,50,584,3,4,3,4,13,NW,MTORG,flushed mom
2021,MODO04643515176484,464351,5176484,MODO,6/16/2021,4,3,0,Survive,6/4/2021,Nestling,0,0,2,2,15,,38,0,15,0,3,15,38,50,584,3,4,3,4,13,NW,MTORG,found fledglings
2021,MODO04643605176833,464360,5176833,MODO,6/10/2021,1,4,0,Survive,6/6/2021,Nestling,0,0,2,2,8,,38,15,15,3,3,0,38,67,565,4,4,3,4,14,NW,MTORG,
2021,MODO04643605176833,464360,5176833,MODO,6/13/2021,2,3,0,Survive,6/6/2021,Nestling,0,0,2,2,8,,38,15,15,3,3,0,38,67,565,4,4,3,4,14,NW,MTORG,flushed
2021,MODO04643605176833,464360,5176833,MODO,6/16/2021,3,3,0,Survive,6/6/2021,Nestling,0,0,2,2,8,,38,15,15,3,3,0,38,67,565,4,4,3,4,14,NW,MTORG,
2021,MODO04643605176833,464360,5176833,MODO,6/19/2021,4,3,0,Survive,6/6/2021,Nestling,0,0,2,2,8,,38,15,15,3,3,0,38,67,565,4,4,3,4,14,NW,MTORG,flushed
2021,BRBL04654165177219,465416,5177219,BRBL,6/12/2021,1,3,1,Failed,6/9/2021,Nestling,1,1,1,1,16,,0,0,15,0,38,68,0,2,420,5,4,6,5,2,NE,MTORG,one chick drastically larger
2021,KILL04642515176323,464251,5176323,KILL,7/16/2021,1,3,0,Survive,7/13/2021,Incubating,0,0,4,4,7,,38,3,38,15,3,0,0,7,226,1,1,1,2,12,SW,MTORG,egg shell too thick to accurately age
2021,KILL04642515176323,464251,5176323,KILL,7/19/2021,2,3,0,Survive,7/13/2021,Incubating,0,0,4,4,7,,38,3,38,15,3,0,0,7,226,1,1,1,2,12,SW,MTORG,bird not on nest
2021,KILL04642515176323,464251,5176323,KILL,7/22/2021,3,3,0,Survive,7/13/2021,Incubating,0,0,4,4,7,,38,3,38,15,3,0,0,7,226,1,1,1,2,12,SW,MTORG,bird not on nest
2021,KILL04642515176323,464251,5176323,KILL,7/25/2021,4,3,0,Survive,7/13/2021,Incubating,0,0,4,4,7,,38,3,38,15,3,0,0,7,226,1,1,1,2,12,SW,MTORG,bird not on nest
2021,KILL04642515176323,464251,5176323,KILL,7/28/2021,5,3,0,Survive,7/13/2021,Incubating,0,0,4,4,7,,38,3,38,15,3,0,0,7,226,1,1,1,2,12,SW,MTORG,no bird
2021,STGR04653605177141,465360,5177141,STGR,6/24/2021,1,2,0,Survive,6/22/2021,Incubating,0,0,9,9,5,,15,3,63,0,3,0,15,23,670,3,2,2,3,2,NE,MTORG,
2021,STGR04653605177141,465360,5177141,STGR,6/27/2021,2,3,0,Survive,6/22/2021,Incubating,0,0,9,9,5,,15,3,63,0,3,0,15,23,670,3,2,2,3,2,NE,MTORG,no flush
2021,STGR04653605177141,465360,5177141,STGR,6/30/2021,3,3,0,Survive,6/22/2021,Incubating,0,0,9,9,5,,15,3,63,0,3,0,15,23,670,3,2,2,3,2,NE,MTORG,no flush
2021,STGR04653605177141,465360,5177141,STGR,7/3/2021,4,3,0,Survive,6/22/2021,Incubating,0,0,9,9,5,,15,3,63,0,3,0,15,23,670,3,2,2,3,2,NE,MTORG,flushed
2021,STGR04653605177141,465360,5177141,STGR,7/6/2021,5,3,0,Survive,6/22/2021,Incubating,0,0,9,9,5,,15,3,63,0,3,0,15,23,670,3,2,2,3,2,NE,MTORG,flushed
2021,STGR04653605177141,465360,5177141,STGR,7/9/2021,6,3,0,Survive,6/22/2021,Incubating,0,0,9,9,5,,15,3,63,0,3,0,15,23,670,3,2,2,3,2,NE,MTORG,hatched
2021,STGR04644245176609,464424,5176609,STGR,7/16/2021,1,3,0,Survive,7/13/2021,Incubating,0,0,8,8,12,,15,0,63,0,15,0,15,44,573,5,5,2,2,13,NW,MTORG,bird not on nest
2021,STGR04644245176609,464424,5176609,STGR,7/19/2021,2,3,0,Survive,7/13/2021,Incubating,0,0,8,8,12,,15,0,63,0,15,0,15,44,573,5,5,2,2,13,NW,MTORG,flushed
2021,STGR04644245176609,464424,5176609,STGR,7/22/2021,3,3,0,Survive,7/13/2021,Incubating,0,0,8,8,12,,15,0,63,0,15,0,15,44,573,5,5,2,2,13,NW,MTORG,eggs broken cleanly
2021,EAKI04650775176136,465077,5176136,EAKI,6/18/2021,1,4,0,Survive,6/14/2021,Incubating,0,0,4,3,-1,,63,3,15,0,15,0,15,33,905,6,6,6,4,8,SE,MTORG,
2021,EAKI04650775176136,465077,5176136,EAKI,6/21/2021,2,3,0,Survive,6/14/2021,Incubating,0,0,4,3,-1,,63,3,15,0,15,0,15,33,905,6,6,6,4,8,SE,MTORG,
2021,EAKI04650775176136,465077,5176136,EAKI,6/24/2021,3,3,0,Survive,6/14/2021,Incubating,0,0,4,3,-1,,63,3,15,0,15,0,15,33,905,6,6,6,4,8,SE,MTORG,parents scolding
2021,EAKI04650775176136,465077,5176136,EAKI,6/27/2021,4,3,0,Survive,6/14/2021,Incubating,0,0,4,3,-1,,63,3,15,0,15,0,15,33,905,6,6,6,4,8,SE,MTORG,
2021,EAKI04650775176136,465077,5176136,EAKI,6/30/2021,5,3,0,Survive,6/14/2021,Nestling,0,0,4,3,-1,,63,3,15,0,15,0,15,33,905,6,6,6,4,8,SE,MTORG,
2021,EAKI04650775176136,465077,5176136,EAKI,7/3/2021,6,3,0,Survive,6/14/2021,Nestling,0,0,4,3,-1,,63,3,15,0,15,0,15,33,905,6,6,6,4,8,SE,MTORG,
2021,EAKI04650775176136,465077,5176136,EAKI,7/6/2021,7,3,0,Survive,6/14/2021,Nestling,0,0,4,3,-1,,63,3,15,0,15,0,15,33,905,6,6,6,4,8,SE,MTORG,at least one eggs; parent chipping
2021,EAKI04650775176136,465077,5176136,EAKI,7/9/2021,8,3,0,Survive,6/14/2021,Nestling,0,0,4,3,-1,,63,3,15,0,15,0,15,33,905,6,6,6,4,8,SE,MTORG,
2021,EAKI04650775176136,465077,5176136,EAKI,7/12/2021,9,3,0,Survive,6/14/2021,Nestling,0,0,4,3,-1,,63,3,15,0,15,0,15,33,905,6,6,6,4,8,SE,MTORG,looks like mini adult
2021,EAKI04650775176136,465077,5176136,EAKI,7/15/2021,10,3,0,Survive,6/14/2021,Nestling,0,0,4,3,-1,,63,3,15,0,15,0,15,33,905,6,6,6,4,8,SE,MTORG,flushed 2 fledglings
2021,EAKI04641595175631,464159,5175631,EAKI,6/19/2021,1,2,0,Survive,6/17/2021,Incubating,0,0,4,1,-3,,15,15,38,0,3,0,,39,470,2,12,2,5,10,SW,MTORG,
2021,EAKI04641595175631,464159,5175631,EAKI,6/21/2021,2,2,0,Survive,6/17/2021,Incubating,0,0,4,1,-3,,15,15,38,0,3,0,,39,470,2,12,2,5,10,SW,MTORG,
2021,EAKI04641595175631,464159,5175631,EAKI,6/24/2021,3,3,0,Survive,6/17/2021,Incubating,0,0,4,1,-3,,15,15,38,0,3,0,,39,470,2,12,2,5,10,SW,MTORG,parent present
2021,EAKI04641595175631,464159,5175631,EAKI,6/27/2021,4,3,0,Survive,6/17/2021,Incubating,0,0,4,1,-3,,15,15,38,0,3,0,,39,470,2,12,2,5,10,SW,MTORG,parent present
2021,EAKI04641595175631,464159,5175631,EAKI,6/30/2021,5,3,0,Survive,6/17/2021,Incubating,0,0,4,1,-3,,15,15,38,0,3,0,,39,470,2,12,2,5,10,SW,MTORG,
2021,EAKI04641595175631,464159,5175631,EAKI,7/3/2021,6,3,0,Survive,6/17/2021,Nestling,0,0,4,1,-3,,15,15,38,0,3,0,,39,470,2,12,2,5,10,SW,MTORG,
2021,EAKI04641595175631,464159,5175631,EAKI,7/6/2021,7,3,0,Survive,6/17/2021,Nestling,0,0,4,1,-3,,15,15,38,0,3,0,,39,470,2,12,2,5,10,SW,MTORG,parents defending
2021,EAKI04641595175631,464159,5175631,EAKI,7/9/2021,8,3,0,Survive,6/17/2021,Nestling,0,0,4,1,-3,,15,15,38,0,3,0,,39,470,2,12,2,5,10,SW,MTORG,
2021,EAKI04641595175631,464159,5175631,EAKI,7/12/2021,9,3,0,Survive,6/17/2021,Nestling,0,0,4,1,-3,,15,15,38,0,3,0,,39,470,2,12,2,5,10,SW,MTORG,checked during dragging
2021,EAKI04641595175631,464159,5175631,EAKI,7/15/2021,10,3,0,Survive,6/17/2021,Nestling,0,0,4,1,-3,,15,15,38,0,3,0,,39,470,2,12,2,5,10,SW,MTORG,look mature
2021,EAKI04641595175631,464159,5175631,EAKI,7/18/2021,11,3,0,Survive,6/17/2021,Nestling,0,0,4,1,-3,,15,15,38,0,3,0,,39,470,2,12,2,5,10,SW,MTORG,saw fledglings
2021,EAKI04646395176251,464639,5176251,EAKI,7/1/2021,1,3,0,Survive,6/28/2021,Incubating,0,0,4,4,2,,38,0,15,0,3,0,63,17,848,16,8,9,7,11,SW,MTORG,bird not at nest
2021,EAKI04646395176251,464639,5176251,EAKI,7/4/2021,2,3,0,Survive,6/28/2021,Incubating,0,0,4,4,2,,38,0,15,0,3,0,63,17,848,16,8,9,7,11,SW,MTORG,bird near but not on nest
2021,EAKI04646395176251,464639,5176251,EAKI,7/7/2021,3,3,0,Survive,6/28/2021,Incubating,0,0,4,4,2,,38,0,15,0,3,0,63,17,848,16,8,9,7,11,SW,MTORG,birds not seen
2021,EAKI04646395176251,464639,5176251,EAKI,7/10/2021,4,3,0,Survive,6/28/2021,Incubating,0,0,4,4,2,,38,0,15,0,3,0,63,17,848,16,8,9,7,11,SW,MTORG,parents active in area
2021,EAKI04646395176251,464639,5176251,EAKI,7/13/2021,5,3,0,Survive,6/28/2021,Nestling,0,0,4,4,2,,38,0,15,0,3,0,63,17,848,16,8,9,7,11,SW,MTORG,parents not seen
2021,EAKI04646395176251,464639,5176251,EAKI,7/16/2021,6,3,0,Survive,6/28/2021,Nestling,0,0,4,4,2,,38,0,15,0,3,0,63,17,848,16,8,9,7,11,SW,MTORG,parents not around
2021,EAKI04646395176251,464639,5176251,EAKI,7/19/2021,7,3,0,Survive,6/28/2021,Nestling,0,0,4,4,2,,38,0,15,0,3,0,63,17,848,16,8,9,7,11,SW,MTORG,parent defending nest
2021,EAKI04646395176251,464639,5176251,EAKI,7/22/2021,8,3,0,Survive,6/28/2021,Nestling,0,0,4,4,2,,38,0,15,0,3,0,63,17,848,16,8,9,7,11,SW,MTORG,one N perched on rim of nest
2021,EAKI04646395176251,464639,5176251,EAKI,7/25/2021,9,3,0,Survive,6/28/2021,Nestling,0,0,4,4,2,,38,0,15,0,3,0,63,17,848,16,8,9,7,11,SW,MTORG,3 EAKI juveniles
2021,EAKI04646395176251,464639,5176251,EAKI,7/28/2021,10,3,0,Survive,6/28/2021,Nestling,0,0,4,4,2,,38,0,15,0,3,0,63,17,848,16,8,9,7,11,SW,MTORG,parents nearby; chipping and defending the area
2021,WIPH04654335176967,465433,5176967,WIPH,6/12/2021,1,4,0,Survive,6/8/2021,Incubating,0,0,4,4,16,,15,0,63,0,15,15,3,105,445,3,3,4,4,2,NE,MTORG,eggshells in nest; appear hatchd
2021,WIPH04645755176563,464575,5176563,WIPH,6/7/2021,1,3,0,Survive,6/4/2021,Incubating,0,0,4,4,10,,38,3,15,0,15,38,0,28,408,3,3,4,3,13,NW,MTORG,
2021,WIPH04645755176563,464575,5176563,WIPH,6/10/2021,2,3,0,Survive,6/4/2021,Incubating,0,0,4,4,10,,38,3,15,0,15,38,0,28,408,3,3,4,3,13,NW,MTORG,
2021,WIPH04645755176563,464575,5176563,WIPH,6/13/2021,3,3,0,Survive,6/4/2021,Nestling,0,0,4,4,10,,38,3,15,0,15,38,0,28,408,3,3,4,3,13,NW,MTORG,flushed male
2021,WIPH04645755176563,464575,5176563,WIPH,6/16/2021,4,3,0,Survive,6/4/2021,Nestling,0,0,4,4,10,,38,3,15,0,15,38,0,28,408,3,3,4,3,13,NW,MTORG,fledged
2021,AMWI04652535175841,465253,5175841,AMWI,6/26/2021,1,0,0,Survive,6/25/2021,Nestling,0,0,6,6,27,,38,0,15,0,15,0,38,34,731,4,5,6,6,7,SE,MTORG,mother attacked me; saw nestlings on first check
2021,AMWI04648305176295,464830,5176295,AMWI,6/30/2021,1,3,0,Survive,6/27/2021,Incubating,0,0,10,10,18,,38,38,3,0,3,0,15,28,645,2,6,2,2,10,SW,MTORG,flushed
2021,AMWI04648305176295,464830,5176295,AMWI,7/3/2021,2,3,0,Survive,6/27/2021,Incubating,0,0,10,10,18,,38,38,3,0,3,0,15,28,645,2,6,2,2,10,SW,MTORG,flushed
2021,AMWI04648305176295,464830,5176295,AMWI,7/6/2021,3,3,0,Survive,6/27/2021,Incubating,0,0,10,10,18,,38,38,3,0,3,0,15,28,645,2,6,2,2,10,SW,MTORG,bird not on nest; eggs warm
2021,AMWI04648305176295,464830,5176295,AMWI,7/9/2021,4,3,0,Survive,6/27/2021,Incubating,0,0,10,10,18,,38,38,3,0,3,0,15,28,645,2,6,2,2,10,SW,MTORG,flushed
2021,AMWI04648305176295,464830,5176295,AMWI,7/12/2021,5,3,0,Survive,6/27/2021,Incubating,0,0,10,10,18,,38,38,3,0,3,0,15,28,645,2,6,2,2,10,SW,MTORG,flushed
2021,AMWI04648305176295,464830,5176295,AMWI,7/15/2021,6,3,0,Survive,6/27/2021,Incubating,0,0,10,10,18,,38,38,3,0,3,0,15,28,645,2,6,2,2,10,SW,MTORG,1 egg is in the process of hatching; other eggs hatched
2021,AMWI04646925176513,464692,5176513,AMWI,6/19/2021,1,1,0,Survive,6/18/2021,Incubating,0,0,10,10,5,,38,0,38,0,3,0,15,,630,2,7,5,6,13,NW,MTORG,
2021,AMWI04646925176513,464692,5176513,AMWI,6/22/2021,2,3,0,Survive,6/18/2021,Incubating,0,0,9,10,5,,38,0,38,0,3,0,15,,630,2,7,5,6,13,NW,MTORG,flushed
2021,AMWI04646925176513,464692,5176513,AMWI,6/25/2021,3,3,0,Survive,6/18/2021,Incubating,0,0,9,10,5,,38,0,38,0,3,0,15,,630,2,7,5,6,13,NW,MTORG,
2021,AMWI04646925176513,464692,5176513,AMWI,6/28/2021,4,3,0,Survive,6/18/2021,Incubating,0,0,9,10,5,,38,0,38,0,3,0,15,,630,2,7,5,6,13,NW,MTORG,flushed
2021,AMWI04646925176513,464692,5176513,AMWI,7/1/2021,5,3,0,Survive,6/18/2021,Incubating,0,0,9,10,5,,38,0,38,0,3,0,15,,630,2,7,5,6,13,NW,MTORG,
2021,AMWI04646925176513,464692,5176513,AMWI,7/4/2021,6,3,0,Survive,6/18/2021,Incubating,0,0,9,10,5,,38,0,38,0,3,0,15,,630,2,7,5,6,13,NW,MTORG,flushed
2021,AMWI04646925176513,464692,5176513,AMWI,7/7/2021,7,3,0,Survive,6/18/2021,Incubating,0,0,9,10,5,,38,0,38,0,3,0,15,,630,2,7,5,6,13,NW,MTORG,flushed
2021,AMWI04646925176513,464692,5176513,AMWI,7/10/2021,8,3,0,Survive,6/18/2021,Incubating,0,0,9,10,5,,38,0,38,0,3,0,15,,630,2,7,5,6,13,NW,MTORG,hatching
2021,GADW04651925177032,465192,5177032,GADW,6/23/2021,1,2,0,Survive,6/21/2021,Incubating,0,0,9,9,2,,38,0,15,0,3,0,38,34,555,2,4,3,5,1,NE,MTORG,did not flush
2021,GADW04651925177032,465192,5177032,GADW,6/26/2021,2,3,0,Survive,6/21/2021,Incubating,0,0,9,9,2,,38,0,15,0,3,0,38,34,555,2,4,3,5,1,NE,MTORG,flushed
2021,GADW04651925177032,465192,5177032,GADW,6/29/2021,3,3,0,Survive,6/21/2021,Incubating,0,0,9,9,2,,38,0,15,0,3,0,38,34,555,2,4,3,5,1,NE,MTORG,did not flush
2021,GADW04651925177032,465192,5177032,GADW,7/2/2021,4,3,0,Survive,6/21/2021,Incubating,0,0,9,9,2,,38,0,15,0,3,0,38,34,555,2,4,3,5,1,NE,MTORG,didn't flush
