Year,id,X,Y,Spec,Date,Visit.Interval,Expos,Survive,Fate,FirstFound,Stage,BHCONum,BHCOpres,Clutch,InitClutch,InitBHCO,AgeFound,KBG,Smooth.Brome,Litter,Bare,Forb,Grasslike,Woody,Litter.Depth,Veg.Height,R1,R2,R3,R4,Unit,Pasture,Patch,Treatment,pTreat,cTreat,Notes,
2021,CCSP04650965177002,465096,5177002,CCSP,5/27/2021,1,3,Survive,0,5/24/2021,Laying,0,1,1,0,0,-3,63,0,15,0,3,0,38,51,412,4,2,2,4,Wagon,1,NE,MTORG,Full,Heavy,,
2021,CCSP04650965177002,465096,5177002,CCSP,5/31/2021,2,4,Failed,1,5/24/2021,Laying,0,1,1,0,0,-3,63,0,15,0,3,0,38,51,412,4,2,2,4,Wagon,1,NE,MTORG,Full,Heavy,,
2021,CCSP04651325177054,465132,5177054,CCSP,7/23/2021,1,3,Survive,0,7/20/2021,Incubating,0,0,3,3,0,3,63,3,38,0,15,0,15,26,405,3,2,1,4,Wagon,1,NE,MTORG,Full,Heavy,,
2021,CCSP04651325177054,465132,5177054,CCSP,7/25/2021,2,3,Survive,0,7/20/2021,Incubating,0,0,3,3,0,3,63,3,38,0,15,0,15,26,405,3,2,1,4,Wagon,1,NE,MTORG,Full,Heavy,,
2021,CCSP04651325177054,465132,5177054,CCSP,7/28/2021,3,3,Survive,0,7/20/2021,Incubating,0,0,3,3,0,3,63,3,38,0,15,0,15,26,405,3,2,1,4,Wagon,1,NE,MTORG,Full,Heavy,,
2021,CCSP04651325177054,465132,5177054,CCSP,7/30/2021,4,3,Survive,0,7/20/2021,Nestling,0,0,3,3,0,3,63,3,38,0,15,0,15,26,405,3,2,1,4,Wagon,1,NE,MTORG,Full,Heavy,,
2021,CCSP04651325177054,465132,5177054,CCSP,8/2/2021,5,3,Survive,0,7/20/2021,Nestling,0,0,3,3,0,3,63,3,38,0,15,0,15,26,405,3,2,1,4,Wagon,1,NE,MTORG,Full,Heavy,,
2021,CCSP04651325177054,465132,5177054,CCSP,8/5/2021,6,3,Failed,1,7/20/2021,Nestling,0,0,3,3,0,3,63,3,38,0,15,0,15,26,405,3,2,1,4,Wagon,1,NE,MTORG,Full,Heavy,,
2021,GADW04650435176827,465043,5176827,GADW,6/11/2021,1,4,Survive,0,6/7/2021,Incubating,0,0,11,11,0,3,38,3,15,0,3,0,63,30,540,3,5,5,2,Wagon,1,NE,MTORG,Full,Heavy,,
2021,GADW04650435176827,465043,5176827,GADW,6/14/2021,2,3,Survive,0,6/7/2021,Incubating,0,0,11,11,0,3,38,3,15,0,3,0,63,30,540,3,5,5,2,Wagon,1,NE,MTORG,Full,Heavy,,
2021,GADW04650435176827,465043,5176827,GADW,6/17/2021,3,3,Survive,0,6/7/2021,Incubating,0,0,11,11,0,3,38,3,15,0,3,0,63,30,540,3,5,5,2,Wagon,1,NE,MTORG,Full,Heavy,,
2021,GADW04650435176827,465043,5176827,GADW,6/20/2021,4,3,Survive,0,6/7/2021,Incubating,0,0,11,11,0,3,38,3,15,0,3,0,63,30,540,3,5,5,2,Wagon,1,NE,MTORG,Full,Heavy,,
2021,GADW04650435176827,465043,5176827,GADW,6/23/2021,5,3,Survive,0,6/7/2021,Incubating,0,0,11,11,0,3,38,3,15,0,3,0,63,30,540,3,5,5,2,Wagon,1,NE,MTORG,Full,Heavy,,
2021,GADW04650435176827,465043,5176827,GADW,6/26/2021,6,3,Survive,0,6/7/2021,Incubating,0,0,11,11,0,3,38,3,15,0,3,0,63,30,540,3,5,5,2,Wagon,1,NE,MTORG,Full,Heavy,,
2021,GADW04650435176827,465043,5176827,GADW,6/29/2021,7,3,Survive,0,6/7/2021,Incubating,0,0,11,11,0,3,38,3,15,0,3,0,63,30,540,3,5,5,2,Wagon,1,NE,MTORG,Full,Heavy,,
2021,GADW04651925177032,465192,5177032,GADW,6/23/2021,1,2,Survive,0,6/21/2021,Incubating,0,0,9,9,0,1,38,0,15,0,3,38,34,2,555,2,4,3,5,Wagon,1,NE,MTORG,Full,Heavy,,
2021,GADW04651925177032,465192,5177032,GADW,6/26/2021,2,3,Survive,0,6/21/2021,Incubating,0,0,9,9,0,1,38,0,15,0,3,38,34,2,555,2,4,3,5,Wagon,1,NE,MTORG,Full,Heavy,,
2021,GADW04651925177032,465192,5177032,GADW,6/29/2021,3,3,Survive,0,6/21/2021,Incubating,0,0,9,9,0,1,38,0,15,0,3,38,34,2,555,2,4,3,5,Wagon,1,NE,MTORG,Full,Heavy,,
2021,GADW04651925177032,465192,5177032,GADW,7/2/2021,4,3,Survive,0,6/21/2021,Incubating,0,0,9,9,0,1,38,0,15,0,3,38,34,2,555,2,4,3,5,Wagon,1,NE,MTORG,Full,Heavy,,
2021,GADW04651925177032,465192,5177032,GADW,7/5/2021,5,3,Survive,0,6/21/2021,Incubating,0,0,9,9,0,1,38,0,15,0,3,38,34,2,555,2,4,3,5,Wagon,1,NE,MTORG,Full,Heavy,,
2021,GADW04651925177032,465192,5177032,GADW,7/8/2021,6,3,Survive,0,6/21/2021,Incubating,0,0,9,9,0,1,38,0,15,0,3,38,34,2,555,2,4,3,5,Wagon,1,NE,MTORG,Full,Heavy,,
2021,GADW04651925177032,465192,5177032,GADW,7/11/2021,7,3,Survive,0,6/21/2021,Incubating,0,0,9,9,0,1,38,0,15,0,3,38,34,2,555,2,4,3,5,Wagon,1,NE,MTORG,Full,Heavy,,
2021,GADW04651925177032,465192,5177032,GADW,7/14/2021,8,3,Survive,0,6/21/2021,Incubating,0,0,9,9,0,1,38,0,15,0,3,38,34,2,555,2,4,3,5,Wagon,1,NE,MTORG,Full,Heavy,,
2021,GADW04651925177032,465192,5177032,GADW,7/17/2021,9,3,Survive,0,6/21/2021,Incubating,0,0,9,9,0,1,38,0,15,0,3,38,34,2,555,2,4,3,5,Wagon,1,NE,MTORG,Full,Heavy,,
2021,GADW04658005176967,465800,5176967,GADW,6/23/2021,1,2,Survive,0,6/21/2021,Incubating,0,0,8,8,0,7,15,15,38,3,3,0,38,2,495,1,4,2,3,Wagon,1,NE,MTORG,Full,Heavy,,
2021,GADW04658005176967,465800,5176967,GADW,6/26/2021,2,3,Failed,1,6/21/2021,Incubating,0,0,8,8,0,7,15,15,38,3,3,0,38,2,495,1,4,2,3,Wagon,1,NE,MTORG,Full,Heavy,,
2021,NOPI04651265177213,465126,5177213,NOPI,5/27/2021,1,3,Survive,0,5/24/2021,Incubating,0,0,8,8,0,13,63,38,15,0,3,0,3,127,435,2,2,2,2,Wagon,1,NE,MTORG,Full,Heavy,,
2021,NOPI04651265177213,465126,5177213,NOPI,5/31/2021,2,4,Survive,0,5/24/2021,Incubating,0,0,8,8,0,13,63,38,15,0,3,0,3,127,435,2,2,2,2,Wagon,1,NE,MTORG,Full,Heavy,,
2021,NOPI04651265177213,465126,5177213,NOPI,6/2/2021,3,2,Survive,0,5/24/2021,Incubating,0,0,8,8,0,13,63,38,15,0,3,0,3,127,435,2,2,2,2,Wagon,1,NE,MTORG,Full,Heavy,,
2021,NOPI04651265177213,465126,5177213,NOPI,6/5/2021,4,3,Survive,0,5/24/2021,Incubating,0,0,8,8,0,13,63,38,15,0,3,0,3,127,435,2,2,2,2,Wagon,1,NE,MTORG,Full,Heavy,,
2021,BOBO04651465176655,465146,5176655,BOBO,7/3/2021,1,4,Failed,1,6/29/2021,Incubating,1,1,0,1,1,7,38,3,38,0,3,0,15,34,535,7,3,6,6,Wagon,2,NE,MTORG,Moderate,Full,,
2021,BOBO04652165176747,465216,5176747,BOBO,6/24/2021,1,2,Survive,0,6/22/2021,Incubating,6,1,2,2,8,6,38,0,38,0,3,0,38,20,540,5,5,5,7,Wagon,2,NE,MTORG,Moderate,Full,,
2021,BOBO04652165176747,465216,5176747,BOBO,6/27/2021,2,3,Survive,0,6/22/2021,Nestling,6,1,2,2,8,6,38,0,38,0,3,0,38,20,540,5,5,5,7,Wagon,2,NE,MTORG,Moderate,Full,,
2021,BOBO04652165176747,465216,5176747,BOBO,6/30/2021,3,3,Survive,0,6/22/2021,Nestling,4,1,2,2,8,6,38,0,38,0,3,0,38,20,540,5,5,5,7,Wagon,2,NE,MTORG,Moderate,Full,,
2021,BOBO04652165176747,465216,5176747,BOBO,7/3/2021,4,3,Survive,0,6/22/2021,Nestling,1,1,2,2,8,6,38,0,38,0,3,0,38,20,540,5,5,5,7,Wagon,2,NE,MTORG,Moderate,Full,,
2021,BOBO04652165176747,465216,5176747,BOBO,7/6/2021,5,3,Survive,0,6/22/2021,Nestling,1,1,2,2,8,6,38,0,38,0,3,0,38,20,540,5,5,5,7,Wagon,2,NE,MTORG,Moderate,Full,,
2021,BRBL04654165177219,465416,5177219,BRBL,6/12/2021,1,3,Failed,1,6/9/2021,Nestling,1,1,1,1,1,14,0,0,15,0,38,63,0,2,420,5,4,6,5,Wagon,2,NE,MTORG,Moderate,Full,,
2021,BWTE04653065177018,465306,5177018,BWTE,7/6/2021,1,3,Survive,0,7/4/2021,Incubating,0,0,9,9,0,21,38,0,38,0,0,0,38,22,515,3,2,5,3,Wagon,2,NE,MTORG,Moderate,Full,,
2021,BWTE04653065177018,465306,5177018,BWTE,7/9/2021,2,3,Failed,1,7/4/2021,Incubating,0,0,9,9,0,21,38,0,38,0,0,0,38,22,515,3,2,5,3,Wagon,2,NE,MTORG,Moderate,Full,,
2021,BWTE04655925177105,465592,5177105,BWTE,6/12/2021,1,3,Survive,0,6/9/2021,Incubating,0,0,9,9,0,4,38,38,15,0,3,0,15,40,470,4,3,3,5,Wagon,2,NE,MTORG,Moderate,Full,,
2021,BWTE04655925177105,465592,5177105,BWTE,6/15/2021,2,3,Survive,0,6/9/2021,Incubating,0,0,9,9,0,4,38,38,15,0,3,0,15,40,470,4,3,3,5,Wagon,2,NE,MTORG,Moderate,Full,,
2021,BWTE04655925177105,465592,5177105,BWTE,6/27/2021,3,12,Survive,0,6/9/2021,Incubating,0,0,9,9,0,4,38,38,15,0,3,0,15,40,470,4,3,3,5,Wagon,2,NE,MTORG,Moderate,Full,,
2021,BWTE04655925177105,465592,5177105,BWTE,6/30/2021,4,3,Survive,0,6/9/2021,Incubating,0,0,9,9,0,4,38,38,15,0,3,0,15,40,470,4,3,3,5,Wagon,2,NE,MTORG,Moderate,Full,,
2021,BWTE04655925177105,465592,5177105,BWTE,7/3/2021,5,3,Survive,0,6/9/2021,Incubating,0,0,9,9,0,4,38,38,15,0,3,0,15,40,470,4,3,3,5,Wagon,2,NE,MTORG,Moderate,Full,,
2021,CCSP04650805176675,465080,5176675,CCSP,7/6/2021,1,2,Survive,0,7/4/2021,Incubating,0,1,2,0,0,2,63,0,15,0,15,0,15,19,505,4,4,3,2,Wagon,2,NE,MTORG,Moderate,Full,,
2021,CCSP04650805176675,465080,5176675,CCSP,7/9/2021,2,3,Survive,0,7/4/2021,Incubating,1,1,1,0,0,2,63,0,15,0,15,0,15,19,505,4,4,3,2,Wagon,2,NE,MTORG,Moderate,Full,,
2021,CCSP04650805176675,465080,5176675,CCSP,7/12/2021,3,3,Failed,1,7/4/2021,Incubating,1,1,1,0,0,2,63,0,15,0,15,0,15,19,505,4,4,3,2,Wagon,2,NE,MTORG,Moderate,Full,,
2021,CCSP04651285176742,465128,5176742,CCSP,6/12/2021,1,3,Survive,0,6/9/2021,Incubating,0,0,4,4,0,4,63,0,15,0,3,0,15,40,530,4,3,5,3,Wagon,2,NE,MTORG,Moderate,Full,,
2021,CCSP04651285176742,465128,5176742,CCSP,6/15/2021,2,3,Survive,0,6/9/2021,Incubating,0,0,4,4,0,4,63,0,15,0,3,0,15,40,530,4,3,5,3,Wagon,2,NE,MTORG,Moderate,Full,,
2021,CCSP04651285176742,465128,5176742,CCSP,6/18/2021,3,3,Survive,0,6/9/2021,Nestling,0,0,4,4,0,4,63,0,15,0,3,0,15,40,530,4,3,5,3,Wagon,2,NE,MTORG,Moderate,Full,,
2021,CCSP04651285176742,465128,5176742,CCSP,6/21/2021,4,3,Survive,0,6/9/2021,Nestling,1,1,2,4,0,4,63,0,15,0,3,0,15,40,530,4,3,5,3,Wagon,2,NE,MTORG,Moderate,Full,,
2021,CCSP04651285176742,465128,5176742,CCSP,6/24/2021,5,3,Survive,0,6/9/2021,Nestling,1,1,2,4,0,4,63,0,15,0,3,0,15,40,530,4,3,5,3,Wagon,2,NE,MTORG,Moderate,Full,,
2021,CCSP04651605176663,465160,5176663,CCSP,6/12/2021,1,3,Survive,0,6/9/2021,Incubating,0,0,4,4,0,2,38,15,38,0,0,0,15,70,550,5,5,5,6,Wagon,2,NE,MTORG,Moderate,Full,,
2021,CCSP04651605176663,465160,5176663,CCSP,6/15/2021,2,3,Survive,0,6/9/2021,Nestling,0,0,4,4,0,2,38,15,38,0,0,0,15,70,550,5,5,5,6,Wagon,2,NE,MTORG,Moderate,Full,,
2021,CCSP04651605176663,465160,5176663,CCSP,6/18/2021,3,3,Failed,1,6/9/2021,Nestling,0,0,4,4,0,2,38,15,38,0,0,0,15,70,550,5,5,5,6,Wagon,2,NE,MTORG,Moderate,Full,,
2021,CCSP04651735176684,465173,5176684,CCSP,6/12/2021,1,3,Survive,0,6/9/2021,Nestling,0,0,4,4,0,4,38,0,38,0,3,0,38,80,630,4,5,5,5,Wagon,2,NE,MTORG,Moderate,Full,,
2021,CCSP04651735176684,465173,5176684,CCSP,6/15/2021,2,3,Survive,0,6/9/2021,Nestling,0,0,4,4,0,4,38,0,38,0,3,0,38,80,630,4,5,5,5,Wagon,2,NE,MTORG,Moderate,Full,,
2021,CCSP04651735176684,465173,5176684,CCSP,6/18/2021,3,3,Survive,0,6/9/2021,Nestling,0,0,4,4,0,4,38,0,38,0,3,0,38,80,630,4,5,5,5,Wagon,2,NE,MTORG,Moderate,Full,,
2021,CCSP04652125176697,465212,5176697,CCSP,7/6/2021,1,2,Survive,0,7/4/2021,Incubating,2,1,1,2,2,6,38,0,15,0,0,0,38,15,655,8,8,6,8,Wagon,2,NE,MTORG,Moderate,Full,,
2021,CCSP04652125176697,465212,5176697,CCSP,7/9/2021,2,3,Survive,0,7/4/2021,Incubating,2,1,1,2,2,6,38,0,15,0,0,0,38,15,655,8,8,6,8,Wagon,2,NE,MTORG,Moderate,Full,,
2021,CCSP04652125176697,465212,5176697,CCSP,7/12/2021,3,3,Failed,1,7/4/2021,Incubating,2,1,1,2,2,6,38,0,15,0,0,0,38,15,655,8,8,6,8,Wagon,2,NE,MTORG,Moderate,Full,,
2021,CCSP04652945177087,465294,5177087,CCSP,5/27/2021,1,3,Survive,0,5/24/2021,Incubating,3,1,1,3,2,1,85,3,15,0,3,0,15,31,566,7,5,5,4,Wagon,2,NE,MTORG,Moderate,Full,,
2021,CCSP04652945177087,465294,5177087,CCSP,5/31/2021,2,4,Failed,1,5/24/2021,Incubating,3,1,1,3,2,1,85,3,15,0,3,0,15,31,566,7,5,5,4,Wagon,2,NE,MTORG,Moderate,Full,,
2021,CCSP04653115176836,465311,5176836,CCSP,7/6/2021,1,1,Survive,0,7/5/2021,Incubating,0,0,1,2,0,4,38,3,63,0,3,0,15,98,468,4,5,4,6,Wagon,2,NE,MTORG,Moderate,Full,,
2021,CCSP04653115176836,465311,5176836,CCSP,7/9/2021,2,3,Failed,1,7/5/2021,Incubating,0,0,1,2,0,4,38,3,63,0,3,0,15,98,468,4,5,4,6,Wagon,2,NE,MTORG,Moderate,Full,,
2021,CCSP04653135176791,465313,5176791,CCSP,5/28/2021,1,3,Survive,0,5/25/2021,Laying,0,1,1,1,0,0,38,38,15,0,0,0,15,23,600,4,4,3,3,Wagon,2,NE,MTORG,Moderate,Full,,
2021,CCSP04653135176791,465313,5176791,CCSP,5/31/2021,2,3,Survive,0,5/25/2021,Laying,0,1,1,1,0,0,38,38,15,0,0,0,15,23,600,4,4,3,3,Wagon,2,NE,MTORG,Moderate,Full,,
2021,CCSP04653135176791,465313,5176791,CCSP,6/3/2021,3,3,Survive,0,5/25/2021,Laying,0,1,1,1,0,0,38,38,15,0,0,0,15,23,600,4,4,3,3,Wagon,2,NE,MTORG,Moderate,Full,,
2021,CCSP04653135176791,465313,5176791,CCSP,6/6/2021,4,3,Survive,0,5/25/2021,Laying,0,1,1,1,0,0,38,38,15,0,0,0,15,23,600,4,4,3,3,Wagon,2,NE,MTORG,Moderate,Full,,
2021,CCSP04653135176791,465313,5176791,CCSP,6/8/2021,5,2,Survive,0,5/25/2021,Laying,0,1,1,1,0,0,38,38,15,0,0,0,15,23,600,4,4,3,3,Wagon,2,NE,MTORG,Moderate,Full,,
2021,CCSP04653135176791,465313,5176791,CCSP,6/11/2021,6,3,Survive,0,5/25/2021,Laying,1,1,1,1,0,0,38,38,15,0,0,0,15,23,600,4,4,3,3,Wagon,2,NE,MTORG,Moderate,Full,,
2021,CCSP04653135176791,465313,5176791,CCSP,6/12/2021,7,1,Abandoned,1,5/25/2021,Laying,1,1,1,1,0,0,38,38,15,0,0,0,15,23,600,4,4,3,3,Wagon,2,NE,MTORG,Moderate,Full,,
2021,CCSP04653145177061,465314,5177061,CCSP,6/15/2021,1,3,Survive,0,6/12/2021,Incubating,0,0,4,1,0,-3,15,15,38,0,3,3,38,40,710,6,4,4,6,Wagon,2,NE,MTORG,Moderate,Full,,
2021,CCSP04653145177061,465314,5177061,CCSP,6/18/2021,2,3,Failed,1,6/12/2021,Incubating,0,0,4,1,0,-3,15,15,38,0,3,3,38,40,710,6,4,4,6,Wagon,2,NE,MTORG,Moderate,Full,,
2021,CCSP04653245176804,465324,5176804,CCSP,6/12/2021,1,3,Survive,0,6/9/2021,Incubating,1,1,3,2,0,-1,38,15,15,0,3,0,38,66,605,5,5,7,6,Wagon,2,NE,MTORG,Moderate,Full,,
2021,CCSP04653245176804,465324,5176804,CCSP,6/15/2021,2,3,Survive,0,6/9/2021,Incubating,1,1,2,2,0,-1,38,15,15,0,3,0,38,66,605,5,5,7,6,Wagon,2,NE,MTORG,Moderate,Full,,
2021,CCSP04653245176804,465324,5176804,CCSP,6/18/2021,3,3,Failed,1,6/9/2021,Incubating,1,1,2,2,0,-1,38,15,15,0,3,0,38,66,605,5,5,7,6,Wagon,2,NE,MTORG,Moderate,Full,,
2021,CCSP04653325176908,465332,5176908,CCSP,6/24/2021,1,2,Failed,1,6/22/2021,Laying,0,0,1,1,0,1,38,3,38,0,15,0,15,22,790,5,5,6,7,Wagon,2,NE,MTORG,Moderate,Full,,
2021,CCSP04653505177187,465350,5177187,CCSP,6/12/2021,1,3,Failed,1,6/9/2021,Incubating,0,0,4,4,0,10,38,38,15,0,38,0,38,60,595,4,2,5,3,Wagon,2,NE,MTORG,Moderate,Full,,
2021,CCSP04653905177115,465390,5177115,CCSP,6/12/2021,1,0,Unknown,,6/9/2021,Incubating,3,1,0,0,4,0,38,15,38,0,3,0,38,78,773,4,5,4,5,Wagon,2,NE,MTORG,Moderate,Full,,
2021,CCSP04654275176941,465427,5176941,CCSP,6/12/2021,1,3,Survive,0,6/9/2021,Nestling,0,0,4,4,0,10,63,15,15,0,3,0,15,63,410,2,3,4,2,Wagon,2,NE,MTORG,Moderate,Full,,
2021,CCSP04654275176941,465427,5176941,CCSP,6/15/2021,2,3,Failed,1,6/9/2021,Nestling,0,0,4,4,0,10,63,15,15,0,3,0,15,63,410,2,3,4,2,Wagon,2,NE,MTORG,Moderate,Full,,
2021,CCSP04654365177041,465436,5177041,CCSP,6/12/2021,1,3,Survive,0,6/9/2021,Incubating,3,1,2,2,3,4,63,0,15,0,15,0,15,40,510,4,3,4,6,Wagon,2,NE,MTORG,Moderate,Full,,
2021,CCSP04654365177041,465436,5177041,CCSP,6/15/2021,2,3,Survive,0,6/9/2021,Incubating,3,1,2,2,3,4,63,0,15,0,15,0,15,40,510,4,3,4,6,Wagon,2,NE,MTORG,Moderate,Full,,
2021,CCSP04654365177041,465436,5177041,CCSP,6/18/2021,3,3,Survive,0,6/9/2021,Incubating,1,1,2,2,3,4,63,0,15,0,15,0,15,40,510,4,3,4,6,Wagon,2,NE,MTORG,Moderate,Full,,
2021,CCSP04654365177041,465436,5177041,CCSP,6/21/2021,4,3,Survive,0,6/9/2021,Incubating,1,1,1,2,3,4,63,0,15,0,15,0,15,40,510,4,3,4,6,Wagon,2,NE,MTORG,Moderate,Full,,
2021,CCSP04654365177041,465436,5177041,CCSP,6/24/2021,5,3,Failed,1,6/9/2021,Incubating,1,1,1,2,3,4,63,0,15,0,15,0,15,40,510,4,3,4,6,Wagon,2,NE,MTORG,Moderate,Full,,
2021,CCSP04655205177186,465520,5177186,CCSP,6/12/2021,1,3,Failed,1,6/9/2021,Incubating,0,0,3,3,0,5,15,15,38,0,15,0,15,35,560,4,3,2,3,Wagon,2,NE,MTORG,Moderate,Full,,
2021,CCSP04655215177081,465521,5177081,CCSP,6/12/2021,1,3,Survive,0,6/9/2021,Incubating,2,1,3,3,2,5,38,0,15,0,3,0,38,35,594,5,5,4,5,Wagon,2,NE,MTORG,Moderate,Full,,
2021,CCSP04655215177081,465521,5177081,CCSP,6/15/2021,2,3,Survive,0,6/9/2021,Incubating,2,1,3,3,2,5,38,0,15,0,3,0,38,35,594,5,5,4,5,Wagon,2,NE,MTORG,Moderate,Full,,
2021,CCSP04655215177081,465521,5177081,CCSP,6/18/2021,3,3,Survive,0,6/9/2021,Nestling,1,1,3,3,2,5,38,0,15,0,3,0,38,35,594,5,5,4,5,Wagon,2,NE,MTORG,Moderate,Full,,
2021,CCSP04655215177081,465521,5177081,CCSP,6/21/2021,4,3,Survive,0,6/9/2021,Nestling,1,1,3,3,2,5,38,0,15,0,3,0,38,35,594,5,5,4,5,Wagon,2,NE,MTORG,Moderate,Full,,
2021,CCSP04655215177081,465521,5177081,CCSP,6/24/2021,5,3,Survive,0,6/9/2021,Nestling,1,1,1,3,2,5,38,0,15,0,3,0,38,35,594,5,5,4,5,Wagon,2,NE,MTORG,Moderate,Full,,
2021,CCSP04655215177081,465521,5177081,CCSP,6/27/2021,6,3,Failed,1,6/9/2021,Nestling,1,1,1,3,2,5,38,0,15,0,3,0,38,35,594,5,5,4,5,Wagon,2,NE,MTORG,Moderate,Full,,
2021,CCSP04655925177221,465592,5177221,CCSP,6/27/2021,1,4,Survive,0,6/23/2021,Laying,2,1,3,2,0,-1,38,38,15,0,3,0,15,10,533,2,5,3,5,Wagon,2,NE,MTORG,Moderate,Full,,
2021,CCSP04655925177221,465592,5177221,CCSP,6/30/2021,2,3,Survive,0,6/23/2021,Incubating,2,1,3,2,0,-1,38,38,15,0,3,0,15,10,533,2,5,3,5,Wagon,2,NE,MTORG,Moderate,Full,,
2021,CCSP04655925177221,465592,5177221,CCSP,7/3/2021,3,3,Survive,0,6/23/2021,Incubating,2,1,3,2,0,-1,38,38,15,0,3,0,15,10,533,2,5,3,5,Wagon,2,NE,MTORG,Moderate,Full,,
2021,CCSP04655925177221,465592,5177221,CCSP,7/6/2021,4,3,Survive,0,6/23/2021,Incubating,2,1,3,2,0,-1,38,38,15,0,3,0,15,10,533,2,5,3,5,Wagon,2,NE,MTORG,Moderate,Full,,
