Data from North Dakota Agricultural Weather Network https://ndawn.ndsu.nodak.edu,,,,,,,,,,,,,,,,,,,,,,,,,
Daily Observation Table for January 1 1990 to March 1 2025,,,,,,,,,,,,,,,,,,,,,,,,,
Flag Definition Line: M - Missing; E - Estimated; N/A - Not Available,,,,,,,,,,,,,,,,,,,,,,,,,
,deg,deg,ft,,,,Degrees C,,Degrees C,Degrees C,,Degrees C,,Degrees C,Degrees C,,Degrees C,,Degrees C,Degrees C,mm,,mm,%,
Streeter,46.71797,-99.46081,1944,1990,05,17,15.42,,18.606,-3.186,,1.346,,5.65,-4.304,,8.383,,12.128,-3.744,0,,2.286,36,
Streeter,46.71797,-99.46081,1944,1990,05,18,8.04,,18.778,-10.738,,-1.146,E,5.883,-7.029,E,3.447,E,12.333,-8.886,0,,2.54,34,
Streeter,46.71797,-99.46081,1944,1990,05,19,14.84,,18.994,-4.154,,5.493,,6.15,-0.657,,10.167,,12.572,-2.406,2.997,,2.54,38,
Streeter,46.71797,-99.46081,1944,1990,05,20,17.33,,19.167,-1.837,,5.764,,6.383,-0.619,,11.547,,12.778,-1.231,0,,2.54,37,
Streeter,46.71797,-99.46081,1944,1990,05,21,23.28,,19.378,3.902,,6.421,E,6.611,-0.19,E,14.851,E,12.994,1.856,0,,2.286,35,
Streeter,46.71797,-99.46081,1944,1990,05,22,25.61,,19.556,6.054,,10.47,,6.878,3.592,,18.04,,13.217,4.823,0,,2.54,34,
Streeter,46.71797,-99.46081,1944,1990,05,23,25.84,,19.722,6.118,,6.599,,7.111,-0.512,,16.219,,13.417,2.803,0,,2.286,32,
Streeter,46.71797,-99.46081,1944,1990,05,24,21.81,,19.933,1.877,,13.16,,7.333,5.827,,17.485,,13.633,3.852,0,,2.54,31,
Streeter,46.71797,-99.46081,1944,1990,05,25,17,,20.111,-3.111,,12.49,,7.567,4.923,,14.745,,13.839,0.906,2.997,,2.286,35,
Streeter,46.71797,-99.46081,1944,1990,05,26,22.56,,20.278,2.282,,10.53,,7.789,2.741,,16.545,,14.033,2.512,0,,2.286,33,
Streeter,46.71797,-99.46081,1944,1990,05,27,23.66,,20.444,3.216,,9.59,,8.056,1.534,,16.625,,14.25,2.375,0.991,,2.54,34,
Streeter,46.71797,-99.46081,1944,1990,05,28,26.31,,20.611,5.699,,7.92,,8.283,-0.363,,17.115,,14.444,2.671,0,,2.54,32,
Streeter,46.71797,-99.46081,1944,1990,05,29,25.6,,20.778,4.822,,9.47,,8.506,0.964,,17.535,,14.644,2.891,0,,2.794,31,
Streeter,46.71797,-99.46081,1944,1990,05,30,24.84,,20.944,3.896,,11.49,,8.728,2.762,,18.165,,14.833,3.332,0,,2.54,30,
Streeter,46.71797,-99.46081,1944,1990,05,31,22.95,,21.111,1.839,,14.23,,8.894,5.336,,18.59,,15,3.59,0,,2.794,29,
Streeter,46.71797,-99.46081,1944,1990,06,01,29.72,,21.278,8.442,,14.77,,9.117,5.653,,22.245,,15.194,7.051,26.01,,3.048,59,
Streeter,46.71797,-99.46081,1944,1990,06,02,23.68,,21.433,2.247,,11.87,,9.339,2.531,,17.775,,15.389,2.386,34.011,,2.794,96,
Streeter,46.71797,-99.46081,1944,1990,06,03,15.03,,21.6,-6.57,,6.833,,9.556,-2.723,,10.932,,15.578,-4.646,0.991,,2.794,94,
Streeter,46.71797,-99.46081,1944,1990,06,04,18.95,,21.767,-2.817,,4.901,,9.728,-4.827,,11.926,,15.744,-3.819,0,,3.048,91,
Streeter,46.71797,-99.46081,1944,1990,06,05,19.92,,21.878,-1.958,,10,,9.944,0.056,,14.96,,15.911,-0.951,2.007,,2.794,90,
Streeter,46.71797,-99.46081,1944,1990,06,06,24.11,,22.05,2.06,,7.09,,10.156,-3.066,,15.6,,16.1,-0.5,0,,3.048,88,
Streeter,46.71797,-99.46081,1944,1990,06,07,17.75,,22.206,-4.456,,10.24,,10.322,-0.082,,13.995,,16.261,-2.266,3.988,,3.048,89,
Streeter,46.71797,-99.46081,1944,1990,06,08,20.36,,22.328,-1.968,,11.76,,10.5,1.26,,16.06,,16.417,-0.357,2.007,,3.048,88,
Streeter,46.71797,-99.46081,1944,1990,06,09,28.72,,22.483,6.237,,8.62,,10.7,-2.08,,18.67,,16.589,2.081,0,,2.794,86,
Streeter,46.71797,-99.46081,1944,1990,06,10,28.86,,22.606,6.254,,16.6,,10.867,5.733,,22.73,,16.733,5.997,0,,3.048,84,
Streeter,46.71797,-99.46081,1944,1990,06,11,30.4,,22.761,7.639,,12.79,,11.033,1.757,,21.595,,16.894,4.701,0,,3.048,81,
Streeter,46.71797,-99.46081,1944,1990,06,12,25.12,,22.883,2.237,,8.16,,11.2,-3.04,,16.64,,17.039,-0.399,0,,3.302,79,
Streeter,46.71797,-99.46081,1944,1990,06,13,23.87,,23.039,0.831,,7.48,,11.361,-3.881,,15.675,,17.2,-1.525,0,,3.048,77,
Streeter,46.71797,-99.46081,1944,1990,06,14,15.03,,23.15,-8.12,,7.98,,11.528,-3.548,,11.505,,17.339,-5.834,0,,3.048,75,
Streeter,46.71797,-99.46081,1944,1990,06,15,22.12,,23.322,-1.202,,10.78,,11.683,-0.903,,16.45,,17.506,-1.056,19.99,,3.048,89,
Streeter,46.71797,-99.46081,1944,1990,06,16,43.6,,23.433,20.167,,12.382,E,11.85,0.532,E,27.991,E,17.644,10.347,0,,3.048,87,
Streeter,46.71797,-99.46081,1944,1990,06,17,43.45,,23.55,19.9,,15.42,,12.006,3.414,,29.435,,17.778,11.657,18.999,,3.048,99,
Streeter,46.71797,-99.46081,1944,1990,06,18,29,,23.711,5.289,,11.98,,12.167,-0.187,,20.49,,17.939,2.551,10.998,,3.048,105,
Streeter,46.71797,-99.46081,1944,1990,06,19,25.9,,23.833,2.067,,13.5,,12.272,1.228,,19.7,,18.056,1.644,10.008,,3.048,110,
Streeter,46.71797,-99.46081,1944,1990,06,20,23.89,,23.944,-0.054,,11.7,,12.439,-0.739,,17.795,,18.194,-0.399,0,,3.048,108,
Streeter,46.71797,-99.46081,1944,1990,06,21,22.31,,24.1,-1.79,,11.45,,12.556,-1.106,,16.88,,18.328,-1.448,8.992,,3.048,112,
Streeter,46.71797,-99.46081,1944,1990,06,22,21.76,,24.222,-2.462,,10.6,,12.711,-2.111,,16.18,,18.467,-2.287,0,,3.048,109,
Streeter,46.71797,-99.46081,1944,1990,06,23,24.17,,24.333,-0.163,,9.15,,12.822,-3.672,,16.66,,18.578,-1.918,0,,3.302,107,
Streeter,46.71797,-99.46081,1944,1990,06,24,29.7,,24.456,5.244,,13.8,,12.933,0.867,,21.75,,18.694,3.056,0,,3.048,105,
Streeter,46.71797,-99.46081,1944,1990,06,25,30.57,,24.611,5.959,,17.45,,13.044,4.406,,24.01,,18.828,5.182,0,,3.302,103,
Streeter,46.71797,-99.46081,1944,1990,06,26,32.47,,24.733,7.737,,17.13,,13.144,3.986,,24.8,,18.939,5.861,0,,3.302,101,
Streeter,46.71797,-99.46081,1944,1990,06,27,37.011,,24.844,12.167,,19.09,,13.256,5.834,,28.051,,19.05,9.001,18.999,,3.302,110,
Streeter,46.71797,-99.46081,1944,1990,06,28,30.36,,24.967,5.393,,20.58,,13.367,7.213,,25.47,,19.167,6.303,2.007,,3.302,109,
Streeter,46.71797,-99.46081,1944,1990,06,29,28.86,,25.078,3.782,,16.51,E,13.478,3.032,E,22.685,E,19.278,3.407,2.007,,3.048,108,
Streeter,46.71797,-99.46081,1944,1990,06,30,27.65,,25.244,2.406,,13.68,,13.589,0.091,,20.665,,19.417,1.248,2.007,,3.048,108,
Streeter,46.71797,-99.46081,1944,1990,07,01,31.53,,25.356,6.174,,16.26,,13.694,2.566,,23.895,,19.522,4.373,3.988,,3.048,108,
Streeter,46.71797,-99.46081,1944,1990,07,02,31.79,,25.467,6.323,,20.53,,13.756,6.774,,26.16,,19.611,6.549,2.007,,3.302,107,
Streeter,46.71797,-99.46081,1944,1990,07,03,27.06,,25.589,1.471,,15.09,,13.867,1.223,,21.075,,19.728,1.347,0,,3.302,105,
Streeter,46.71797,-99.46081,1944,1990,07,04,21.95,,25.7,-3.75,,10.69,,13.922,-3.232,,16.32,,19.811,-3.491,0,,3.048,104,
Streeter,46.71797,-99.46081,1944,1990,07,05,21.95,,25.822,-3.872,,8.83,,14.033,-5.203,,15.39,,19.928,-4.538,0,,3.048,102,
Streeter,46.71797,-99.46081,1944,1990,07,06,27.89,,25.933,1.957,,12.85,,14.089,-1.239,,20.37,,20.011,0.359,0,,3.302,100,
Streeter,46.71797,-99.46081,1944,1990,07,07,28.25,,26.039,2.211,,16.14,,14.156,1.984,,22.195,,20.094,2.101,0.991,,3.048,99,
Streeter,46.71797,-99.46081,1944,1990,07,08,23.83,,26.15,-2.32,,12.41,,14.211,-1.801,,18.12,,20.178,-2.058,0.991,,2.794,98,
Streeter,46.71797,-99.46081,1944,1990,07,09,29.13,,26.272,2.858,,11.55,,14.311,-2.761,,20.34,,20.294,0.046,2.997,,3.048,98,
Streeter,46.71797,-99.46081,1944,1990,07,10,27.37,,26.383,0.987,,14.56,,14.378,0.182,,20.965,,20.383,0.582,5.994,,2.794,100,
Streeter,46.71797,-99.46081,1944,1990,07,11,22.49,,26.45,-3.96,,11.46,,14.433,-2.973,,16.975,,20.444,-3.469,2.007,,3.048,99,
Streeter,46.71797,-99.46081,1944,1990,07,12,23.63,,26.561,-2.931,,9.2,,14.444,-5.244,,16.415,,20.506,-4.091,0.991,,2.794,98,
Streeter,46.71797,-99.46081,1944,1990,07,13,23.93,,26.672,-2.742,,9.51,,14.5,-4.99,,16.72,,20.589,-3.869,0,,3.048,97,
Streeter,46.71797,-99.46081,1944,1990,07,14,29.04,,26.733,2.307,,9.02,,14.556,-5.536,,19.03,,20.644,-1.614,0,,3.048,96,
Streeter,46.71797,-99.46081,1944,1990,07,15,24.74,,26.839,-2.099,,12.49,,14.611,-2.121,,18.615,,20.728,-2.113,0,,3.048,94,
Streeter,46.71797,-99.46081,1944,1990,07,16,28.76,,26.9,1.86,,10.56,,14.617,-4.057,,19.66,,20.761,-1.101,0.991,,2.794,94,
Streeter,46.71797,-99.46081,1944,1990,07,17,24.06,,27,-2.94,,14.78,,14.672,0.108,,19.42,,20.833,-1.413,0,,3.048,92,
Streeter,46.71797,-99.46081,1944,1990,07,18,25.4,,27.067,-1.667,,13.69,,14.683,-0.993,,19.545,,20.878,-1.333,0,,2.794,91,
Streeter,46.71797,-99.46081,1944,1990,07,19,24.81,,27.122,-2.312,,12.82,,14.683,-1.863,,18.815,,20.9,-2.085,0,,2.54,90,
Streeter,46.71797,-99.46081,1944,1990,07,20,21.56,,27.178,-5.618,,10.96,,14.739,-3.779,,16.26,,20.956,-4.696,0,,2.794,89,
Streeter,46.71797,-99.46081,1944,1990,07,21,21.68,,27.233,-5.553,,9.59,,14.739,-5.149,,15.635,,20.989,-5.354,0,,2.794,88,
Streeter,46.71797,-99.46081,1944,1990,07,22,22.98,,27.289,-4.309,,7.45,,14.744,-7.294,,15.215,,21.017,-5.802,0,,2.54,87,
Streeter,46.71797,-99.46081,1944,1990,07,23,28.44,,27.344,1.096,,9.96,,14.744,-4.784,,19.2,,21.044,-1.844,0,,2.54,86,
Streeter,46.71797,-99.46081,1944,1990,07,24,27.39,,27.356,0.034,,13.44,,14.744,-1.304,,20.415,,21.05,-0.635,0,,2.286,85,
Streeter,46.71797,-99.46081,1944,1990,07,25,27.14,,27.406,-0.266,,16.48,,14.744,1.736,,21.81,,21.078,0.732,0,,2.286,85,
Streeter,46.71797,-99.46081,1944,1990,07,26,29.36,,27.411,1.949,,18.22,,14.7,3.52,,23.79,,21.056,2.734,0,,2.286,84,
Streeter,46.71797,-99.46081,1944,1990,07,27,29.81,,27.456,2.354,,15.96,,14.7,1.26,,22.885,,21.078,1.807,0,,2.286,83,
Streeter,46.71797,-99.46081,1944,1990,07,28,27.39,,27.456,-0.066,,15.51,,14.7,0.81,,21.45,,21.078,0.372,0,,2.032,82,
Streeter,46.71797,-99.46081,1944,1990,07,29,24.05,,27.461,-3.411,,11.97,,14.644,-2.674,,18.01,,21.056,-3.046,0,,2.286,82,
Streeter,46.71797,-99.46081,1944,1990,07,30,24.75,,27.456,-2.706,,8.67,,14.644,-5.974,,16.71,,21.05,-4.34,0,,2.032,81,
Streeter,46.71797,-99.46081,1944,1990,07,31,29.4,,27.456,1.944,,11.75,,14.589,-2.839,,20.575,,21.022,-0.447,0,,2.032,80,
Streeter,46.71797,-99.46081,1944,1990,08,01,33.17,,27.456,5.714,,16.69,,14.533,2.157,,24.93,,20.994,3.936,0,,1.778,80,
Streeter,46.71797,-99.46081,1944,1990,08,02,30.79,,27.4,3.39,,17,,14.489,2.511,,23.895,,20.944,2.951,0,,1.778,79,
Streeter,46.71797,-99.46081,1944,1990,08,03,27.53,,27.4,0.13,,12.96,,14.433,-1.473,,20.245,,20.917,-0.672,0,,2.032,79,
Streeter,46.71797,-99.46081,1944,1990,08,04,24.08,,27.344,-3.264,,7.43,,14.378,-6.948,,15.755,,20.861,-5.106,0,,1.778,78,
Streeter,46.71797,-99.46081,1944,1990,08,05,27.86,,27.289,0.571,,6.442,,14.311,-7.869,,17.151,,20.8,-3.649,0,,2.032,78,
Streeter,46.71797,-99.46081,1944,1990,08,06,30.53,,27.278,3.252,,13.67,,14.256,-0.586,,22.1,,20.767,1.333,0,,1.778,77,
Streeter,46.71797,-99.46081,1944,1990,08,07,30.19,,27.222,2.968,,13.44,,14.2,-0.76,,21.815,,20.711,1.104,0,,1.778,77,
Streeter,46.71797,-99.46081,1944,1990,08,08,33.02,,27.167,5.853,,15.35,,14.089,1.261,,24.185,,20.628,3.557,0,,2.032,76,
Streeter,46.71797,-99.46081,1944,1990,08,09,25.02,,27.067,-2.047,,11.99,,14.033,-2.043,,18.505,,20.55,-2.045,0,,1.778,75,
Streeter,46.71797,-99.46081,1944,1990,08,10,24.66,,27.011,-2.351,,11.62,,13.922,-2.302,,18.14,,20.467,-2.327,0,,1.778,75,
Streeter,46.71797,-99.46081,1944,1990,08,11,24.67,,26.944,-2.274,,6.929,,13.856,-6.927,,15.799,,20.4,-4.601,0,,1.778,75,
Streeter,46.71797,-99.46081,1944,1990,08,12,21.23,,26.844,-5.614,,8.08,,13.744,-5.664,,14.655,,20.294,-5.639,0,,1.778,74,
Streeter,46.71797,-99.46081,1944,1990,08,13,28.8,,26.733,2.067,,7.22,,13.633,-6.413,,18.01,,20.183,-2.173,0,,1.778,74,
Streeter,46.71797,-99.46081,1944,1990,08,14,25.71,,26.667,-0.957,,14.61,,13.522,1.088,,20.16,,20.094,0.066,0,,1.778,73,
Streeter,46.71797,-99.46081,1944,1990,08,15,31.05,,26.561,4.489,,11.84,,13.411,-1.571,,21.445,,19.983,1.462,0,,1.778,73,
Streeter,46.71797,-99.46081,1944,1990,08,16,34.62,,26.45,8.17,,16.28,,13.3,2.98,,25.45,,19.878,5.572,0,,2.032,72,
Streeter,46.71797,-99.46081,1944,1990,08,17,31.61,,26.339,5.271,,17.28,,13.189,4.091,,24.445,,19.767,4.678,13.005,,1.778,76,
Streeter,46.71797,-99.46081,1944,1990,08,18,17.33,,26.228,-8.898,,13.76,,13.072,0.688,,15.545,,19.65,-4.105,2.007,,2.032,76,
Streeter,46.71797,-99.46081,1944,1990,08,19,22.57,,26.072,-3.502,,12.22,,12.961,-0.741,,17.395,,19.517,-2.122,0,,2.032,76,
Streeter,46.71797,-99.46081,1944,1990,08,20,24.45,,25.956,-1.506,,13.13,,12.794,0.336,,18.79,,19.378,-0.588,0,,2.032,75,
Streeter,46.71797,-99.46081,1944,1990,08,21,26.85,,25.85,1,,15.41,,12.683,2.727,,21.13,,19.267,1.863,0,,2.032,75,
Streeter,46.71797,-99.46081,1944,1990,08,22,31.37,,25.683,5.687,,17.58,,12.517,5.063,,24.475,,19.1,5.375,0,,2.032,74,
Streeter,46.71797,-99.46081,1944,1990,08,23,31.337,E,25.572,5.765,E,13.141,E,12.406,0.736,E,22.239,E,18.989,3.251,0,E,2.032,74,E
Streeter,46.71797,-99.46081,1944,1990,08,24,31.862,E,25.406,6.456,E,13.819,E,12.239,1.581,E,22.841,E,18.822,4.018,5.918,E,2.286,75,E
Streeter,46.71797,-99.46081,1944,1990,08,25,29.472,E,25.244,4.227,E,13.232,E,12.072,1.16,E,21.352,E,18.656,2.697,8.636,E,2.032,77,E
Streeter,46.71797,-99.46081,1944,1990,08,26,27.836,E,25.078,2.758,E,15.392,E,11.906,3.486,E,21.614,E,18.489,3.125,0,E,2.286,77,E
Streeter,46.71797,-99.46081,1944,1990,08,27,28.64,,24.961,3.679,,15.053,E,11.75,3.303,E,21.847,E,18.356,3.491,0,E,2.032,76,E
Streeter,46.71797,-99.46081,1944,1990,08,28,28.65,,24.794,3.856,,13.47,,11.583,1.887,,21.06,,18.189,2.871,0,,2.286,76,
Streeter,46.71797,-99.46081,1944,1990,08,29,31.16,,24.633,6.527,,10.32,,11.417,-1.097,,20.74,,18.022,2.718,0,,2.032,75,
Streeter,46.71797,-99.46081,1944,1990,08,30,33.57,,24.467,9.103,,11.15,,11.25,-0.1,,22.36,,17.861,4.499,5.004,,2.032,76,
Streeter,46.71797,-99.46081,1944,1990,08,31,28.79,,24.3,4.49,,13.82,,11.083,2.737,,21.305,,17.689,3.616,0.025,,2.032,76,
Streeter,46.71797,-99.46081,1944,1990,09,01,30.62,,24.089,6.531,,10.49,,10.917,-0.427,,20.555,,17.5,3.055,0,,2.286,75,
Streeter,46.71797,-99.46081,1944,1990,09,02,30.7,,23.911,6.789,,16.44,,10.75,5.69,,23.57,,17.333,6.237,0,,2.032,75,
Streeter,46.71797,-99.46081,1944,1990,09,03,31.44,,23.744,7.696,,17.83,,10.533,7.297,,24.635,,17.139,7.496,8.636,,2.032,77,
Streeter,46.71797,-99.46081,1944,1990,09,04,26.36,,23.533,2.827,,14.23,,10.361,3.869,,20.295,,16.944,3.351,1.295,,2.032,77,
Streeter,46.71797,-99.46081,1944,1990,09,05,28.28,,23.367,4.913,,14.62,,10.144,4.476,,21.45,,16.756,4.694,15.011,,2.032,81,
Streeter,46.71797,-99.46081,1944,1990,09,06,28.73,,23.144,5.586,,14.9,,9.978,4.922,,21.815,,16.561,5.254,1.981,,2.286,81,
Streeter,46.71797,-99.46081,1944,1990,09,07,26.7,,22.978,3.722,,10.02,,9.767,0.253,,18.36,,16.372,1.988,5.004,,2.032,82,
Streeter,46.71797,-99.46081,1944,1990,09,08,30.62,,22.756,7.864,,13.94,,9.544,4.396,,22.28,,16.15,6.13,0,,1.778,82,
Streeter,46.71797,-99.46081,1944,1990,09,09,27.81,,22.578,5.232,,11.42,,9.378,2.042,,19.615,,15.978,3.637,0,,2.286,81,
Streeter,46.71797,-99.46081,1944,1990,09,10,25.86,,22.356,3.504,,10.21,,9.156,1.054,,18.035,,15.756,2.279,0,,2.032,81,
Streeter,46.71797,-99.46081,1944,1990,09,11,32.85,,22.133,10.717,,14.52,,8.944,5.576,,23.685,,15.539,8.146,0,,2.032,80,
Streeter,46.71797,-99.46081,1944,1990,09,12,29.67,,21.911,7.759,,12.37,,8.722,3.648,,21.02,,15.317,5.703,0,,2.032,80,
Streeter,46.71797,-99.46081,1944,1990,09,13,28.16,,21.689,6.471,,8.73,,8.511,0.219,,18.445,,15.1,3.345,0.279,,1.778,79,
Streeter,46.71797,-99.46081,1944,1990,09,14,22.34,,21.467,0.873,,3.085,,8.333,-5.248,,12.713,,14.9,-2.187,0,,2.032,79,
Streeter,46.71797,-99.46081,1944,1990,09,15,20.38,,21.244,-0.864,,6.651,,8.111,-1.46,,13.516,,14.678,-1.162,0,,1.778,79,
Streeter,46.71797,-99.46081,1944,1990,09,16,17.87,,21.011,-3.141,,2.209,,7.844,-5.636,,10.039,,14.428,-4.388,0,,1.778,78,
Streeter,46.71797,-99.46081,1944,1990,09,17,20.79,,20.789,0.001,,8.99,,7.622,1.368,,14.89,,14.206,0.684,3.302,,1.524,79,
Streeter,46.71797,-99.46081,1944,1990,09,18,18.89,,20.556,-1.666,,6.005,,7.406,-1.401,,12.448,,13.978,-1.53,15.342,,1.524,83,
Streeter,46.71797,-99.46081,1944,1990,09,19,22.04,,20.333,1.707,,3.371,,7.183,-3.812,,12.706,,13.761,-1.056,0.152,,1.524,82,
Streeter,46.71797,-99.46081,1944,1990,09,20,13.53,,20.056,-6.526,,6.684,,6.956,-0.272,,10.107,,13.506,-3.398,4.089,,1.524,83,
Streeter,46.71797,-99.46081,1944,1990,09,21,14.72,,19.822,-5.102,,2.788,,6.733,-3.946,,8.754,,13.278,-4.524,0.102,,1.778,83,
Streeter,46.71797,-99.46081,1944,1990,09,22,11.83,,19.544,-7.714,,0.137,,6.511,-6.374,,5.984,,13.028,-7.044,0,,1.524,83,
Streeter,46.71797,-99.46081,1944,1990,09,23,18.59,,19.311,-0.721,,-2.476,,6.239,-8.715,,8.057,,12.778,-4.721,0,,1.524,82,
Streeter,46.71797,-99.46081,1944,1990,09,24,27.69,,19.033,8.657,,6.159,,6.011,0.148,,16.924,,12.522,4.402,0,,1.524,82,
Streeter,46.71797,-99.46081,1944,1990,09,25,29.96,,18.794,11.166,,8.74,,5.789,2.951,,19.35,,12.289,7.061,0,,1.27,82,
Streeter,46.71797,-99.46081,1944,1990,09,26,28.94,,18.517,10.423,,8.31,,5.517,2.793,,18.625,,12.017,6.608,0,,1.524,81,
Streeter,46.71797,-99.46081,1944,1990,09,27,18.04,,18.239,-0.199,,3.537,,5.289,-1.752,,10.789,,11.761,-0.972,0,,1.27,81,
Streeter,46.71797,-99.46081,1944,1990,09,28,14.75,,17.95,-3.2,,2.093,,5.056,-2.963,,8.422,,11.5,-3.078,3.81,,1.524,82,
Streeter,46.71797,-99.46081,1944,1990,09,29,11.09,,17.672,-6.582,,2.346,,4.789,-2.443,,6.718,,11.233,-4.515,0.178,,1.27,81,
Streeter,46.71797,-99.46081,1944,1990,09,30,18.24,,17.383,0.857,,1.273,,4.556,-3.283,,9.757,,10.972,-1.216,0,,1.524,81,
Streeter,46.71797,-99.46081,1944,1990,10,01,20.03,,17.1,2.93,,0.636,,4.278,-3.642,,10.333,,10.689,-0.356,0,,1.524,81,
Streeter,46.71797,-99.46081,1944,1990,10,02,21.49,,16.811,4.679,,9.23,,4.056,5.174,,15.36,,10.433,4.927,0,,1.524,80,
Streeter,46.71797,-99.46081,1944,1990,10,03,14.9,,16.533,-1.633,,1.365,,3.778,-2.413,,8.133,,10.156,-2.023,0.076,,1.524,80,
Streeter,46.71797,-99.46081,1944,1990,10,04,15.5,,16.244,-0.744,,2.137,,3.544,-1.407,,8.819,,9.894,-1.076,0,,1.524,80,
Streeter,46.71797,-99.46081,1944,1990,10,05,28.94,,15.911,13.029,,6.497,,3.272,3.225,,17.719,,9.594,8.124,0,,1.778,79,
Streeter,46.71797,-99.46081,1944,1990,10,06,6.47,,15.628,-9.158,,-3.29,,3.039,-6.329,,1.59,,9.333,-7.743,0,,1.27,79,
