"Year","Spec","X","Y","FirstFound","AgeFound","Exposure","Fate2","InitBHCO","Clutch","InitClutch","Fate"
2024,"RWBL",464906,5177147,"7/16/2024",9,15,"Failed",0,3,3,"Failed"
2024,"WEME",464355,5175828,"7/11/2024",4,20,"Survive",0,5,5,"Survive"
2024,"RWBL",464644,5176078,"7/11/2024",4,20,"Survive",0,3,4,"Survive"
2024,"GADW",465158,5176056,"7/9/2024",7,20,"Failed",0,9,9,"Failed"
2024,"WEME",464755,5175852,"7/9/2024",6,13,"Failed",0,4,4,"Failed"
2024,"RWBL",465667,5175993,"7/18/2024",10,6,"Failed",2,2,2,"Failed"
2024,"GADW",465161,5176648,"7/3/2024",1,26,"Survive",0,8,8,"Survive"
2024,"RWBL",464241,5176532,"7/15/2024",8,14,"Failed",0,4,4,"Failed"
2024,"RWBL",464572,5175816,"7/11/2024",4,18,"Survive",0,3,3,"Survive"
2024,"MALL",464488,5176846,"7/16/2024",17,13,"Survive",0,9,9,"Survive"
2024,"BRBL",464890,5176456,"6/27/2024",-4,8,"Failed",0,1,0,"Failed"
2024,"MAWR",464776,5176555,"7/16/2024",3,10,"Survive",0,2,2,"Survive"
2024,"CCSP",465054,5176824,"7/2/2024",-3,1,"Failed",0,1,1,"Failed"
2024,"MALL",465188,5177133,"7/2/2024",5,1,"Abandoned",0,6,6,"Failed"
2024,"GADW",465532,5177125,"7/3/2024",3,6,"Failed",0,4,6,"Failed"
2024,"MALL",465668,5177112,"7/3/2024",2,17,"Failed",0,6,5,"Failed"
2024,"RWBL",465475,5176893,"7/3/2024",1,12,"Failed",0,4,4,"Failed"
2024,"WEME",465702,5176239,"7/6/2024",1,3,"Failed",0,3,3,"Failed"
2024,"CCSP",465517,5176037,"7/8/2024",1,18,"Failed",0,4,4,"Failed"
2024,"GADW",465333,5175723,"6/21/2024",17,2,"Failed",0,10,10,"Failed"
2024,"RWBL",465092,5176238,"7/6/2024",2,3,"Failed",0,3,3,"Failed"
2024,"BRBL",465060,5176361,"7/6/2024",-3,6,"Failed",1,2,1,"Failed"
2024,"RWBL",464266,5176435,"7/15/2024",-4,1,"Failed",1,0,0,"Failed"
2024,"CCSP",464572,5176291,"7/12/2024",6,10,"Failed",0,3,3,"Failed"
2024,"CCSP",464752,5175691,"7/10/2024",4,12,"Failed",1,1,2,"Failed"
2024,"CCSP",464756,5175890,"7/10/2024",7,16,"Survive",0,4,4,"Survive"
2024,"GADW",464722,5175910,"7/10/2024",11,16,"Survive",0,7,7,"Survive"
2024,"BOBO",464784,5175938,"7/13/2024",8,11,"Failed",0,1,3,"Failed"
2024,"CCSP",465246,5175794,"7/9/2024",7,17,"Survive",0,4,4,"Survive"
2024,"CCLO",465555,5175753,"7/6/2024",5,20,"Survive",0,4,4,"Survive"
2024,"SAVS",465707,5176012,"7/18/2024",6,8,"Failed",0,5,5,"Failed"
2024,"CCSP",465463,5175975,"7/6/2024",5,18,"Survive",0,4,4,"Survive"
2024,"GADW",465637,5175946,"7/6/2024",7,3,"Failed",0,7,7,"Failed"
2024,"AMWI",465566,5176007,"7/6/2024",-4,14,"Failed",0,8,4,"Failed"
2024,"BRBL",465608,5176112,"7/6/2024",7,6,"Failed",2,2,3,"Failed"
2024,"GADW",465387,5176792,"7/3/2024",2,12,"Failed",0,7,7,"Failed"
2024,"CCSP",465380,5177100,"7/3/2024",-2,9,"Failed",0,1,2,"Failed"
2024,"RWBL",465242,5176837,"7/3/2024",2,3,"Failed",4,2,2,"Failed"
2024,"CCSP",464923,5177078,"7/17/2024",10,7,"Failed",0,3,3,"Failed"
2024,"CCSP",464585,5177132,"7/17/2024",15,7,"Survive",1,1,1,"Survive"
2024,"MODO",464325,5176487,"6/26/2024",0,11,"Failed",0,2,2,"Failed"
2024,"GADW",464619,5176375,"6/26/2024",-3,28,"Survive",0,7,4,"Survive"
2024,"CCSP",464294,5175905,"7/12/2024",6,7,"Failed",0,4,4,"Failed"
2024,"RWBL",465375,5176555,"7/5/2024",7,17,"Survive",0,3,3,"Survive"
2024,"RWBL",464208,5177157,"6/28/2024",1,24,"Survive",0,1,4,"Survive"
2024,"CCSP",464256,5177109,"7/16/2024",15,6,"Survive",0,3,3,"Survive"
2024,"CCSP",464342,5176789,"6/27/2024",-4,22,"Failed",1,2,0,"Failed"
2024,"GADW",464507,5176250,"6/26/2024",7,20,"Failed",0,6,6,"Failed"
2024,"WEME",464345,5175844,"7/11/2024",13,11,"Failed",0,4,4,"Failed"
2024,"CCSP",465023,5175662,"7/3/2024",4,19,"Survive",1,3,3,"Survive"
2024,"WEME",465666,5175725,"7/6/2024",11,16,"Survive",0,1,3,"Survive"
2024,"GADW",465679,5177190,"6/28/2024",5,3,"Failed",0,3,3,"Failed"
2024,"RWBL",465526,5176945,"7/3/2024",10,9,"Failed",0,4,3,"Failed"
2024,"RWBL",465718,5176812,"6/23/2024",-3,25,"Survive",0,4,1,"Survive"
2024,"CCSP",465644,5176640,"7/5/2024",9,4,"Failed",2,1,1,"Failed"
2024,"CCSP",465172,5177152,"7/2/2024",2,18,"Failed",1,2,4,"Failed"
2024,"RWBL",464880,5177173,"6/27/2024",-1,22,"Survive",1,2,1,"Survive"
2024,"GWTE",464834,5176814,"7/1/2024",2,18,"Failed",0,10,10,"Failed"
2024,"MALL",464286,5176448,"6/26/2024",3,23,"Survive",0,7,7,"Survive"
2024,"CCSP",464771,5175939,"7/10/2024",16,9,"Failed",0,3,3,"Failed"
2024,"GADW",464642,5175685,"6/24/2024",2,25,"Survive",0,9,9,"Survive"
2024,"RWBL",464857,5176209,"6/24/2024",-3,8,"Failed",0,4,1,"Failed"
2024,"UPSA",464167,5175996,"7/12/2024",NA,7,"Survive",0,4,4,"Survive"
2024,"CCSP",464304,5176073,"7/12/2024",16,7,"Survive",1,3,3,"Survive"
2024,"WEME",464658,5176346,"6/26/2024",2,6,"Failed",0,6,6,"Failed"
2024,"CCSP",464495,5176242,"7/12/2024",15,4,"Failed",0,3,3,"Failed"
2024,"STGR",465153,5176190,"6/20/2024",-4,25,"Survive",0,10,3,"Survive"
2024,"CCSP",465197,5176019,"7/9/2024",15,6,"Failed",1,1,2,"Failed"
2024,"CCLO",465171,5175934,"7/1/2024",5,14,"Failed",0,4,4,"Failed"
2024,"CCSP",465120,5175959,"7/9/2024",13,9,"Failed",2,1,2,"Failed"
2024,"EAKI",464957,5175805,"6/23/2024",2,27,"Survive",0,2,3,"Survive"
2024,"BRBL",465320,5175678,"6/21/2024",-4,10,"Failed",0,3,0,"Failed"
2024,"GADW",465421,5175696,"6/21/2024",0,2,"Abandoned",0,2,2,"Failed"
2024,"CCSP",465570,5176039,"7/6/2024",3,14,"Failed",0,3,3,"Failed"
2024,"SAVS",465461,5176268,"7/6/2024",10,9,"Failed",0,5,5,"Failed"
2024,"WEME",465280,5176239,"7/6/2024",7,12,"Failed",1,4,4,"Failed"
2024,"BRBL",464884,5176425,"6/26/2024",2,6,"Failed",0,1,3,"Failed"
2024,"BRBL",464914,5176443,"6/21/2024",-1,8,"Failed",0,2,1,"Failed"
2024,"CCSP",464532,5176963,"6/28/2024",1,18,"Failed",1,3,3,"Failed"
2024,"CCSP",465563,5175863,"7/6/2024",11,12,"Failed",0,4,4,"Failed"
2024,"CCSP",464575,5175916,"7/11/2024",14,2,"Failed",1,2,2,"Failed"
2024,"GADW",465250,5175895,"7/9/2024",19,9,"Survive",0,10,10,"Survive"
2024,"BRBL",464903,5176426,"6/26/2024",2,3,"Failed",3,3,3,"Failed"
2024,"CCSP",464745,5176358,"6/26/2024",2,3,"Failed",1,2,2,"Failed"
2024,"YHBL",464646,5176607,"6/27/2024",4,5,"Failed",0,2,2,"Failed"
2024,"CCSP",464379,5176072,"6/26/2024",1,11,"Failed",1,3,1,"Failed"
2024,"NSHO",464663,5175667,"6/24/2024",-1,2,"Abandoned",0,6,7,"Failed"
2024,"WEME",465383,5175690,"6/21/2024",-1,15,"Failed",0,2,1,"Failed"
2024,"CCSP",464692,5176806,"6/28/2024",4,18,"Survive",0,3,3,"Survive"
2024,"GADW",464533,5177059,"6/9/2024",-8,37,"Survive",0,7,1,"Survive"
2024,"CCSP",464596,5176828,"6/28/2024",3,18,"Failed",1,3,3,"Failed"
2024,"CCSP",464442,5176808,"6/27/2024",2,13,"Failed",2,4,2,"Failed"
2024,"RWBL",464270,5176446,"6/24/2024",2,22,"Failed",3,3,3,"Failed"
2024,"CCSP",464383,5176398,"6/26/2024",4,6,"Failed",1,2,3,"Failed"
2024,"BRBL",464867,5175703,"6/23/2024",2,23,"Survive",2,1,4,"Survive"
2024,"GADW",464859,5175845,"6/24/2024",2,22,"Survive",0,10,10,"Survive"
2024,"CCSP",464374,5175884,"6/24/2024",-3,19,"Failed",0,4,1,"Failed"
2024,"WEME",464257,5176034,"6/26/2024",6,15,"Failed",0,5,6,"Failed"
2024,"CCSP",464484,5176177,"7/12/2024",15,1,"Failed",1,2,2,"Failed"
2024,"NOPI",464885,5176278,"6/24/2024",2,8,"Failed",0,2,2,"Failed"
2024,"MALL",464985,5176419,"6/24/2024",3,2,"Failed",0,10,10,"Failed"
2024,"CCSP",464223,5176911,"6/28/2024",5,1,"Failed",3,3,3,"Failed"
2024,"NOPI",464896,5175775,"6/23/2024",3,3,"Abandoned",0,4,4,"Failed"
2024,"CCSP",465128,5175710,"7/9/2024",15,6,"Failed",0,5,5,"Failed"
2024,"CCSP",465534,5176296,"7/6/2024",14,9,"Survive",0,4,4,"Survive"
2024,"MODO",465568,5176334,"6/19/2024",5,7,"Failed",0,2,2,"Failed"
2024,"NOPI",465598,5176394,"6/17/2024",-3,19,"Failed",0,8,5,"Failed"
2024,"NOPI",465193,5176796,"7/2/2024",9,10,"Failed",0,8,9,"Failed"
2024,"YHBL",464712,5176593,"6/24/2024",1,5,"Failed",0,2,2,"Failed"
2024,"YHBL",464770,5176539,"6/27/2024",8,16,"Survive",0,2,2,"Survive"
2024,"YHBL",464707,5176578,"6/21/2024",1,3,"Failed",0,2,2,"Failed"
2024,"MALL",464478,5176974,"6/28/2024",13,4,"Failed",0,6,6,"Failed"
2024,"MODO",464213,5176634,"6/27/2024",14,16,"Survive",0,2,2,"Survive"
2024,"CCSP",464615,5176341,"6/26/2024",4,17,"Survive",0,3,3,"Survive"
2024,"NOPI",464472,5176196,"6/26/2024",10,17,"Survive",0,9,9,"Survive"
2024,"WEME",465452,5176380,"7/5/2024",16,1,"Failed",4,4,4,"Failed"
2024,"CCSP",465528,5176342,"6/19/2024",-1,7,"Failed",0,2,3,"Failed"
2024,"WEME",465622,5176154,"7/6/2024",20,6,"Survive",0,2,2,"Survive"
2024,"CCSP",465563,5175980,"6/20/2024",-1,19,"Failed",2,3,2,"Failed"
2024,"BRBL",465732,5175670,"6/20/2024",4,22,"Survive",2,3,3,"Survive"
2024,"BRBL",465246,5175824,"6/21/2024",2,2,"Failed",1,4,4,"Failed"
2024,"WEME",465048,5175762,"6/23/2024",9,19,"Survive",0,3,3,"Survive"
2024,"CCSP",464893,5175806,"7/2/2024",11,5,"Failed",2,1,3,"Failed"
2024,"WEME",464941,5175900,"6/23/2024",4,20,"Survive",0,2,4,"Survive"
2024,"RWBL",464892,5176140,"6/23/2024",2,8,"Failed",0,4,4,"Failed"
2024,"RWBL",465363,5176630,"6/19/2024",-4,7,"Failed",3,2,0,"Failed"
2024,"BRBL",465166,5176638,"7/3/2024",15,9,"Survive",0,2,3,"Survive"
2024,"GADW",465474,5176758,"7/5/2024",17,4,"Failed",0,7,7,"Failed"
2024,"SAVS",465719,5176809,"6/20/2024",-2,22,"Survive",0,5,3,"Survive"
2024,"WEME",465714,5176742,"6/17/2024",-1,6,"Failed",4,3,2,"Failed"
2024,"RWBL",465484,5176916,"7/3/2024",11,9,"Failed",0,4,4,"Failed"
2024,"CCSP",465191,5177175,"7/2/2024",15,7,"Survive",1,2,2,"Survive"
2024,"YHBL",464660,5176619,"6/13/2024",-4,11,"Failed",0,4,0,"Failed"
2024,"CCSP",464901,5175866,"6/23/2024",4,3,"Failed",0,2,2,"Failed"
2024,"BRBL",465242,5175833,"6/21/2024",5,2,"Failed",4,2,2,"Failed"
2024,"AMCO",464726,5176555,"6/13/2024",NA,3,NA,0,1,1,NA
2024,"MAWR",464736,5176587,"6/7/2024",-5,33,"Survive",0,5,0,"Survive"
2024,"WEME",465680,5177196,"6/14/2024",2,9,"Failed",0,3,3,"Failed"
2024,"GADW",465275,5176327,"6/19/2024",5,4,"Failed",0,6,6,"Failed"
2024,"STGR",464497,5175684,"6/24/2024",7,16,"Survive",0,12,12,"Survive"
2024,"GADW",464346,5175985,"6/17/2024",3,23,"Survive",0,8,8,"Survive"
2024,"CCSP",464222,5176166,"6/26/2024",4,9,"Failed",1,3,3,"Failed"
2024,"CCSP",464290,5176658,"6/27/2024",8,13,"Survive",2,1,1,"Survive"
2024,"WEME",464405,5177145,"7/1/2024",16,5,"Failed",0,2,4,"Failed"
2024,"CCSP",464830,5176991,"7/1/2024",15,9,"Failed",2,1,1,"Failed"
2024,"BWTE",465563,5176404,"6/17/2024",8,19,"Failed",0,9,9,"Failed"
2024,"CCSP",465576,5176750,"6/17/2024",2,3,"Failed",1,1,1,"Failed"
2024,"RWBL",465683,5176890,"6/17/2024",-4,16,"Failed",0,3,0,"Failed"
2024,"RWBL",465661,5176994,"6/14/2024",-1,25,"Survive",0,2,1,"Survive"
2024,"RWBL",465533,5176919,"6/19/2024",0,12,"Failed",0,4,4,"Failed"
2024,"RWBL",465529,5176912,"6/14/2024",-1,25,"Survive",0,2,3,"Survive"
2024,"GADW",465317,5176789,"6/12/2024",0,27,"Survive",0,8,8,"Survive"
2024,"CCSP",465295,5176773,"6/12/2024",3,19,"Failed",4,1,1,"Failed"
2024,"CCSP",465158,5177154,"6/11/2024",-4,6,"Failed",0,2,0,"Failed"
2024,"RWBL",465089,5176241,"6/21/2024",0,15,"Failed",2,3,3,"Failed"
2024,"NOPI",464921,5176092,"6/12/2024",1,2,"Abandoned",0,3,3,"Failed"
2024,"RWBL",464852,5176227,"6/24/2024",10,15,"Survive",0,4,4,"Survive"
2024,"CCSP",464334,5175839,"6/25/2024",11,2,"Failed",0,2,2,"Failed"
2024,"CCSP",464277,5176243,"6/26/2024",11,10,"Survive",1,2,3,"Survive"
2024,"NOPI",464530,5176298,"6/26/2024",15,11,"Failed",0,3,3,"Failed"
2024,"CCSP",464591,5176513,"6/19/2024",2,16,"Failed",1,2,3,"Failed"
2024,"NSHO",464253,5176956,"6/13/2024",3,3,"Failed",0,11,11,"Failed"
2024,"YHBL",465210,5176903,"6/12/2024",0,5,"Failed",0,1,1,"Failed"
2024,"KILL",465278,5176441,"6/17/2024",NA,19,"Survive",0,3,3,"Survive"
2024,"RWBL",465513,5176934,"6/14/2024",3,12,"Failed",0,4,1,"Failed"
2024,"GADW",465134,5176939,"6/11/2024",2,12,"Failed",0,11,11,"Failed"
2024,"MALL",464292,5177064,"6/8/2024",0,5,"Failed",0,3,3,"Failed"
2024,"MAWR",464640,5176599,"6/7/2024",1,28,"Survive",0,5,5,"Survive"
2024,"YHBL",464661,5176619,"6/16/2024",5,19,"Survive",0,3,4,"Survive"
2024,"YHBL",464692,5176622,"6/7/2024",-4,6,"Failed",0,2,0,"Failed"
2024,"YHBL",464707,5176615,"6/7/2024",-4,9,"Failed",0,3,0,"Failed"
2024,"MAWR",464701,5176572,"6/7/2024",1,28,"Survive",0,5,5,"Survive"
2024,"YHBL",464733,5176540,"6/7/2024",-4,9,"Failed",0,2,0,"Failed"
2024,"CCSP",465130,5176677,"6/12/2024",-2,5,"Failed",0,4,2,"Failed"
2024,"RWBL",464872,5176129,"6/23/2024",9,8,"Failed",1,3,4,"Failed"
2024,"BRBL",465733,5175707,"6/20/2024",0,6,"Failed",1,6,5,"Failed"
2024,"WEME",465071,5176609,"6/12/2024",5,5,"Survive",4,3,3,"Survive"
2024,"CCSP",465142,5177030,"6/11/2024",-1,6,"Failed",1,4,3,"Failed"
2024,"WEME",464247,5176914,"6/8/2024",6,8,"Failed",2,4,4,"Failed"
2024,"AMWI",464208,5176674,"6/27/2024",19,8,"Survive",0,10,10,"Survive"
2024,"BWTE",464197,5176888,"6/27/2024",17,8,"Survive",0,7,7,"Survive"
2024,"GADW",464546,5176651,"6/10/2024",3,25,"Survive",0,11,11,"Survive"
2024,"NOPI",464481,5176363,"6/26/2024",17,9,"Survive",0,6,6,"Survive"
2024,"GADW",464354,5176266,"6/26/2024",19,9,"Survive",0,10,10,"Survive"
2024,"BWTE",464221,5177136,"6/8/2024",-2,27,"Survive",0,8,8,"Survive"
2024,"UPSA",464798,5176254,"6/9/2024",-1,5,"Failed",0,4,3,"Failed"
2024,"RWBL",464871,5176132,"6/23/2024",16,10,"Survive",0,3,4,"Survive"
2024,"RWBL",464892,5176127,"6/23/2024",9,8,"Failed",0,4,4,"Failed"
2024,"AMWI",464363,5176216,"6/3/2024",-3,30,"Survive",0,8,5,"Survive"
2024,"GADW",465188,5175954,"6/14/2024",9,19,"Failed",0,10,10,"Failed"
2024,"NOPI",465445,5176248,"6/19/2024",10,14,"Failed",0,7,7,"Failed"
2024,"GADW",465203,5176798,"6/12/2024",3,21,"Failed",0,9,9,"Failed"
2024,"NSHO",465382,5177111,"6/12/2024",5,2,"Failed",0,10,10,"Failed"
2024,"GADW",464246,5176111,"6/26/2024",20,6,"Survive",0,10,10,"Survive"
2024,"YHBL",464722,5176577,"6/7/2024",-2,25,"Survive",0,3,1,"Survive"
2024,"RWBL",464778,5176422,"6/26/2024",13,6,"Survive",4,1,2,"Survive"
2024,"BRBL",464914,5176568,"6/9/2024",2,23,"Survive",3,2,4,"Survive"
2024,"WEME",464681,5177073,"6/9/2024",3,8,"Failed",0,4,4,"Failed"
2024,"GADW",464237,5177160,"6/8/2024",4,25,"Failed",0,10,10,"Failed"
2024,"YHBL",464753,5176571,"6/7/2024",-3,3,"Failed",0,1,1,"Failed"
2024,"YHBL",464756,5176536,"6/7/2024",-3,3,"Failed",0,1,1,"Failed"
2024,"YHBL",464669,5176622,"6/7/2024",-3,3,"Failed",0,1,1,"Failed"
2024,"YHBL",464744,5176575,"6/7/2024",-3,3,"Failed",0,1,1,"Failed"
2024,"YHBL",464731,5176563,"6/7/2024",-3,3,"Failed",0,1,1,"Failed"
2024,"YHBL",464760,5176539,"6/7/2024",-2,0,"Failed",0,2,2,"Failed"
2024,"CCSP",465606,5176368,"6/18/2024",7,13,"Survive",1,4,4,"Survive"
2024,"BWTE",465693,5177216,"6/14/2024",8,17,"Survive",0,10,10,"Survive"
2024,"CCSP",465523,5177046,"6/14/2024",4,17,"Survive",1,2,2,"Survive"
2024,"RWBL",465364,5176971,"6/10/2024",3,4,"Failed",1,1,2,"Failed"
2024,"NSHO",465263,5176869,"5/29/2024",-6,32,"Survive",0,10,1,"Survive"
2024,"RWBL",464708,5176887,"6/9/2024",-3,8,"Failed",0,3,0,"Failed"
2024,"RWBL",464215,5177149,"6/10/2024",-3,3,"Failed",0,1,1,"Failed"
2024,"BWTE",464357,5177021,"6/8/2024",2,21,"Survive",0,9,9,"Survive"
2024,"STGR",464391,5176802,"6/8/2024",0,16,"Failed",0,12,13,"Failed"
2024,"BWTE",464577,5176707,"6/8/2024",3,8,"Failed",0,9,9,"Failed"
2024,"CCSP",464412,5176622,"6/7/2024",-1,7,"Failed",0,4,3,"Failed"
2024,"RWBL",464238,5176532,"6/4/2024",2,2,"Failed",3,1,1,"Failed"
2024,"MODO",464255,5176667,"6/7/2024",3,21,"Failed",0,2,2,"Failed"
2024,"SORA",464270,5176393,"6/3/2024",NA,11,"Abandoned",0,1,0,"Failed"
2024,"CCSP",464301,5176231,"6/3/2024",-4,6,"Failed",0,1,0,"Failed"
2024,"MALL",464655,5176463,"6/4/2024",3,25,"Survive",0,9,9,"Survive"
2024,"WISN",465244,5176416,"6/17/2024",NA,6,"Failed",0,4,4,"Failed"
2024,"CCSP",464701,5175858,"6/24/2024",14,7,"Survive",0,3,3,"Survive"
2024,"AMCO",464900,5177171,"6/10/2024",5,19,"Survive",0,9,9,"Survive"
2024,"RWBL",464894,5177193,"6/10/2024",2,4,"Failed",0,3,3,"Failed"
2024,"YHBL",464654,5176611,"6/21/2024",18,8,"Survive",0,2,2,"Survive"
2024,"YHBL",464664,5176626,"6/7/2024",7,9,"Survive",0,6,6,"Survive"
2024,"NOPI",464898,5176660,"6/9/2024",5,10,"Failed",0,3,3,"Failed"
2024,"GRSP",464498,5177017,"6/9/2024",1,3,"Failed",1,2,2,"Failed"
2024,"RWBL",464239,5177122,"6/8/2024",7,2,"Failed",2,4,4,"Failed"
2024,"MODO",464261,5177032,"6/8/2024",2,2,"Failed",0,2,2,"Failed"
2024,"WEME",464376,5175716,"5/28/2024",-5,2,"Failed",0,1,1,"Failed"
2024,"WEME",464401,5175900,"5/31/2024",-5,3,"Failed",0,1,1,"Failed"
2024,"NSHO",464548,5175966,"5/30/2024",-4,13,"Failed",0,10,6,"Failed"
2024,"BRBL",464690,5175714,"6/24/2024",20,6,"Survive",0,2,2,"Survive"
2024,"CCSP",464946,5175694,"6/26/2024",18,3,"Survive",1,2,2,"Survive"
2024,"CCSP",464977,5176086,"6/23/2024",15,3,"Failed",0,3,3,"Failed"
2024,"CCSP",465412,5176194,"6/19/2024",11,4,"Failed",0,4,4,"Failed"
2024,"CCSP",465625,5176318,"6/19/2024",7,9,"Failed",0,3,4,"Failed"
2024,"YHBL",465221,5176901,"6/7/2024",-3,4,"Failed",0,1,1,"Failed"
2024,"CCSP",465282,5177159,"6/11/2024",6,17,"Survive",1,1,2,"Survive"
2024,"CCSP",465417,5177042,"6/12/2024",7,16,"Survive",0,3,4,"Survive"
2024,"RWBL",465403,5177014,"6/7/2024",0,3,"Failed",0,3,3,"Failed"
2024,"NOPI",464410,5176215,"6/3/2024",4,20,"Survive",0,8,8,"Survive"
2024,"STGR",464750,5176021,"6/24/2024",NA,0,"Survive",0,5,5,"Survive"
2024,"CCSP",464264,5175926,"6/24/2024",5,3,"Survive",1,2,2,"Survive"
2024,"BWTE",464364,5176329,"6/3/2024",0,23,"Survive",0,8,8,"Survive"
2024,"CCSP",464534,5177208,"6/9/2024",3,5,"Failed",2,2,3,"Failed"
2024,"GADW",464697,5177090,"6/9/2024",9,18,"Survive",0,11,11,"Survive"
2024,"CCSP",465090,5176761,"6/11/2024",6,3,"Failed",2,2,2,"Failed"
2024,"BWTE",464930,5177104,"6/10/2024",7,17,"Failed",0,7,7,"Failed"
2024,"CCSP",465606,5176036,"6/20/2024",15,6,"Failed",0,3,3,"Failed"
2024,"GADW",465684,5176487,"6/17/2024",NA,3,"Failed",0,8,8,"Failed"
2024,"CCSP",465695,5177194,"6/14/2024",8,12,"Survive",0,4,4,"Survive"
2024,"RWBL",464624,5176079,"5/30/2024",-3,4,"Failed",0,2,1,"Failed"
2024,"CCSP",464369,5176333,"6/3/2024",2,6,"Failed",1,2,4,"Failed"
2024,"BWTE",464648,5177139,"6/9/2024",7,12,"Failed",0,10,10,"Failed"
2024,"GADW",465283,5176790,"6/12/2024",12,8,"Failed",0,6,6,"Failed"
2024,"RWBL",465727,5176791,"6/17/2024",15,3,"Failed",0,3,3,"Failed"
2024,"MODO",464204,5176236,"6/3/2024",8,3,"Failed",0,2,2,"Failed"
2024,"RWBL",464573,5175800,"5/30/2024",-3,4,"Failed",0,2,1,"Failed"
2024,"WEME",464422,5175746,"5/30/2024",-1,7,"Failed",0,4,3,"Failed"
2024,"CCLO",465627,5175903,"5/29/2024",-3,8,"Failed",0,4,1,"Failed"
2024,"NSHO",464870,5177154,"6/10/2024",11,14,"Failed",0,10,10,"Failed"
2024,"CCSP",464922,5176769,"6/10/2024",7,14,"Survive",0,3,3,"Survive"
2024,"BWTE",464776,5177152,"6/10/2024",10,11,"Failed",0,4,10,"Failed"
2024,"WEME",465217,5176414,"5/23/2024",-1,6,"Failed",1,4,3,"Failed"
2024,"RWBL",465540,5176926,"6/14/2024",16,6,"Survive",0,3,3,"Survive"
2024,"AMCO",464261,5176451,"6/3/2024",-3,9,"Failed",0,5,2,"Failed"
2024,"YHBL",465214,5176910,"6/12/2024",14,2,"Failed",0,1,1,"Failed"
2024,"YHBL",464686,5176592,"6/7/2024",7,17,"Survive",0,2,3,"Survive"
2024,"RNDU",464751,5176533,"6/7/2024",13,14,"Survive",0,11,11,"Survive"
2024,"YHBL",464675,5176590,"6/7/2024",12,14,"Survive",0,1,2,"Survive"
2024,"GADW",465307,5176820,"6/12/2024",13,11,"Survive",0,10,10,"Survive"
2024,"CCSP",465308,5176675,"5/30/2024",-2,11,"Failed",1,3,1,"Failed"
2024,"CCSP",465270,5176565,"6/17/2024",18,6,"Survive",1,1,1,"Survive"
2024,"RWBL",464663,5176072,"5/30/2024",-1,15,"Failed",0,3,2,"Failed"
2024,"CCSP",464242,5176164,"6/3/2024",3,20,"Survive",2,1,1,"Survive"
2024,"CCSP",464378,5176917,"6/8/2024",2,13,"Failed",2,4,4,"Failed"
2024,"CCSP",464632,5176498,"6/4/2024",2,8,"Failed",0,3,3,"Failed"
2024,"YHBL",464661,5176629,"6/7/2024",8,9,"Failed",0,3,3,"Failed"
2024,"CANG",464737,5176595,"6/7/2024",NA,14,NA,0,1,1,NA
2024,"CCSP",464706,5176404,"6/3/2024",2,6,"Failed",2,3,3,"Failed"
