"","Year","id","X","Y","Spec","Date","Visit.Interval","Expos","Survive","Fate","FirstFound","Stage","BHCONum","BHCOpres","Clutch","InitClutch","InitBHCO","AgeFound","KBG","Smooth.Brome","Litter","Bare","Forb","Grasslike","Woody","Litter.Depth","Veg.Height","R1","R2","R3","R4","Unit","Pasture","Patch","Treatment","pTreat","cTreat","Notes","aRobel","Group"
"30",2021,"AMWI04643395176168",464339,5176168,"AMWI",186,6,3,"Survive",0,"6/17/2021","Incubating",0,0,"8","8",0,"2",15,0,38,0,15,0,38,"10","865",10,11,12,17,"Wagon",12,"SW","MTORG","Full","Heavy","",12.5,"FAC"
"31",2021,"AMWI04643395176168",464339,5176168,"AMWI",189,7,3,"Failed",1,"6/17/2021","Incubating",0,0,"8","8",0,"2",15,0,38,0,15,0,38,"10","865",10,11,12,17,"Wagon",12,"SW","MTORG","Full","Heavy","",12.5,"FAC"
"32",2021,"AMWI04646925176513",464692,5176513,"AMWI",171,1,1,"Survive",0,"6/18/2021","Incubating",0,0,"10","10",0,"3",38,0,38,0,3,0,15,"","630",2,7,5,6,"Wagon",13,"SW","MTORG","Moderate","Full","",5,"FAC"
"33",2021,"AMWI04646925176513",464692,5176513,"AMWI",174,2,3,"Survive",0,"6/18/2021","Incubating",0,0,"9","10",0,"3",38,0,38,0,3,0,15,"","630",2,7,5,6,"Wagon",13,"SW","MTORG","Moderate","Full","",5,"FAC"
"34",2021,"AMWI04646925176513",464692,5176513,"AMWI",177,3,3,"Survive",0,"6/18/2021","Incubating",0,0,"9","10",0,"3",38,0,38,0,3,0,15,"","630",2,7,5,6,"Wagon",13,"SW","MTORG","Moderate","Full","",5,"FAC"
"35",2021,"AMWI04646925176513",464692,5176513,"AMWI",180,4,3,"Survive",0,"6/18/2021","Incubating",0,0,"9","10",0,"3",38,0,38,0,3,0,15,"","630",2,7,5,6,"Wagon",13,"SW","MTORG","Moderate","Full","",5,"FAC"
"36",2021,"AMWI04646925176513",464692,5176513,"AMWI",183,5,3,"Survive",0,"6/18/2021","Incubating",0,0,"9","10",0,"3",38,0,38,0,3,0,15,"","630",2,7,5,6,"Wagon",13,"SW","MTORG","Moderate","Full","",5,"FAC"
"37",2021,"AMWI04646925176513",464692,5176513,"AMWI",186,6,3,"Survive",0,"6/18/2021","Incubating",0,0,"9","10",0,"3",38,0,38,0,3,0,15,"","630",2,7,5,6,"Wagon",13,"SW","MTORG","Moderate","Full","",5,"FAC"
"38",2021,"AMWI04646925176513",464692,5176513,"AMWI",189,7,3,"Survive",0,"6/18/2021","Incubating",0,0,"9","10",0,"3",38,0,38,0,3,0,15,"","630",2,7,5,6,"Wagon",13,"SW","MTORG","Moderate","Full","",5,"FAC"
"39",2021,"AMWI04646925176513",464692,5176513,"AMWI",192,8,3,"Survive",0,"6/18/2021","Incubating",0,0,"9","10",0,"3",38,0,38,0,3,0,15,"","630",2,7,5,6,"Wagon",13,"SW","MTORG","Moderate","Full","",5,"FAC"
"40",2021,"BOBO0465146516655",465146,5176655,"BOBO",185,1,4,"Failed",1,"6/29/2021","Incubating",1,1,"0","1",1,"7",38,3,38,0,3,0,15,"34","535",7,3,6,6,"Wagon",2,"NE","MTORG","Moderate","Full","",5.5,"OBL"
"41",2021,"BOBO04652165176747",465216,5176747,"BOBO",176,1,2,"Survive",0,"6/22/2021","Incubating",6,1,"2","2",8,"6",38,0,38,0,3,0,38,"20","540",5,5,5,7,"Wagon",2,"NE","MTORG","Moderate","Full","",5.5,"OBL"
"42",2021,"BOBO04652165176747",465216,5176747,"BOBO",179,2,3,"Survive",0,"6/22/2021","Nestling",6,1,"2","2",8,"6",38,0,38,0,3,0,38,"20","540",5,5,5,7,"Wagon",2,"NE","MTORG","Moderate","Full","",5.5,"OBL"
"43",2021,"BOBO04652165176747",465216,5176747,"BOBO",182,3,3,"Survive",0,"6/22/2021","Nestling",4,1,"2","2",8,"6",38,0,38,0,3,0,38,"20","540",5,5,5,7,"Wagon",2,"NE","MTORG","Moderate","Full","",5.5,"OBL"
"44",2021,"BOBO04652165176747",465216,5176747,"BOBO",185,4,3,"Survive",0,"6/22/2021","Nestling",1,1,"2","2",8,"6",38,0,38,0,3,0,38,"20","540",5,5,5,7,"Wagon",2,"NE","MTORG","Moderate","Full","",5.5,"OBL"
"45",2021,"BOBO04652165176747",465216,5176747,"BOBO",188,5,3,"Survive",0,"6/22/2021","Nestling",1,1,"2","2",8,"6",38,0,38,0,3,0,38,"20","540",5,5,5,7,"Wagon",2,"NE","MTORG","Moderate","Full","",5.5,"OBL"
"46",2021,"BOBO04651575176565",465157,5176565,"BOBO",166,1,4,"Survive",0,"6/10/2021","Incubating",3,1,"4","4",3,"8",38,38,15,0,15,0,15,"28","650",5,6,6,6,"Wagon",3,"NE","MTORG","Rest","Moderate","",5.75,"OBL"
"47",2021,"BOBO04651575176565",465157,5176565,"BOBO",169,2,3,"Survive",0,"6/10/2021","Nestling",3,1,"4","4",3,"8",38,38,15,0,15,0,15,"28","650",5,6,6,6,"Wagon",3,"NE","MTORG","Rest","Moderate","",5.75,"OBL"
"48",2021,"BOBO04651575176565",465157,5176565,"BOBO",172,3,3,"Survive",0,"6/10/2021","Nestling",0,0,"3","4",3,"8",38,38,15,0,15,0,15,"28","650",5,6,6,6,"Wagon",3,"NE","MTORG","Rest","Moderate","",5.75,"OBL"
"49",2021,"BOBO04651575176565",465157,5176565,"BOBO",175,4,3,"Survive",0,"6/10/2021","Nestling",0,0,"3","4",3,"8",38,38,15,0,15,0,15,"28","650",5,6,6,6,"Wagon",3,"NE","MTORG","Rest","Moderate","",5.75,"OBL"
"50",2021,"BOBO04651575176565",465157,5176565,"BOBO",178,5,3,"Survive",0,"6/10/2021","Nestling",0,0,"3","4",3,"8",38,38,15,0,15,0,15,"28","650",5,6,6,6,"Wagon",3,"NE","MTORG","Rest","Moderate","",5.75,"OBL"
"51",2021,"BOBO04656965177119",465696,5177119,"BOBO",178,1,4,"Survive",0,"6/22/2021","Nestling",2,1,"1","3",1,"8",63,38,3,0,0,0,3,"35","710",5,6,5,5,"Wagon",3,"NE","MTORG","Rest","Moderate","",5.25,"OBL"
"52",2021,"BOBO04656965177119",465696,5177119,"BOBO",181,2,3,"Failed",1,"6/22/2021","Nestling",2,1,"1","3",1,"8",63,38,3,0,0,0,3,"35","710",5,6,5,5,"Wagon",3,"NE","MTORG","Rest","Moderate","",5.25,"OBL"
"53",2021,"BOBO04650355175938",465035,5175938,"BOBO",191,1,1,"Survive",0,"7/8/2021","Incubating",3,1,"2","2",3,"6",3,15,3,0,63,38,3,"45","570",4,5,3,5,"Wagon",8,"SE","MTORG","Heavy","Rest","",4.25,"OBL"
"54",2021,"BOBO04650355175938",465035,5175938,"BOBO",194,2,3,"Survive",0,"7/8/2021","Incubating",3,1,"2","2",3,"6",3,15,3,0,63,38,3,"45","570",4,5,3,5,"Wagon",8,"SE","MTORG","Heavy","Rest","",4.25,"OBL"
"55",2021,"BOBO04650355175938",465035,5175938,"BOBO",197,3,3,"Survive",0,"7/8/2021","Nestling",3,1,"2","2",3,"6",3,15,3,0,63,38,3,"45","570",4,5,3,5,"Wagon",8,"SE","MTORG","Heavy","Rest","",4.25,"OBL"
"56",2021,"BOBO04650355175938",465035,5175938,"BOBO",200,4,3,"Failed",1,"7/8/2021","Nestling",3,1,"2","2",3,"6",3,15,3,0,63,38,3,"45","570",4,5,3,5,"Wagon",8,"SE","MTORG","Heavy","Rest","",4.25,"OBL"
"57",2021,"BOBO04642455176833",464245,5176833,"BOBO",174,1,3,"Survive",0,"6/19/2021","Incubating",0,0,"5","5",0,"8",38,15,15,0,15,0,3,"21","495",4,6,5,3,"Wagon",14,"NW","MTORG","Rest","Moderate","",4.5,"OBL"
"58",2021,"BOBO04642455176833",464245,5176833,"BOBO",177,2,3,"Survive",0,"6/19/2021","Incubating",0,0,"5","5",0,"8",38,15,15,0,15,0,3,"21","495",4,6,5,3,"Wagon",14,"NW","MTORG","Rest","Moderate","",4.5,"OBL"
"59",2021,"BOBO04642455176833",464245,5176833,"BOBO",180,3,3,"Failed",1,"6/19/2021","Incubating",0,0,"5","5",0,"8",38,15,15,0,15,0,3,"21","495",4,6,5,3,"Wagon",14,"NW","MTORG","Rest","Moderate","",4.5,"OBL"
"60",2021,"BOBO04643905176752",464390,5176752,"BOBO",171,1,3,"Survive",0,"6/16/2021","Incubating",1,1,"1","3",1,"3",85,0,15,0,15,0,3,"40","505",4,4,5,5,"Wagon",14,"NW","MTORG","Rest","Moderate","",4.5,"OBL"
"61",2021,"BOBO04643905176752",464390,5176752,"BOBO",174,2,3,"Failed",1,"6/16/2021","Incubating",1,1,"1","3",1,"3",85,0,15,0,15,0,3,"40","505",4,4,5,5,"Wagon",14,"NW","MTORG","Rest","Moderate","",4.5,"OBL"
"62",2022,"BOBO04643265175917",464326,5175917,"BOBO",183,1,1,"Survive",0,"6/30/2022","Incubating",0,0,"1","2",0,"1",38,15,3,0,15,0,15,"20","750",9,10,9,8,"Wagon",11,"SW","MTORG","Rest","Moderate","",9,"OBL"
"63",2022,"BOBO04643265175917",464326,5175917,"BOBO",189,2,6,"Survive",0,"6/30/2022","Incubating",0,0,"1","2",0,"1",38,15,3,0,15,0,15,"20","750",9,10,9,8,"Wagon",11,"SW","MTORG","Rest","Moderate","",9,"OBL"
"64",2022,"BOBO04643265175917",464326,5175917,"BOBO",191,3,2,"Abandoned",1,"6/30/2022","Incubating",0,0,"1","2",0,"1",38,15,3,0,15,0,15,"20","750",9,10,9,8,"Wagon",11,"SW","MTORG","Rest","Moderate","",9,"OBL"
"65",2022,"BOBO04643995176261",464399,5176261,"BOBO",186,1,3,"Failed",1,"7/1/2022","Incubating",0,0,"2","2",0,"-2",38,0,15,0,15,0,15,"80","910",8,11,12,8,"Wagon",12,"SW","MTORG","Heavy","Rest","",9.75,"OBL"
"66",2022,"BOBO04643455176811",464345,5176811,"BOBO",180,1,1,"Survive",0,"6/27/2022","Incubating",0,0,"4","4",0,"7",85,0,15,0,3,0,15,"10","610",7,5,6,7,"Wagon",14,"NW","MTORG","Moderate","Full","",6.25,"OBL"
"67",2022,"BOBO04643455176811",464345,5176811,"BOBO",182,2,3,"Survive",0,"6/27/2022","Incubating",0,0,"4","4",0,"7",85,0,15,0,3,0,15,"10","610",7,5,6,7,"Wagon",14,"NW","MTORG","Moderate","Full","",6.25,"OBL"
"68",2022,"BOBO04643455176811",464345,5176811,"BOBO",186,3,3,"Survive",0,"6/27/2022","Nestling",0,0,"4","4",0,"7",85,0,15,0,3,0,15,"10","610",7,5,6,7,"Wagon",14,"NW","MTORG","Moderate","Full","",6.25,"OBL"
"69",2022,"BOBO04643455176811",464345,5176811,"BOBO",189,4,3,"Survive",0,"6/27/2022","Nestling",0,0,"2","4",0,"7",85,0,15,0,3,0,15,"10","610",7,5,6,7,"Wagon",14,"NW","MTORG","Moderate","Full","",6.25,"OBL"
"70",2022,"BOBO04643455176811",464345,5176811,"BOBO",191,5,2,"Survive",0,"6/27/2022","Nestling",0,0,"2","4",0,"7",85,0,15,0,3,0,15,"10","610",7,5,6,7,"Wagon",14,"NW","MTORG","Moderate","Full","",6.25,"OBL"
"71",2022,"BOBO04643455176811",464345,5176811,"BOBO",194,6,3,"Survive",0,"6/27/2022","Nestling",0,0,"2","4",0,"7",85,0,15,0,3,0,15,"10","610",7,5,6,7,"Wagon",14,"NW","MTORG","Moderate","Full","",6.25,"OBL"
"72",2022,"BOBO04643455176811",464345,5176811,"BOBO",197,7,3,"Survive",0,"6/27/2022","Nestling",0,0,"2","4",0,"7",85,0,15,0,3,0,15,"10","610",7,5,6,7,"Wagon",14,"NW","MTORG","Moderate","Full","",6.25,"OBL"
"73",2021,"BRBL04652525177166",465252,5177166,"BRBL",148,1,3,"Survive",0,"5/24/2021","Incubating",6,1,"3","3",4,"2",0,38,15,0,38,0,0,"10","200",1,1,1,1,"Wagon",1,"NE","MTORG","Full","Heavy","",1,"FAC"
"74",2021,"BRBL04652525177166",465252,5177166,"BRBL",152,2,4,"Failed",1,"5/24/2021","Incubating",6,1,"3","3",4,"2",0,38,15,0,38,0,0,"10","200",1,1,1,1,"Wagon",1,"NE","MTORG","Full","Heavy","",1,"FAC"
"75",2021,"BRBL04654165177219",465416,5177219,"BRBL",164,1,3,"Failed",1,"6/9/2021","Nestling",1,1,"1","1",1,"14",0,0,15,0,38,63,0,"2","420",5,4,6,5,"Wagon",2,"NE","MTORG","Moderate","Full","",5,"FAC"
"76",2021,"BRBL04649845176444",464984,5176444,"BRBL",166,1,4,"Survive",0,"6/10/2021","Incubating",1,1,"4","4",1,"8",NA,NA,NA,NA,NA,NA,NA,"","",NA,NA,NA,NA,"Wagon",3,"NE","MTORG","Rest","Moderate","",NA,"FAC"
"77",2021,"BRBL04649845176444",464984,5176444,"BRBL",169,2,3,"Survive",0,"6/10/2021","Nestling",1,1,"4","4",1,"8",NA,NA,NA,NA,NA,NA,NA,"","",NA,NA,NA,NA,"Wagon",3,"NE","MTORG","Rest","Moderate","",NA,"FAC"
"78",2021,"BRBL04649845176444",464984,5176444,"BRBL",172,3,3,"Survive",0,"6/10/2021","Nestling",1,1,"4","4",1,"8",NA,NA,NA,NA,NA,NA,NA,"","",NA,NA,NA,NA,"Wagon",3,"NE","MTORG","Rest","Moderate","",NA,"FAC"
"79",2021,"BRBL04649845176444",464984,5176444,"BRBL",175,4,3,"Survive",0,"6/10/2021","Nestling",1,1,"4","4",1,"8",NA,NA,NA,NA,NA,NA,NA,"","",NA,NA,NA,NA,"Wagon",3,"NE","MTORG","Rest","Moderate","",NA,"FAC"
"80",2021,"BRBL04649845176444",464984,5176444,"BRBL",178,5,3,"Survive",0,"6/10/2021","Nestling",1,1,"4","4",1,"8",NA,NA,NA,NA,NA,NA,NA,"","",NA,NA,NA,NA,"Wagon",3,"NE","MTORG","Rest","Moderate","",NA,"FAC"
"81",2021,"BRBL04649845176444",464984,5176444,"BRBL",181,6,3,"Survive",0,"6/10/2021","Nestling",1,1,"4","4",1,"8",NA,NA,NA,NA,NA,NA,NA,"","",NA,NA,NA,NA,"Wagon",3,"NE","MTORG","Rest","Moderate","",NA,"FAC"
"82",2021,"BRBL04656795176835",465679,5176835,"BRBL",179,1,3,"Survive",0,"6/24/2021","Nestling",0,1,"1","4",1,"4",38,38,0,0,0,0,15,"40","909",6,6,5,6,"Wagon",3,"NE","MTORG","Rest","Moderate","",5.75,"FAC"
"83",2021,"BRBL04656795176835",465679,5176835,"BRBL",181,2,2,"Failed",1,"6/24/2021","Nestling",0,1,"1","4",1,"4",38,38,0,0,0,0,15,"40","909",6,6,5,6,"Wagon",3,"NE","MTORG","Rest","Moderate","",5.75,"FAC"
"84",2021,"BRBL04650995176424",465099,5176424,"BRBL",166,1,4,"Survive",0,"6/10/2021","Incubating",2,1,"5","5",2,"11",38,3,15,0,63,3,0,"35","648",4,4,5,4,"Wagon",4,"NE","MTORG","Heavy","Rest","",4.25,"FAC"
"85",2021,"BRBL04650995176424",465099,5176424,"BRBL",169,2,3,"Survive",0,"6/10/2021","Incubating",2,1,"3","5",2,"11",38,3,15,0,63,3,0,"35","648",4,4,5,4,"Wagon",4,"NE","MTORG","Heavy","Rest","",4.25,"FAC"
"86",2021,"BRBL04650995176424",465099,5176424,"BRBL",172,3,3,"Survive",0,"6/10/2021","Incubating",2,1,"2","5",2,"11",38,3,15,0,63,3,0,"35","648",4,4,5,4,"Wagon",4,"NE","MTORG","Heavy","Rest","",4.25,"FAC"
"87",2021,"BRBL04650995176424",465099,5176424,"BRBL",175,4,3,"Survive",0,"6/10/2021","Incubating",2,1,"2","5",2,"11",38,3,15,0,63,3,0,"35","648",4,4,5,4,"Wagon",4,"NE","MTORG","Heavy","Rest","",4.25,"FAC"
"88",2021,"BRBL04650995176424",465099,5176424,"BRBL",178,5,3,"Survive",0,"6/10/2021","Incubating",2,1,"2","5",2,"11",38,3,15,0,63,3,0,"35","648",4,4,5,4,"Wagon",4,"NE","MTORG","Heavy","Rest","",4.25,"FAC"
"89",2021,"BRBL04650995176424",465099,5176424,"BRBL",181,6,3,"Failed",1,"6/10/2021","Incubating",2,1,"2","5",2,"11",38,3,15,0,63,3,0,"35","648",4,4,5,4,"Wagon",4,"NE","MTORG","Heavy","Rest","",4.25,"FAC"
"90",2021,"BRBL04656085176601",465608,5176601,"BRBL",175,1,3,"Survive",0,"6/20/2021","Incubating",0,0,"5","5",0,"6",15,0,15,0,15,0,38,"13","568",5,5,3,4,"Wagon",4,"NE","MTORG","Heavy","Rest","",4.25,"FAC"
"91",2021,"BRBL04656085176601",465608,5176601,"BRBL",178,2,3,"Survive",0,"6/20/2021","Incubating",0,0,"5","5",0,"6",15,0,15,0,15,0,38,"13","568",5,5,3,4,"Wagon",4,"NE","MTORG","Heavy","Rest","",4.25,"FAC"
"92",2021,"BRBL04656085176601",465608,5176601,"BRBL",181,3,3,"Survive",0,"6/20/2021","Nestling",0,0,"5","5",0,"6",15,0,15,0,15,0,38,"13","568",5,5,3,4,"Wagon",4,"NE","MTORG","Heavy","Rest","",4.25,"FAC"
"93",2021,"BRBL04656085176601",465608,5176601,"BRBL",184,4,3,"Failed",1,"6/20/2021","Nestling",0,0,"5","5",0,"6",15,0,15,0,15,0,38,"13","568",5,5,3,4,"Wagon",4,"NE","MTORG","Heavy","Rest","",4.25,"FAC"
"94",2021,"BRBL04657235176188",465723,5176188,"BRBL",178,1,2,"Survive",0,"6/24/2021","Incubating",3,1,"4","4",3,"2",15,0,63,0,15,0,15,"15","515",1,5,2,2,"Wagon",5,"SE","MTORG","Full","Heavy","",2.5,"FAC"
"95",2021,"BRBL04657235176188",465723,5176188,"BRBL",181,2,3,"Failed",1,"6/24/2021","Incubating",3,1,"4","4",3,"2",15,0,63,0,15,0,15,"15","515",1,5,2,2,"Wagon",5,"SE","MTORG","Full","Heavy","",2.5,"FAC"
"96",2021,"BRBL04651905176206",465190,5176206,"BRBL",166,1,2,"Survive",0,"6/12/2021","Incubating",1,1,"2","2",2,"8",15,0,15,3,85,0,0,"19","638",3,2,6,6,"Wagon",6,"SE","MTORG","Moderate","Full","",4.25,"FAC"
"97",2021,"BRBL04651905176206",465190,5176206,"BRBL",169,2,2,"Survive",0,"6/12/2021","Nestling",1,1,"2","2",2,"8",15,0,15,3,85,0,0,"19","638",3,2,6,6,"Wagon",6,"SE","MTORG","Moderate","Full","",4.25,"FAC"
"98",2021,"BRBL04651905176206",465190,5176206,"BRBL",172,3,2,"Survive",0,"6/12/2021","Nestling",1,1,"1","2",2,"8",15,0,15,3,85,0,0,"19","638",3,2,6,6,"Wagon",6,"SE","MTORG","Moderate","Full","",4.25,"FAC"
"99",2021,"BRBL04651905176206",465190,5176206,"BRBL",175,4,3,"Survive",0,"6/12/2021","Nestling",1,1,"1","2",2,"8",15,0,15,3,85,0,0,"19","638",3,2,6,6,"Wagon",6,"SE","MTORG","Moderate","Full","",4.25,"FAC"
"100",2021,"BRBL04652945176098",465294,5176098,"BRBL",154,1,3,"Survive",0,"5/30/2021","Incubating",1,1,"2","2",0,"6",85,0,15,0,3,0,3,"85","521",2,7,3,3,"Wagon",6,"SE","MTORG","Moderate","Full","",3.75,"FAC"
