"","X","id","Spec","FirstFound","LastPresent","LastChecked","Fate","Freq","AgeFound","Expos","BHCONum","Year","Stage","BHCOpres","Clutch","InitClutch","InitBHCO","KBG","SmoothB","Litter","Bare","Forb","Grasslike","Woody","LitterD","Veg.Height","Pasture","Patch","pTreat","cTreat","VOR","AgeDay1","Julian","TotalVegCover","tall.veg","sparse.grass"
"12",1218,"WEME04653845175756","WEME",29,47,47,0,1,6,21,0,2022,"Incubating",0,4,4,0,44.7058823529412,3.52941176470588,3.52941176470588,0,3.52941176470588,0,44.7058823529412,25,780,7,"SE","Moderate",49,6,-22,38,100,1.7546499532438,-0.396385505269072
"13",1318,"WEME04656775175776","WEME",2,27,27,0,1,-2,28,0,2022,"Incubating",0,5,3,0,31.25,0,31.25,0,31.25,0,6.25,20,670,6,"SE","Full",68,4.5,-3,19,100,-0.421445546384803,0.703218623271977
"14",1418,"WEME04642675175710","WEME",6,12,15,1,1,1,3,0,2021,"Incubating",0,6,6,3,52.9411764705882,31.9327731092437,0,0,2.52100840336134,0,12.6050420168067,85,520,10,"SW","Rest",39,4,-4,20,99.9999999999999,-0.0299272553483318,-2.10408187291071
"15",1517,"WEME04644925177084","WEME",50,50,52,1,1,3,2,0,2021,"Incubating",0,3,3,0,63.9097744360902,11.2781954887218,11.2781954887218,0,11.2781954887218,0,2.25563909774436,24,517,15,"NW","Heavy",0,4,-46,62,100,-0.472922666261735,-0.842052013006938
"16",1618,"WEME04645855176456","WEME",10,13,16,1,1,-1,3,0,2022,"Incubating",0,5,4,0,38.6363636363636,1.36363636363636,28.6363636363636,0,28.6363636363636,1.36363636363636,1.36363636363636,38,563,13,"NW","Full",68,3.5,-10,26,99.9999999999999,-1.05711158610342,0.0489597517973705
"17",1718,"WEME04646035175892","WEME",8,24,27,1,1,5,3,1,2022,"Incubating",1,2,2,3,29.4117647058824,0,29.4117647058824,0,29.4117647058824,5.88235294117646,5.88235294117646,30,610,10,"SW","Moderate",49,7.75,-2,18,100,-0.00182019715885794,0.902775370326371
"18",1818,"WEME04646415177074","WEME",13,13,16,1,1,0,3,6,2021,"Incubating",1,2,2,6,14.1509433962264,35.8490566037736,35.8490566037736,0,14.1509433962264,0,0,34,555,15,"NW","Heavy",0,3.75,-12,28,100,-1.09554015187299,0.025578485950004
"19",1918,"WEME04646545175939","WEME",33,43,45,1,1,0,2,0,2022,"Incubating",0,3,3,0,63.6363636363636,0,15.1515151515152,3.03030303030303,3.03030303030303,0,15.1515151515152,50,600,10,"SW","Moderate",49,4.5,-32,48,100,-0.61202339213622,-0.754138566380651
"20",2018,"WEME04647795176676","WEME",50,55,58,1,3,1,3,0,2021,"Nestling",0,1,1,0,65.625,0,15.625,0,3.125,0,15.625,15,526,15,"NW","Heavy",0,3.5,-48,64,100,-0.510365801086226,-0.884933738973154
"21",2120,"WEME04648585176810","WEME",48,48,51,1,1,12,3,1,2022,"Incubating",1,2,2,1,43.75,0,0,2.08333333333333,10.4166666666667,0,43.75,25,740,16,"NW","Heavy",0,5.5,-35,51,100,1.39623519824413,0.0380940044960696
"22",2216,"WEME04648845177035","WEME",13,16,19,1,1,3,3,0,2021,"Incubating",0,1,4,0,12.6050420168067,0,52.9411764705882,0,2.52100840336134,0,31.9327731092437,17,400,16,"NW","Full",68,2.5,-9,25,99.9999999999999,-1.95934848362379,0.0138050548812137
"23",2316,"WEME04648935175798","WEME",32,32,36,1,1,0,4,0,2021,"Incubating",0,1,3,0,58.3333333333333,0,13.8888888888889,0,13.8888888888889,0,13.8888888888889,26,470,9,"SW","Moderate",49,4.5,-31,47,100,-0.41724625583432,-0.69186684897671
"24",2416,"WEME04649245176659","WEME",14,18,22,1,1,0,4,3,2022,"Incubating",1,1,1,2,22.0588235294118,0,0,0,22.0588235294118,55.8823529411764,0,10,1020,16,"NW","Heavy",0,12.5,-13,29,100,2.45426277974495,3.71137373849069
"25",2516,"WEME04649355175825","WEME",21,24,27,1,1,-1,3,0,2021,"Incubating",0,2,1,0,40.4255319148936,0,15.9574468085106,0,3.19148936170213,0,40.4255319148936,20,570,9,"SW","Moderate",49,5.5,-21,37,99.9999999999999,0.535049255346792,-0.407280107548144
"26",2616,"WEME04650165175663","WEME",7,7,9,1,1,8,2,0,2022,"Incubating",0,1,2,0,75,0,3.57142857142857,0,17.8571428571429,0,3.57142857142857,40,730,8,"SE","Rest",39,6.75,2,14,100,0.876986558810896,-0.67817652498349
"27",2716,"WEME04650565175792","WEME",30,30,33,1,2,-4,3,1,2022,"Laying",1,1,1,1,23.8095238095238,23.8095238095238,23.8095238095238,0,4.76190476190476,0,23.8095238095238,20,810,8,"SE","Rest",39,9.5,-33,49,100,1.62699149186059,0.500736432062779
"28",2816,"WEME04650675175648","WEME",26,27,30,1,1,0,3,2,2021,"Incubating",1,1,1,1,50.4,4.8,12,0,2.4,0,30.4,10,584,8,"SE","Heavy",0,4,-25,41,100,0.254971936128784,-0.554983277603979
"29",2916,"WEME04651655175822","WEME",5,30,33,1,1,-5,3,0,2021,"Laying",0,4,1,0,13.8888888888889,0,13.8888888888889,0,13.8888888888889,58.3333333333333,0,22,435,8,"SE","Heavy",0,3.5,-9,25,100,-1.67147657312284,2.27549013470603
"30",3014,"WEME04651895175638","WEME",30,30,33,1,2,7,3,0,2022,"Incubating",0,4,4,0,80.188679245283,0,2.83018867924528,0,2.83018867924528,0,14.1509433962264,0,780,8,"SE","Rest",39,9,-22,38,100,1.79746310986572,-0.274477568490355
"31",3116,"WEME04652125176240","WEME",18,29,32,1,1,9,3,0,2021,"Incubating",0,6,6,0,28.7878787878788,28.7878787878788,28.7878787878788,0,11.3636363636364,2.27272727272727,0,48,586,6,"SE","Moderate",49,4.5,-8,24,100,-0.783211252562322,-0.362039459485517
"32",3215,"WEME04652595176857","WEME",15,21,24,1,1,2,3,0,2021,"Incubating",0,5,4,0,0,0,32.7586206896552,0,12.9310344827586,54.3103448275862,0,35,520,2,"NE","Moderate",49,2.5,-12,28,100,-2.26517330155525,2.31861999056885
"33",3315,"WEME04654145175778","WEME",29,44,47,1,1,-4,3,0,2022,"Incubating",0,4,0,0,15.9574468085106,0,40.4255319148936,0,40.4255319148936,0,3.19148936170213,20,640,7,"SE","Moderate",49,2.5,-32,48,99.9999999999999,-1.21715118805916,1.08407852396951
"34",3415,"WEME04654625176259","WEME",18,18,20,1,1,0,2,0,2021,"Laying",0,1,1,0,29.0076335877863,0,48.0916030534351,0,11.4503816793893,0,11.4503816793893,10,435,5,"SE","Full",68,4.5,-17,33,100,-1.64217633466196,0.275018948736606
"35",3514,"WEME04654945176158","WEME",1,5,8,1,2,15,3,0,2022,"Nestling",0,2,3,0,65.3846153846155,0,11.5384615384615,0,11.5384615384615,0,11.5384615384615,20,635,5,"SE","Heavy",0,4.5,15,1,99.9999999999999,0.0943474939032141,-0.576536194423562
"36",3612,"WEME04655155176001","WEME",50,55,58,1,3,-3,3,0,2022,"Laying",0,2,1,0,80.188679245283,0,2.83018867924528,0,2.83018867924528,0,14.1509433962264,20,670,16,"NW","Heavy",0,6.75,-52,68,100,0.933974840275892,-0.907712937034661
"37",3710,"WEME04655435175633","WEME",3,21,23,1,1,4,2,0,2021,"Incubating",1,4,5,1,34.8623853211009,34.8623853211009,13.7614678899083,0,13.7614678899083,0,2.75229357798165,52,380,7,"SE","Rest",39,3,2,14,100,-1.05878063655695,-1.10186191600532
"38",385,"WEME04655545176383","WEME",1,5,8,1,2,4,3,0,2022,"Incubating",0,3,5,0,19.4805194805195,49.3506493506493,19.4805194805195,0,3.8961038961039,3.8961038961039,3.8961038961039,56,840,5,"SE","Heavy",0,8.25,4,12,100,1.16363477067682,-0.0593162839147366
"39",395,"WEME04655735176150","WEME",27,27,30,1,1,3,3,2,2022,"Incubating",1,4,4,2,40.4255319148936,0,3.19148936170213,0,40.4255319148936,0,15.9574468085106,10,650,5,"SE","Heavy",0,8.5,-23,39,99.9999999999999,1.57936229374836,0.926311906592909
"40",405,"WEME04655785175736","WEME",3,3,6,1,1,0,3,0,2021,"Incubating",0,3,3,0,85,0,15,0,0,0,0,63,372,7,"SE","Rest",39,2,-2,18,100,-1.81101073912318,-2.33786819549754
"41",4112,"WEME04655905176125","WEME",43,53,56,1,1,7,3,2,2021,"Incubating",1,4,4,2,52.9411764705882,0,12.6050420168067,0,31.9327731092437,0,2.52100840336134,57,447,5,"SE","Full",68,4.25,-35,51,99.9999999999999,-0.741227778312999,-0.705468702651582
"42",429,"WEME04656175177123","WEME",16,21,24,1,1,-2,3,0,2022,"Incubating",0,3,3,0,28.6363636363636,17.2727272727273,17.2727272727273,0,28.6363636363636,1.36363636363636,6.81818181818182,30,821,2,"NE","Full",68,4.25,-17,33,100,0.494398672851544,0.525516130475756
"43",435,"WEME04656285176881","WEME",21,39,42,1,1,2,3,0,2022,"Incubating",0,6,6,0,39.1752577319588,39.1752577319588,3.09278350515464,0,3.09278350515464,0,15.4639175257732,30,430,3,"NE","Moderate",49,7.75,-18,34,100,0.733555683675873,-0.806474105616217
"44",445,"WEME04656375176087","WEME",50,55,58,1,3,14,3,0,2022,"Nestling",0,5,6,0,41.7582417582418,0,0,0,41.7582417582418,0,16.4835164835165,20,830,5,"SE","Heavy",0,6.5,-35,51,100,1.77465006093626,0.816718362954356
"45",455,"WEME04656725175711","WEME",2,20,23,1,1,-2,3,1,2021,"Incubating",1,4,2,1,52.9411764705882,31.9327731092437,12.6050420168067,0,2.52100840336134,0,0,72,433,6,"SE","Moderate",49,2.5,-3,19,99.9999999999999,-1.2207853862416,-1.96119754187933
"46",465,"WEME04656905176177","WEME",1,13,16,1,1,2,3,4,2022,"Incubating",1,5,5,4,58.8785046728972,0,2.80373831775701,0,2.80373831775701,0,35.5140186915888,32,550,5,"SE","Heavy",0,7,2,14,100,1.05344178521413,-0.940523482198536
"47",474,"WEME04656925176023","WEME",30,30,32,1,1,1,2,0,2021,"Nestling",0,3,3,0,0,0,15.625,15.625,3.125,65.625,0,7,325,6,"SE","Moderate",49,2,-28,44,100,-4.38422161596862,5.1794270562125
"48",482,"WEME04656985175642","WEME",26,35,38,1,1,2,3,0,2021,"Incubating",0,3,6,0,56.7567567567568,13.5135135135135,13.5135135135135,0,2.7027027027027,0,13.5135135135135,48,510,7,"SE","Rest",39,3.75,-23,39,100,-0.519507488467889,-1.3727558237455
