Year,id,X,Y,Spec,Date,Visit.Interval,Expos,Fate,Fate2,FirstFound,Stage,BHCONum,InitBHCO,Clutch,InitClutch,AgeFound,Open,KBG,Smooth.Brome,Litter,Bare,Forb,Grasslike,Woody,Litter.Depth,Veg.Height,R1,R2,R3,R4,Paddock,Replicate,Treatment,Notes,DateChecked,LastChecked,LastPresent,Initiation,BHCOPres,Nestling,cTreat,cDoD,pTreat,pDoD,start,end,grazed,grazep,VOR
2021,RWBL04655855176955,465585,5176955,RWBL,7/11/2021,6,3,0,Survive,174,Nestling,3,4,1,2,3,NA,0,0,15,0,0,85,0,39,555,3,6,3,3,3,NE,MTORG,NA,192,195,195,171,1,1,Moderate,51.7,Full,60.2,194,215,2,1,3.75
2021,RWBL04655855176955,465585,5176955,RWBL,7/14/2021,7,3,0,Survive,174,Nestling,3,4,1,2,3,NA,0,0,15,0,0,85,0,39,555,3,6,3,3,3,NE,MTORG,briefly passing over female with food and a ouple scolds,195,195,195,171,1,1,Moderate,51.7,Full,60.2,194,215,2,1,3.75
2021,RWBL04654585176880,465458,5176880,RWBL,6/26/2021,1,3,0,Survive,174,Incubating,6,6,4,3,8,NA,0,0,3,0,0,98,0,70,1060,7,8,7,8,3,NE,MTORG,NA,177,186,183,166,1,0,Moderate,51.7,Full,60.2,194,215,0,0,7.5
2021,RWBL04654585176880,465458,5176880,RWBL,6/29/2021,2,3,0,Survive,174,Nestling,5,6,4,3,8,NA,0,0,3,0,0,98,0,70,1060,7,8,7,8,3,NE,MTORG,"1 male RWBL perched 20m away, not very agitated",180,186,183,166,1,1,Moderate,51.7,Full,60.2,194,215,0,0,7.5
2021,RWBL04654585176880,465458,5176880,RWBL,7/2/2021,3,3,0,Survive,174,Nestling,4,6,4,3,8,NA,0,0,3,0,0,98,0,70,1060,7,8,7,8,3,NE,MTORG,NA,183,186,183,166,1,1,Moderate,51.7,Full,60.2,194,215,0,0,7.5
2021,RWBL04654585176880,465458,5176880,RWBL,7/5/2021,4,3,1,Failed,174,Nestling,4,6,4,3,8,NA,0,0,3,0,0,98,0,70,1060,7,8,7,8,3,NE,MTORG,no fledglings spotted; female nearby carrying food likely attributed to other successful RWBL nest,186,186,183,166,1,1,Moderate,51.7,Full,60.2,194,215,0,0,7.5
2021,RWBL04657055177146,465705,5177146,RWBL,6/29/2021,1,6,0,Survive,174,Nestling,1,1,2,2,9,NA,3,38,38,0,3,15,3,48,860,8,6,6,8,3,NE,MTORG,NA,180,189,189,165,1,1,Moderate,51.7,Full,60.2,194,215,0,0,7
2021,RWBL04657055177146,465705,5177146,RWBL,7/2/2021,2,3,0,Survive,174,Nestling,1,1,2,2,9,NA,3,38,38,0,3,15,3,48,860,8,6,6,8,3,NE,MTORG,NA,183,189,189,165,1,1,Moderate,51.7,Full,60.2,194,215,0,0,7
2021,RWBL04657055177146,465705,5177146,RWBL,7/5/2021,3,3,0,Survive,174,Nestling,1,1,2,2,9,NA,3,38,38,0,3,15,3,48,860,8,6,6,8,3,NE,MTORG,NA,186,189,189,165,1,1,Moderate,51.7,Full,60.2,194,215,0,0,7
2021,RWBL04657055177146,465705,5177146,RWBL,7/8/2021,4,3,0,Survive,174,Nestling,1,1,2,2,9,NA,3,38,38,0,3,15,3,48,860,8,6,6,8,3,NE,MTORG,spotted female RWBL carrying food; male very agitated and dive bombing,189,189,189,165,1,1,Moderate,51.7,Full,60.2,194,215,0,0,7
2021,RWBL04654775176989,465477,5176989,RWBL,7/5/2021,1,4,0,Survive,182,Nestling,0,0,3,3,20,NA,0,0,15,0,0,85,0,61,810,6,8,11,8,3,NE,MTORG,saw fledgling out of nest; other fledgling still in nest but looked very old,186,186,186,162,0,1,Moderate,51.7,Full,60.2,194,215,0,0,8.25
2021,RWBL04656965177032,465696,5177032,RWBL,6/14/2021,1,4,0,Survive,161,Nestling,0,0,2,2,7,NA,0,0,0,15,15,85,0,75,700,6,5,5,5,3,NE,MTORG,NA,165,177,177,154,0,1,Moderate,51.7,Full,60.2,194,215,0,0,5.25
2021,RWBL04656965177032,465696,5177032,RWBL,6/17/2021,2,3,0,Survive,161,Nestling,0,0,2,2,7,NA,0,0,0,15,15,85,0,75,700,6,5,5,5,3,NE,MTORG,NA,168,177,177,154,0,1,Moderate,51.7,Full,60.2,194,215,0,0,5.25
2021,RWBL04656965177032,465696,5177032,RWBL,6/20/2021,3,3,0,Survive,161,Nestling,0,0,2,2,7,NA,0,0,0,15,15,85,0,75,700,6,5,5,5,3,NE,MTORG,NA,171,177,177,154,0,1,Moderate,51.7,Full,60.2,194,215,0,0,5.25
2021,RWBL04656965177032,465696,5177032,RWBL,6/23/2021,4,3,0,Survive,161,Nestling,0,0,2,2,7,NA,0,0,0,15,15,85,0,75,700,6,5,5,5,3,NE,MTORG,NA,174,177,177,154,0,1,Moderate,51.7,Full,60.2,194,215,0,0,5.25
2021,RWBL04656965177032,465696,5177032,RWBL,6/26/2021,5,3,0,Survive,161,Nestling,0,0,2,2,7,NA,0,0,0,15,15,85,0,75,700,6,5,5,5,3,NE,MTORG,agitated parents nearby,177,177,177,154,0,1,Moderate,51.7,Full,60.2,194,215,0,0,5.25
2021,MODO04642085175841,464208,5175841,MODO,7/13/2021,1,1,0,Survive,193,Incubating,0,0,2,2,5,NA,38,3,38,15,15,3,15,48,498,2,4,2,2,11,SW,MTORG,NA,194,211,211,188,0,0,Rest,0,Moderate,33.7,NA,NA,0,0,2.5
2021,MODO04642085175841,464208,5175841,MODO,7/16/2021,2,3,0,Survive,193,Incubating,0,0,2,2,5,NA,38,3,38,15,15,3,15,48,498,2,4,2,2,11,SW,MTORG,flushed,197,211,211,188,0,0,Rest,0,Moderate,33.7,NA,NA,0,0,2.5
2021,MODO04642085175841,464208,5175841,MODO,7/19/2021,3,3,0,Survive,193,Incubating,0,0,2,2,5,NA,38,3,38,15,15,3,15,48,498,2,4,2,2,11,SW,MTORG,NA,200,211,211,188,0,0,Rest,0,Moderate,33.7,NA,NA,0,0,2.5
2021,MODO04642085175841,464208,5175841,MODO,7/22/2021,4,3,0,Survive,193,Nestling,0,0,2,2,5,NA,38,3,38,15,15,3,15,48,498,2,4,2,2,11,SW,MTORG,NA,203,211,211,188,0,1,Rest,0,Moderate,33.7,NA,NA,0,0,2.5
2021,MODO04642085175841,464208,5175841,MODO,7/25/2021,5,3,0,Survive,193,Nestling,0,0,2,2,5,NA,38,3,38,15,15,3,15,48,498,2,4,2,2,11,SW,MTORG,NA,206,211,211,188,0,1,Rest,0,Moderate,33.7,NA,NA,0,0,2.5
2021,MODO04642085175841,464208,5175841,MODO,7/28/2021,6,3,0,Survive,193,Nestling,0,0,2,2,5,NA,38,3,38,15,15,3,15,48,498,2,4,2,2,11,SW,MTORG,NA,209,211,211,188,0,1,Rest,0,Moderate,33.7,NA,NA,0,0,2.5
2021,MODO04642085175841,464208,5175841,MODO,7/30/2021,7,2,0,Survive,193,Nestling,0,0,2,2,5,NA,38,3,38,15,15,3,15,48,498,2,4,2,2,11,SW,MTORG,NA,211,211,211,188,0,1,Rest,0,Moderate,33.7,NA,NA,0,0,2.5
2021,MODO04643105176374,464310,5176374,MODO,6/19/2021,1,1,0,Survive,169,Incubating,0,0,2,2,5,NA,63,3,38,0,3,0,15,115,470,4,2,6,3,12,SW,MTORG,NA,170,188,188,164,0,0,Heavy,76.3,Rest,0,144,172,9,1,3.75
2021,MODO04643105176374,464310,5176374,MODO,6/22/2021,2,3,0,Survive,169,Incubating,0,0,2,2,5,NA,63,3,38,0,3,0,15,115,470,4,2,6,3,12,SW,MTORG,NA,173,188,188,164,0,0,Heavy,76.3,Rest,0,144,172,9,1,3.75
2021,MODO04643105176374,464310,5176374,MODO,6/25/2021,3,3,0,Survive,169,Nestling,0,0,2,2,5,NA,63,3,38,0,3,0,15,115,470,4,2,6,3,12,SW,MTORG,flushed,176,188,188,164,0,1,Heavy,76.3,Rest,0,144,172,9,1,3.75
2021,MODO04643105176374,464310,5176374,MODO,6/28/2021,4,3,0,Survive,169,Nestling,0,0,2,2,5,NA,63,3,38,0,3,0,15,115,470,4,2,6,3,12,SW,MTORG,NA,179,188,188,164,0,1,Heavy,76.3,Rest,0,144,172,9,1,3.75
2021,MODO04643105176374,464310,5176374,MODO,7/1/2021,5,3,0,Survive,169,Nestling,0,0,2,2,5,NA,63,3,38,0,3,0,15,115,470,4,2,6,3,12,SW,MTORG,NA,182,188,188,164,0,1,Heavy,76.3,Rest,0,144,172,9,1,3.75
2021,MODO04643105176374,464310,5176374,MODO,7/4/2021,6,3,0,Survive,169,Nestling,0,0,2,2,5,NA,63,3,38,0,3,0,15,115,470,4,2,6,3,12,SW,MTORG,flushed mom,185,188,188,164,0,1,Heavy,76.3,Rest,0,144,172,9,1,3.75
2021,MODO04643105176374,464310,5176374,MODO,7/7/2021,7,3,0,Survive,169,Nestling,0,0,2,2,5,NA,63,3,38,0,3,0,15,115,470,4,2,6,3,12,SW,MTORG,small MODO nearby; likely fledglings,188,188,188,164,0,1,Heavy,76.3,Rest,0,144,172,9,1,3.75
2021,MODO04642545176215,464254,5176215,MODO,6/19/2021,1,1,0,Survive,169,Nestling,0,0,2,2,20,NA,63,0,15,38,3,0,15,48,510,4,4,4,5,12,SW,MTORG,NA,170,176,176,149,0,1,Heavy,76.3,Rest,0,144,172,24,1,4.25
2021,MODO04642545176215,464254,5176215,MODO,6/22/2021,2,3,0,Survive,169,Nestling,0,0,2,2,20,NA,63,0,15,38,3,0,15,48,510,4,4,4,5,12,SW,MTORG,NA,173,176,176,149,0,1,Heavy,76.3,Rest,0,144,172,24,1,4.25
2021,MODO04642545176215,464254,5176215,MODO,6/25/2021,3,3,0,Survive,169,Nestling,0,0,2,2,20,NA,63,0,15,38,3,0,15,48,510,4,4,4,5,12,SW,MTORG,walked but they could have flushed,176,176,176,149,0,1,Heavy,76.3,Rest,0,144,172,24,1,4.25
2021,MODO04643755176409,464375,5176409,MODO,6/4/2021,1,3,0,Survive,152,Nestling,0,0,2,2,20,NA,38,0,15,38,3,0,38,40,450,2,3,3,4,12,SW,MTORG,dove sitting on nestlings,155,158,158,132,0,1,Heavy,76.3,Rest,0,144,172,15,1,3
2021,MODO04643755176409,464375,5176409,MODO,6/7/2021,2,3,0,Survive,152,Nestling,0,0,2,2,20,NA,38,0,15,38,3,0,38,40,450,2,3,3,4,12,SW,MTORG,empty; lots of droppings in nest,158,158,158,132,0,1,Heavy,76.3,Rest,0,144,172,15,1,3
2021,MODO04642275176632,464227,5176632,MODO,6/7/2021,1,3,0,Survive,158,Nestling,0,0,2,2,19,NA,38,15,38,15,3,0,0,35,410,3,3,3,6,13,NW,MTORG,NA,158,164,164,139,0,1,Full,52.3,Heavy,60.6,172,194,0,0,3.75
2021,MODO04642275176632,464227,5176632,MODO,6/10/2021,2,3,0,Survive,158,Nestling,0,0,2,2,19,NA,38,15,38,15,3,0,0,35,410,3,3,3,6,13,NW,MTORG,fledglings sitting on rock outside of nest; mother not visible,161,164,164,139,0,1,Full,52.3,Heavy,60.6,172,194,0,0,3.75
2021,MODO04642275176632,464227,5176632,MODO,6/13/2021,3,3,0,Survive,158,Nestling,0,0,2,2,19,NA,38,15,38,15,3,0,0,35,410,3,3,3,6,13,NW,MTORG,nest empty,164,164,164,139,0,1,Full,52.3,Heavy,60.6,172,194,0,0,3.75
2021,MODO04643515176484,464351,5176484,MODO,6/7/2021,1,3,0,Survive,155,Nestling,0,0,2,2,15,NA,38,0,15,0,3,15,38,50,584,3,4,3,4,13,NW,MTORG,NA,158,167,167,140,0,1,Full,52.3,Heavy,60.6,172,194,0,0,3.5
2021,MODO04643515176484,464351,5176484,MODO,6/10/2021,2,3,0,Survive,155,Nestling,0,0,2,2,15,NA,38,0,15,0,3,15,38,50,584,3,4,3,4,13,NW,MTORG,NA,161,167,167,140,0,1,Full,52.3,Heavy,60.6,172,194,0,0,3.5
2021,MODO04643515176484,464351,5176484,MODO,6/13/2021,3,3,0,Survive,155,Nestling,0,0,2,2,15,NA,38,0,15,0,3,15,38,50,584,3,4,3,4,13,NW,MTORG,flushed mom,164,167,167,140,0,1,Full,52.3,Heavy,60.6,172,194,0,0,3.5
2021,MODO04643515176484,464351,5176484,MODO,6/16/2021,4,3,0,Survive,155,Nestling,0,0,2,2,15,NA,38,0,15,0,3,15,38,50,584,3,4,3,4,13,NW,MTORG,found fledglings,167,167,167,140,0,1,Full,52.3,Heavy,60.6,172,194,0,0,3.5
2021,MODO04643605176833,464360,5176833,MODO,6/10/2021,1,4,0,Survive,157,Nestling,0,0,2,2,8,NA,38,15,15,3,3,0,38,67,565,4,4,3,4,14,NW,MTORG,NA,161,170,170,149,0,1,Moderate,51.7,Full,60.2,194,215,0,0,3.75
2021,MODO04643605176833,464360,5176833,MODO,6/13/2021,2,3,0,Survive,157,Nestling,0,0,2,2,8,NA,38,15,15,3,3,0,38,67,565,4,4,3,4,14,NW,MTORG,flushed,164,170,170,149,0,1,Moderate,51.7,Full,60.2,194,215,0,0,3.75
2021,MODO04643605176833,464360,5176833,MODO,6/16/2021,3,3,0,Survive,157,Nestling,0,0,2,2,8,NA,38,15,15,3,3,0,38,67,565,4,4,3,4,14,NW,MTORG,NA,167,170,170,149,0,1,Moderate,51.7,Full,60.2,194,215,0,0,3.75
2021,MODO04643605176833,464360,5176833,MODO,6/19/2021,4,3,0,Survive,157,Nestling,0,0,2,2,8,NA,38,15,15,3,3,0,38,67,565,4,4,3,4,14,NW,MTORG,flushed,170,170,170,149,0,1,Moderate,51.7,Full,60.2,194,215,0,0,3.75
2021,BRBL04654165177219,465416,5177219,BRBL,6/12/2021,1,3,1,Failed,160,Nestling,1,1,1,1,16,NA,0,0,15,0,38,68,0,2,420,5,4,6,5,2,NE,MTORG,one chick drastically larger,163,163,160,144,1,1,Full,52.3,Heavy,60.6,172,194,0,0,5
2021,KILL04642515176323,464251,5176323,KILL,7/16/2021,1,3,0,Survive,194,Incubating,0,0,4,4,7,NA,38,3,38,15,3,0,0,7,226,1,1,1,2,12,SW,MTORG,egg shell too thick to accurately age,197,209,209,187,0,0,Heavy,76.3,Rest,0,144,172,0,0,1.25
2021,KILL04642515176323,464251,5176323,KILL,7/19/2021,2,3,0,Survive,194,Incubating,0,0,4,4,7,NA,38,3,38,15,3,0,0,7,226,1,1,1,2,12,SW,MTORG,bird not on nest,200,209,209,187,0,0,Heavy,76.3,Rest,0,144,172,0,0,1.25
2021,KILL04642515176323,464251,5176323,KILL,7/22/2021,3,3,0,Survive,194,Incubating,0,0,4,4,7,NA,38,3,38,15,3,0,0,7,226,1,1,1,2,12,SW,MTORG,bird not on nest,203,209,209,187,0,0,Heavy,76.3,Rest,0,144,172,0,0,1.25
2021,KILL04642515176323,464251,5176323,KILL,7/25/2021,4,3,0,Survive,194,Incubating,0,0,4,4,7,NA,38,3,38,15,3,0,0,7,226,1,1,1,2,12,SW,MTORG,bird not on nest,206,209,209,187,0,0,Heavy,76.3,Rest,0,144,172,0,0,1.25
2021,KILL04642515176323,464251,5176323,KILL,7/28/2021,5,3,0,Survive,194,Incubating,0,0,4,4,7,NA,38,3,38,15,3,0,0,7,226,1,1,1,2,12,SW,MTORG,no bird,209,209,209,187,0,0,Heavy,76.3,Rest,0,144,172,0,0,1.25
2021,STGR04653605177141,465360,5177141,STGR,6/24/2021,1,2,0,Survive,173,Incubating,0,0,9,9,5,NA,15,3,63,0,3,0,15,23,670,3,2,2,3,2,NE,MTORG,NA,175,190,190,168,0,0,Full,52.3,Heavy,60.6,172,194,19,1,2.5
2021,STGR04653605177141,465360,5177141,STGR,6/27/2021,2,3,0,Survive,173,Incubating,0,0,9,9,5,NA,15,3,63,0,3,0,15,23,670,3,2,2,3,2,NE,MTORG,no flush,178,190,190,168,0,0,Full,52.3,Heavy,60.6,172,194,19,1,2.5
2021,STGR04653605177141,465360,5177141,STGR,6/30/2021,3,3,0,Survive,173,Incubating,0,0,9,9,5,NA,15,3,63,0,3,0,15,23,670,3,2,2,3,2,NE,MTORG,no flush,181,190,190,168,0,0,Full,52.3,Heavy,60.6,172,194,19,1,2.5
2021,STGR04653605177141,465360,5177141,STGR,7/3/2021,4,3,0,Survive,173,Incubating,0,0,9,9,5,NA,15,3,63,0,3,0,15,23,670,3,2,2,3,2,NE,MTORG,flushed,184,190,190,168,0,0,Full,52.3,Heavy,60.6,172,194,19,1,2.5
2021,STGR04653605177141,465360,5177141,STGR,7/6/2021,5,3,0,Survive,173,Incubating,0,0,9,9,5,NA,15,3,63,0,3,0,15,23,670,3,2,2,3,2,NE,MTORG,flushed,187,190,190,168,0,0,Full,52.3,Heavy,60.6,172,194,19,1,2.5
2021,STGR04653605177141,465360,5177141,STGR,7/9/2021,6,3,0,Survive,173,Incubating,0,0,9,9,5,NA,15,3,63,0,3,0,15,23,670,3,2,2,3,2,NE,MTORG,hatched,190,190,190,168,0,0,Full,52.3,Heavy,60.6,172,194,19,1,2.5
2021,STGR04644245176609,464424,5176609,STGR,7/16/2021,1,3,0,Survive,194,Incubating,0,0,8,8,12,NA,15,0,63,0,15,0,15,44,573,5,5,2,2,13,NW,MTORG,bird not on nest,197,203,203,182,0,0,Full,52.3,Heavy,60.6,172,194,13,1,3.5
2021,STGR04644245176609,464424,5176609,STGR,7/19/2021,2,3,0,Survive,194,Incubating,0,0,8,8,12,NA,15,0,63,0,15,0,15,44,573,5,5,2,2,13,NW,MTORG,flushed,200,203,203,182,0,0,Full,52.3,Heavy,60.6,172,194,13,1,3.5
2021,STGR04644245176609,464424,5176609,STGR,7/22/2021,3,3,0,Survive,194,Incubating,0,0,8,8,12,NA,15,0,63,0,15,0,15,44,573,5,5,2,2,13,NW,MTORG,eggs broken cleanly,203,203,203,182,0,0,Full,52.3,Heavy,60.6,172,194,13,1,3.5
2021,EAKI04650775176136,465077,5176136,EAKI,6/18/2021,1,4,0,Survive,165,Incubating,0,0,4,3,-1,NA,63,3,15,0,15,0,15,33,905,6,6,6,4,8,SE,MTORG,NA,169,196,196,166,0,0,Rest,0,Moderate,33.7,NA,NA,0,0,5.5
2021,EAKI04650775176136,465077,5176136,EAKI,6/21/2021,2,3,0,Survive,165,Incubating,0,0,4,3,-1,NA,63,3,15,0,15,0,15,33,905,6,6,6,4,8,SE,MTORG,NA,172,196,196,166,0,0,Rest,0,Moderate,33.7,NA,NA,0,0,5.5
2021,EAKI04650775176136,465077,5176136,EAKI,6/24/2021,3,3,0,Survive,165,Incubating,0,0,4,3,-1,NA,63,3,15,0,15,0,15,33,905,6,6,6,4,8,SE,MTORG,parents scolding,175,196,196,166,0,0,Rest,0,Moderate,33.7,NA,NA,0,0,5.5
2021,EAKI04650775176136,465077,5176136,EAKI,6/27/2021,4,3,0,Survive,165,Incubating,0,0,4,3,-1,NA,63,3,15,0,15,0,15,33,905,6,6,6,4,8,SE,MTORG,NA,178,196,196,166,0,0,Rest,0,Moderate,33.7,NA,NA,0,0,5.5
2021,EAKI04650775176136,465077,5176136,EAKI,6/30/2021,5,3,0,Survive,165,Nestling,0,0,4,3,-1,NA,63,3,15,0,15,0,15,33,905,6,6,6,4,8,SE,MTORG,NA,181,196,196,166,0,1,Rest,0,Moderate,33.7,NA,NA,0,0,5.5
2021,EAKI04650775176136,465077,5176136,EAKI,7/3/2021,6,3,0,Survive,165,Nestling,0,0,4,3,-1,NA,63,3,15,0,15,0,15,33,905,6,6,6,4,8,SE,MTORG,NA,184,196,196,166,0,1,Rest,0,Moderate,33.7,NA,NA,0,0,5.5
2021,EAKI04650775176136,465077,5176136,EAKI,7/6/2021,7,3,0,Survive,165,Nestling,0,0,4,3,-1,NA,63,3,15,0,15,0,15,33,905,6,6,6,4,8,SE,MTORG,at least one eggs; parent chipping,187,196,196,166,0,1,Rest,0,Moderate,33.7,NA,NA,0,0,5.5
2021,EAKI04650775176136,465077,5176136,EAKI,7/9/2021,8,3,0,Survive,165,Nestling,0,0,4,3,-1,NA,63,3,15,0,15,0,15,33,905,6,6,6,4,8,SE,MTORG,NA,190,196,196,166,0,1,Rest,0,Moderate,33.7,NA,NA,0,0,5.5
2021,EAKI04650775176136,465077,5176136,EAKI,7/12/2021,9,3,0,Survive,165,Nestling,0,0,4,3,-1,NA,63,3,15,0,15,0,15,33,905,6,6,6,4,8,SE,MTORG,looks like mini adult,193,196,196,166,0,1,Rest,0,Moderate,33.7,NA,NA,0,0,5.5
2021,EAKI04650775176136,465077,5176136,EAKI,7/15/2021,10,3,0,Survive,165,Nestling,0,0,4,3,-1,NA,63,3,15,0,15,0,15,33,905,6,6,6,4,8,SE,MTORG,flushed 2 fledglings,196,196,196,166,0,1,Rest,0,Moderate,33.7,NA,NA,0,0,5.5
2021,EAKI04641595175631,464159,5175631,EAKI,6/19/2021,1,2,0,Survive,168,Incubating,0,0,4,1,-3,NA,15,15,38,0,3,0,NA,39,470,2,12,2,5,10,SW,MTORG,NA,170,199,199,171,0,0,Moderate,51.7,Full,60.2,194,215,6,1,5.25
2021,EAKI04641595175631,464159,5175631,EAKI,6/21/2021,2,2,0,Survive,168,Incubating,0,0,4,1,-3,NA,15,15,38,0,3,0,NA,39,470,2,12,2,5,10,SW,MTORG,NA,172,199,199,171,0,0,Moderate,51.7,Full,60.2,194,215,6,1,5.25
2021,EAKI04641595175631,464159,5175631,EAKI,6/24/2021,3,3,0,Survive,168,Incubating,0,0,4,1,-3,NA,15,15,38,0,3,0,NA,39,470,2,12,2,5,10,SW,MTORG,parent present,175,199,199,171,0,0,Moderate,51.7,Full,60.2,194,215,6,1,5.25
2021,EAKI04641595175631,464159,5175631,EAKI,6/27/2021,4,3,0,Survive,168,Incubating,0,0,4,1,-3,NA,15,15,38,0,3,0,NA,39,470,2,12,2,5,10,SW,MTORG,parent present,178,199,199,171,0,0,Moderate,51.7,Full,60.2,194,215,6,1,5.25
2021,EAKI04641595175631,464159,5175631,EAKI,6/30/2021,5,3,0,Survive,168,Incubating,0,0,4,1,-3,NA,15,15,38,0,3,0,NA,39,470,2,12,2,5,10,SW,MTORG,NA,181,199,199,171,0,0,Moderate,51.7,Full,60.2,194,215,6,1,5.25
2021,EAKI04641595175631,464159,5175631,EAKI,7/3/2021,6,3,0,Survive,168,Nestling,0,0,4,1,-3,NA,15,15,38,0,3,0,NA,39,470,2,12,2,5,10,SW,MTORG,NA,184,199,199,171,0,1,Moderate,51.7,Full,60.2,194,215,6,1,5.25
2021,EAKI04641595175631,464159,5175631,EAKI,7/6/2021,7,3,0,Survive,168,Nestling,0,0,4,1,-3,NA,15,15,38,0,3,0,NA,39,470,2,12,2,5,10,SW,MTORG,parents defending,187,199,199,171,0,1,Moderate,51.7,Full,60.2,194,215,6,1,5.25
2021,EAKI04641595175631,464159,5175631,EAKI,7/9/2021,8,3,0,Survive,168,Nestling,0,0,4,1,-3,NA,15,15,38,0,3,0,NA,39,470,2,12,2,5,10,SW,MTORG,NA,190,199,199,171,0,1,Moderate,51.7,Full,60.2,194,215,6,1,5.25
2021,EAKI04641595175631,464159,5175631,EAKI,7/12/2021,9,3,0,Survive,168,Nestling,0,0,4,1,-3,NA,15,15,38,0,3,0,NA,39,470,2,12,2,5,10,SW,MTORG,checked during dragging,193,199,199,171,0,1,Moderate,51.7,Full,60.2,194,215,6,1,5.25
2021,EAKI04641595175631,464159,5175631,EAKI,7/15/2021,10,3,0,Survive,168,Nestling,0,0,4,1,-3,NA,15,15,38,0,3,0,NA,39,470,2,12,2,5,10,SW,MTORG,look mature,196,199,199,171,0,1,Moderate,51.7,Full,60.2,194,215,6,1,5.25
