Year,id,Spec,DateChecked,Expos,FirstFound,Fate,Fate2,AgeFound,AgeDay1,Stage,InitBHCO,BHCONum,BHCOPres,InitClutch,Clutch,Open,KBG,SmoothB,Litter,Bare,Forb,Grasslike,Woody,LitterD,Veg.Height,VOR,Paddock,Replicate,Treatment,cTreat,pTreat,cDoD,pDoD,grazed,start,end
2021,RWBL04655855176955,RWBL,44,3,35,0,Survive,3,-136,Incubating,4,4,1,2,2,NA,0,0,15,0,0,85,0,39,555,3.75,3,NE,MTORG,39,49,51.7,60.2,2,194,215
2021,RWBL04655855176955,RWBL,47,3,35,0,Survive,3,-136,Nestling,4,4,1,2,2,NA,0,0,15,0,0,85,0,39,555,3.75,3,NE,MTORG,39,49,51.7,60.2,2,194,215
2021,RWBL04655855176955,RWBL,50,3,35,0,Survive,3,-136,Nestling,4,4,1,2,1,NA,0,0,15,0,0,85,0,39,555,3.75,3,NE,MTORG,39,49,51.7,60.2,2,194,215
2021,RWBL04655855176955,RWBL,53,3,35,0,Survive,3,-136,Nestling,4,3,1,2,1,NA,0,0,15,0,0,85,0,39,555,3.75,3,NE,MTORG,39,49,51.7,60.2,2,194,215
2021,RWBL04655855176955,RWBL,56,3,35,0,Survive,3,-136,Nestling,4,3,1,2,1,NA,0,0,15,0,0,85,0,39,555,3.75,3,NE,MTORG,39,49,51.7,60.2,2,194,215
2021,RWBL04654585176880,RWBL,38,3,35,0,Survive,8,-131,Incubating,6,6,1,3,4,NA,0,0,2.9702970297029703,0,0,97.02970297029702,0,70,1060,7.5,3,NE,MTORG,39,49,51.7,60.2,0,194,215
2021,RWBL04654585176880,RWBL,41,3,35,0,Survive,8,-131,Nestling,6,5,1,3,4,NA,0,0,2.9702970297029703,0,0,97.02970297029702,0,70,1060,7.5,3,NE,MTORG,39,49,51.7,60.2,0,194,215
2021,RWBL04654585176880,RWBL,44,3,35,0,Survive,8,-131,Nestling,6,4,1,3,4,NA,0,0,2.9702970297029703,0,0,97.02970297029702,0,70,1060,7.5,3,NE,MTORG,39,49,51.7,60.2,0,194,215
2021,RWBL04654585176880,RWBL,47,3,35,1,Failed,8,-131,Nestling,6,4,1,3,4,NA,0,0,2.9702970297029703,0,0,97.02970297029702,0,70,1060,7.5,3,NE,MTORG,39,49,51.7,60.2,0,194,215
2021,RWBL04657055177146,RWBL,41,6,35,0,Survive,9,-130,Nestling,1,1,1,2,2,NA,3,38,38,0,3,15,3,48,860,7,3,NE,MTORG,39,49,51.7,60.2,0,194,215
2021,RWBL04657055177146,RWBL,44,3,35,0,Survive,9,-130,Nestling,1,1,1,2,2,NA,3,38,38,0,3,15,3,48,860,7,3,NE,MTORG,39,49,51.7,60.2,0,194,215
2021,RWBL04657055177146,RWBL,47,3,35,0,Survive,9,-130,Nestling,1,1,1,2,2,NA,3,38,38,0,3,15,3,48,860,7,3,NE,MTORG,39,49,51.7,60.2,0,194,215
2021,RWBL04657055177146,RWBL,50,3,35,0,Survive,9,-130,Nestling,1,1,1,2,2,NA,3,38,38,0,3,15,3,48,860,7,3,NE,MTORG,39,49,51.7,60.2,0,194,215
2021,RWBL04654775176989,RWBL,47,4,43,0,Survive,20,-119,Nestling,0,0,0,3,3,NA,0,0,15,0,0,85,0,61,810,8.25,3,NE,MTORG,39,49,51.7,60.2,0,194,215
2021,RWBL04656965177032,RWBL,26,4,22,0,Survive,7,-132,Nestling,0,0,0,2,2,NA,0,0,0,13.043478260869565,13.043478260869565,73.91304347826086,0,75,700,5.25,3,NE,MTORG,39,49,51.7,60.2,0,194,215
2021,RWBL04656965177032,RWBL,29,3,22,0,Survive,7,-132,Nestling,0,0,0,2,2,NA,0,0,0,13.043478260869565,13.043478260869565,73.91304347826086,0,75,700,5.25,3,NE,MTORG,39,49,51.7,60.2,0,194,215
2021,RWBL04656965177032,RWBL,32,3,22,0,Survive,7,-132,Nestling,0,0,0,2,2,NA,0,0,0,13.043478260869565,13.043478260869565,73.91304347826086,0,75,700,5.25,3,NE,MTORG,39,49,51.7,60.2,0,194,215
2021,RWBL04656965177032,RWBL,35,3,22,0,Survive,7,-132,Nestling,0,0,0,2,2,NA,0,0,0,13.043478260869565,13.043478260869565,73.91304347826086,0,75,700,5.25,3,NE,MTORG,39,49,51.7,60.2,0,194,215
2021,RWBL04656965177032,RWBL,38,3,22,0,Survive,7,-132,Nestling,0,0,0,2,2,NA,0,0,0,13.043478260869565,13.043478260869565,73.91304347826086,0,75,700,5.25,3,NE,MTORG,39,49,51.7,60.2,0,194,215
2021,RWBL04652395176860,RWBL,36,2,34,0,Survive,7,-132,Incubating,1,1,1,2,1,NA,0,0,15,0,0,85,0,11,650,5,2,NE,MTORG,49,68,52.3,60.6,10,172,194
2021,RWBL04652395176860,RWBL,39,3,34,0,Survive,7,-132,Nestling,1,1,1,2,1,NA,0,0,15,0,0,85,0,11,650,5,2,NE,MTORG,49,68,52.3,60.6,10,172,194
2021,RWBL04652395176860,RWBL,42,3,34,1,Failed,7,-132,Nestling,1,1,1,2,1,NA,0,0,15,0,0,85,0,11,650,5,2,NE,MTORG,49,68,52.3,60.6,10,172,194
2021,RWBL04652285176893,RWBL,24,3,21,0,Survive,6,-133,Incubating,0,0,0,5,5,NA,0,0,15,0,0,85,0,65,1270,10,2,NE,MTORG,49,68,52.3,60.6,0,172,194
2021,RWBL04652285176893,RWBL,27,3,21,0,Survive,6,-133,Nestling,0,0,0,5,5,NA,0,0,15,0,0,85,0,65,1270,10,2,NE,MTORG,49,68,52.3,60.6,0,172,194
2021,RWBL04652285176893,RWBL,30,3,21,1,Failed,6,-133,Nestling,0,0,0,5,5,NA,0,0,15,0,0,85,0,65,1270,10,2,NE,MTORG,49,68,52.3,60.6,0,172,194
2021,RWBL04655515176909,RWBL,35,3,32,1,Failed,1,-138,Incubating,2,1,1,2,2,NA,0,0,14.563106796116504,2.912621359223301,0,82.52427184466019,0,60,1510,15.75,3,NE,MTORG,39,49,51.7,60.2,0,194,215
2021,RWBL04654565176706,RWBL,26,4,22,0,Survive,-4,-143,Incubating,0,0,0,0,3,NA,0,80.76923076923077,19.230769230769234,0,0,0,0,15,575,4.25,3,NE,MTORG,39,49,51.7,60.2,0,194,215
2021,RWBL04654565176706,RWBL,29,3,22,0,Survive,-4,-143,Incubating,0,0,0,0,4,NA,0,80.76923076923077,19.230769230769234,0,0,0,0,15,575,4.25,3,NE,MTORG,39,49,51.7,60.2,0,194,215
2021,RWBL04654565176706,RWBL,32,3,22,0,Survive,-4,-143,Incubating,0,0,0,0,4,NA,0,80.76923076923077,19.230769230769234,0,0,0,0,15,575,4.25,3,NE,MTORG,39,49,51.7,60.2,0,194,215
2021,RWBL04654565176706,RWBL,35,3,22,0,Survive,-4,-143,Incubating,0,0,0,0,4,NA,0,80.76923076923077,19.230769230769234,0,0,0,0,15,575,4.25,3,NE,MTORG,39,49,51.7,60.2,0,194,215
2021,RWBL04654565176706,RWBL,38,3,22,0,Survive,-4,-143,Nestling,0,0,0,0,4,NA,0,80.76923076923077,19.230769230769234,0,0,0,0,15,575,4.25,3,NE,MTORG,39,49,51.7,60.2,0,194,215
2021,RWBL04654565176706,RWBL,41,3,22,0,Survive,-4,-143,Nestling,0,0,0,0,4,NA,0,80.76923076923077,19.230769230769234,0,0,0,0,15,575,4.25,3,NE,MTORG,39,49,51.7,60.2,0,194,215
2021,RWBL04654565176706,RWBL,44,3,22,0,Survive,-4,-143,Nestling,0,0,0,0,4,NA,0,80.76923076923077,19.230769230769234,0,0,0,0,15,575,4.25,3,NE,MTORG,39,49,51.7,60.2,0,194,215
2021,RWBL04654565176706,RWBL,47,3,22,1,Failed,-4,-143,Nestling,0,0,0,0,4,NA,0,80.76923076923077,19.230769230769234,0,0,0,0,15,575,4.25,3,NE,MTORG,39,49,51.7,60.2,0,194,215
2021,RWBL04656265176737,RWBL,38,3,35,1,Failed,10,-129,Incubating,1,2,1,2,2,NA,56.75675675675676,13.513513513513514,13.513513513513514,0,2.7027027027027026,0,13.513513513513514,33,528,4.75,3,NE,MTORG,39,49,51.7,60.2,0,194,215
2021,RWBL04654125176793,RWBL,38,3,35,0,Survive,6,-133,Incubating,1,1,1,3,3,NA,0,0,0,0,2.9702970297029703,97.02970297029702,0,46,842,7.25,3,NE,MTORG,39,49,51.7,60.2,0,194,215
2021,RWBL04654125176793,RWBL,41,3,35,0,Survive,6,-133,Nestling,1,1,1,3,3,NA,0,0,0,0,2.9702970297029703,97.02970297029702,0,46,842,7.25,3,NE,MTORG,39,49,51.7,60.2,0,194,215
2021,RWBL04654125176793,RWBL,44,3,35,0,Survive,6,-133,Nestling,1,1,1,3,3,NA,0,0,0,0,2.9702970297029703,97.02970297029702,0,46,842,7.25,3,NE,MTORG,39,49,51.7,60.2,0,194,215
2021,RWBL04654125176793,RWBL,47,3,35,1,Failed,6,-133,Nestling,1,1,1,3,3,NA,0,0,0,0,2.9702970297029703,97.02970297029702,0,46,842,7.25,3,NE,MTORG,39,49,51.7,60.2,0,194,215
2021,RWBL04654635176965,RWBL,29,3,26,1,Failed,6,-133,Incubating,1,6,1,1,1,NA,0,0,15,0,0,85,0,65,715,5.75,3,NE,MTORG,39,49,51.7,60.2,0,194,215
2021,RWBL04652525176246,RWBL,26,2,24,0,Survive,7,-132,Incubating,1,1,1,5,5,NA,38.775510204081634,15.306122448979592,15.306122448979592,0,15.306122448979592,0,15.306122448979592,63,614,4.75,6,SE,MTORG,49,68,52.3,60.6,0,172,194
2021,RWBL04652525176246,RWBL,29,3,24,1,Failed,7,-132,Incubating,1,1,1,5,5,NA,38.775510204081634,15.306122448979592,15.306122448979592,0,15.306122448979592,0,15.306122448979592,63,614,4.75,6,SE,MTORG,49,68,52.3,60.6,0,172,194
2021,RWBL04650875176182,RWBL,29,3,26,0,Survive,-2,-141,Incubating,0,1,1,2,4,NA,13.761467889908257,34.862385321100916,13.761467889908257,0,2.7522935779816518,0,34.862385321100916,54,695,6.25,7,SE,MTORG,39,49,51.7,60.2,0,194,215
2021,RWBL04650875176182,RWBL,32,3,26,1,Failed,-2,-141,Incubating,0,1,1,2,4,NA,13.761467889908257,34.862385321100916,13.761467889908257,0,2.7522935779816518,0,34.862385321100916,54,695,6.25,7,SE,MTORG,39,49,51.7,60.2,0,194,215
2021,RWBL04645045176531,RWBL,19,3,16,0,Survive,-7,-146,Laying,0,0,0,0,0,NA,39.175257731958766,39.175257731958766,3.0927835051546393,0,3.0927835051546393,0,15.463917525773196,105,750,4.75,13,NW,MTORG,49,68,52.3,60.6,0,172,194
2021,RWBL04645045176531,RWBL,22,3,16,0,Survive,-7,-146,Incubating,0,2,1,0,2,NA,39.175257731958766,39.175257731958766,3.0927835051546393,0,3.0927835051546393,0,15.463917525773196,105,750,4.75,13,NW,MTORG,49,68,52.3,60.6,0,172,194
2021,RWBL04645045176531,RWBL,25,3,16,1,Failed,-7,-146,Incubating,0,2,1,0,2,NA,39.175257731958766,39.175257731958766,3.0927835051546393,0,3.0927835051546393,0,15.463917525773196,105,750,4.75,13,NW,MTORG,49,68,52.3,60.6,0,172,194
2021,RWBL04643495176902,RWBL,34,3,31,0,Survive,4,-135,Incubating,3,3,1,3,2,NA,15.306122448979592,38.775510204081634,15.306122448979592,0,15.306122448979592,0,15.306122448979592,29,670,7.5,14,NW,MTORG,39,49,51.7,60.2,0,194,215
2021,RWBL04643495176902,RWBL,37,3,31,0,Survive,4,-135,Incubating,3,3,1,3,2,NA,15.306122448979592,38.775510204081634,15.306122448979592,0,15.306122448979592,0,15.306122448979592,29,670,7.5,14,NW,MTORG,39,49,51.7,60.2,0,194,215
2021,RWBL04643495176902,RWBL,40,3,31,0,Survive,4,-135,Nestling,3,2,1,3,2,NA,15.306122448979592,38.775510204081634,15.306122448979592,0,15.306122448979592,0,15.306122448979592,29,670,7.5,14,NW,MTORG,39,49,51.7,60.2,0,194,215
2021,RWBL04643495176902,RWBL,43,3,31,0,Survive,4,-135,Nestling,3,2,1,3,2,NA,15.306122448979592,38.775510204081634,15.306122448979592,0,15.306122448979592,0,15.306122448979592,29,670,7.5,14,NW,MTORG,39,49,51.7,60.2,0,194,215
2021,RWBL04643495176902,RWBL,46,3,31,0,Survive,4,-135,Nestling,3,1,1,3,2,NA,15.306122448979592,38.775510204081634,15.306122448979592,0,15.306122448979592,0,15.306122448979592,29,670,7.5,14,NW,MTORG,39,49,51.7,60.2,0,194,215
2021,RWBL04643495176902,RWBL,49,3,31,1,Failed,4,-135,Nestling,3,1,1,3,2,NA,15.306122448979592,38.775510204081634,15.306122448979592,0,15.306122448979592,0,15.306122448979592,29,670,7.5,14,NW,MTORG,39,49,51.7,60.2,0,194,215
2021,RWBL04647275176642,RWBL,34,3,31,0,Survive,3,-136,Incubating,5,5,1,1,1,NA,34.862385321100916,13.761467889908257,34.862385321100916,0,2.7522935779816518,0,13.761467889908257,21,635,5.25,14,NW,MTORG,39,49,51.7,60.2,0,194,215
2021,RWBL04647275176642,RWBL,50,16,31,1,Failed,3,-136,Incubating,5,5,1,1,1,NA,34.862385321100916,13.761467889908257,34.862385321100916,0,2.7522935779816518,0,13.761467889908257,21,635,5.25,14,NW,MTORG,39,49,51.7,60.2,0,194,215
2021,RWBL04642035176944,RWBL,40,3,37,0,Survive,14,-125,Nestling,3,1,1,2,2,NA,44.18604651162791,17.441860465116278,3.488372093023256,0,17.441860465116278,0,17.441860465116278,28,865,7.25,14,NW,MTORG,39,49,51.7,60.2,0,194,215
2021,RWBL04642035176944,RWBL,43,3,37,0,Survive,14,-125,Nestling,3,1,1,2,1,NA,44.18604651162791,17.441860465116278,3.488372093023256,0,17.441860465116278,0,17.441860465116278,28,865,7.25,14,NW,MTORG,39,49,51.7,60.2,0,194,215
2021,RWBL04642035176944,RWBL,46,3,37,1,Failed,14,-125,Nestling,3,1,1,2,1,NA,44.18604651162791,17.441860465116278,3.488372093023256,0,17.441860465116278,0,17.441860465116278,28,865,7.25,14,NW,MTORG,39,49,51.7,60.2,0,194,215
2021,RWBL04641795176925,RWBL,22,4,18,0,Survive,5,-134,Incubating,0,2,1,2,2,NA,12.396694214876034,31.40495867768595,12.396694214876034,0,12.396694214876034,0,31.40495867768595,88,585,5.5,14,NW,MTORG,39,49,51.7,60.2,0,194,215
2021,RWBL04641795176925,RWBL,25,3,18,1,Failed,5,-134,Incubating,0,2,1,2,2,NA,12.396694214876034,31.40495867768595,12.396694214876034,0,12.396694214876034,0,31.40495867768595,88,585,5.5,14,NW,MTORG,39,49,51.7,60.2,0,194,215
2021,RWBL04647485176621,RWBL,22,4,18,1,Failed,2,-137,Incubating,2,2,1,2,2,NA,0,0,2.9702970297029703,0,0,97.02970297029702,0,50,899,4.75,14,NW,MTORG,39,49,51.7,60.2,0,194,215
2022,RWBL04654425177001,RWBL,25,3,22,0,Survive,3,-136,Incubating,2,2,1,4,4,NA,0,0,0,NA,0,100,0,NA,840,4.25,2,NE,MTORG,68,0,65.3,0,15,144,179
2022,RWBL04654425177001,RWBL,27,2,22,0,Survive,3,-136,Incubating,2,2,1,4,4,NA,0,0,0,NA,0,100,0,NA,840,4.25,2,NE,MTORG,68,0,65.3,0,15,144,179
2022,RWBL04654425177001,RWBL,30,3,22,0,Survive,3,-136,Incubating,2,2,1,4,4,NA,0,0,0,NA,0,100,0,NA,840,4.25,2,NE,MTORG,68,0,65.3,0,15,144,179
2022,RWBL04654425177001,RWBL,33,3,22,1,Failed,3,-136,Incubating,2,2,1,4,4,NA,0,0,0,NA,0,100,0,NA,840,4.25,2,NE,MTORG,68,0,65.3,0,15,144,179
2022,RWBL04653855176969,RWBL,7,2,5,0,Survive,-4,-143,Laying,1,2,1,0,0,NA,0,0,0,62.37623762376238,0,37.62376237623762,0,NA,500,3.5,2,NE,MTORG,68,0,65.3,0,11,144,179
2022,RWBL04653855176969,RWBL,11,4,5,0,Survive,-4,-143,Incubating,1,1,1,0,2,NA,0,0,0,62.37623762376238,0,37.62376237623762,0,NA,500,3.5,2,NE,MTORG,68,0,65.3,0,11,144,179
2022,RWBL04653855176969,RWBL,14,3,5,0,Survive,-4,-143,Incubating,1,1,1,0,2,NA,0,0,0,62.37623762376238,0,37.62376237623762,0,NA,500,3.5,2,NE,MTORG,68,0,65.3,0,11,144,179
2022,RWBL04653855176969,RWBL,16,2,5,0,Survive,-4,-143,Incubating,1,1,1,0,2,NA,0,0,0,62.37623762376238,0,37.62376237623762,0,NA,500,3.5,2,NE,MTORG,68,0,65.3,0,11,144,179
2022,RWBL04653855176969,RWBL,19,3,5,1,Failed,-4,-143,Incubating,1,1,1,0,2,NA,0,0,0,62.37623762376238,0,37.62376237623762,0,NA,500,3.5,2,NE,MTORG,68,0,65.3,0,11,144,179
2022,RWBL04654365177017,RWBL,30,5,25,0,Survive,-4,-143,Incubating,0,2,1,0,2,NA,0,0,0,15,0,85,0,0,820,6,2,NE,MTORG,68,0,65.3,0,12,144,179
2022,RWBL04654365177017,RWBL,33,3,25,0,Survive,-4,-143,Incubating,0,3,1,0,2,NA,0,0,0,15,0,85,0,0,820,6,2,NE,MTORG,68,0,65.3,0,12,144,179
2022,RWBL04654365177017,RWBL,36,3,25,0,Survive,-4,-143,Incubating,0,3,1,0,2,NA,0,0,0,15,0,85,0,0,820,6,2,NE,MTORG,68,0,65.3,0,12,144,179
2022,RWBL04654365177017,RWBL,39,3,25,0,Survive,-4,-143,Incubating,0,2,1,0,2,NA,0,0,0,15,0,85,0,0,820,6,2,NE,MTORG,68,0,65.3,0,12,144,179
2022,RWBL04654365177017,RWBL,42,3,25,1,Failed,-4,-143,Incubating,0,2,1,0,2,NA,0,0,0,15,0,85,0,0,820,6,2,NE,MTORG,68,0,65.3,0,12,144,179
2022,RWBL04655675176934,RWBL,30,3,27,0,Survive,-4,-143,Laying,0,1,1,0,2,NA,0,0,0,37.62376237623762,0,62.37623762376238,0,NA,1350,16.5,3,NE,MTORG,49,68,45.3,76.3,0,179,202
2022,RWBL04655675176934,RWBL,33,3,27,0,Survive,-4,-143,Incubating,0,1,1,0,3,NA,0,0,0,37.62376237623762,0,62.37623762376238,0,NA,1350,16.5,3,NE,MTORG,49,68,45.3,76.3,0,179,202
2022,RWBL04655675176934,RWBL,36,3,27,0,Survive,-4,-143,Incubating,0,1,1,0,3,NA,0,0,0,37.62376237623762,0,62.37623762376238,0,NA,1350,16.5,3,NE,MTORG,49,68,45.3,76.3,0,179,202
2022,RWBL04655675176934,RWBL,39,3,27,1,Failed,-4,-143,Incubating,0,1,1,0,3,NA,0,0,0,37.62376237623762,0,62.37623762376238,0,NA,1350,16.5,3,NE,MTORG,49,68,45.3,76.3,0,179,202
2022,RWBL04654495176829,RWBL,49,5,44,0,Survive,-1,-140,Incubating,1,1,1,1,2,NA,4.225352112676056,21.12676056338028,21.12676056338028,0,0,0,53.52112676056338,25,170,5.25,3,NE,MTORG,49,68,45.3,76.3,17,179,202
2022,RWBL04654495176829,RWBL,53,4,44,0,Survive,-1,-140,Incubating,1,1,1,1,2,NA,4.225352112676056,21.12676056338028,21.12676056338028,0,0,0,53.52112676056338,25,170,5.25,3,NE,MTORG,49,68,45.3,76.3,17,179,202
2022,RWBL04654495176829,RWBL,56,3,44,0,Survive,-1,-140,Nestling,1,1,1,1,2,NA,4.225352112676056,21.12676056338028,21.12676056338028,0,0,0,53.52112676056338,25,170,5.25,3,NE,MTORG,49,68,45.3,76.3,17,179,202
2022,RWBL04654495176829,RWBL,58,2,44,0,Survive,-1,-140,Nestling,1,1,1,1,2,NA,4.225352112676056,21.12676056338028,21.12676056338028,0,0,0,53.52112676056338,25,170,5.25,3,NE,MTORG,49,68,45.3,76.3,17,179,202
2022,RWBL04654495176829,RWBL,61,3,44,1,Failed,-1,-140,Nestling,1,1,1,1,2,NA,4.225352112676056,21.12676056338028,21.12676056338028,0,0,0,53.52112676056338,25,170,5.25,3,NE,MTORG,49,68,45.3,76.3,17,179,202
2022,RWBL04655025176681,RWBL,50,2,48,0,Survive,0,-139,Incubating,0,0,0,2,2,NA,23.809523809523807,23.809523809523807,23.809523809523807,0,23.809523809523807,0,4.761904761904762,40,740,6.75,3,NE,MTORG,49,68,45.3,76.3,11,179,202
2022,RWBL04655025176681,RWBL,53,3,48,0,Survive,0,-139,Incubating,0,0,0,2,2,NA,23.809523809523807,23.809523809523807,23.809523809523807,0,23.809523809523807,0,4.761904761904762,40,740,6.75,3,NE,MTORG,49,68,45.3,76.3,11,179,202
2022,RWBL04655025176681,RWBL,56,3,48,0,Survive,0,-139,Incubating,0,0,0,2,2,NA,23.809523809523807,23.809523809523807,23.809523809523807,0,23.809523809523807,0,4.761904761904762,40,740,6.75,3,NE,MTORG,49,68,45.3,76.3,11,179,202
2022,RWBL04655025176681,RWBL,58,2,48,1,Failed,0,-139,Incubating,0,0,0,2,2,NA,23.809523809523807,23.809523809523807,23.809523809523807,0,23.809523809523807,0,4.761904761904762,40,740,6.75,3,NE,MTORG,49,68,45.3,76.3,11,179,202
2022,RWBL04654895176696,RWBL,30,3,27,0,Survive,-2,-141,Incubating,5,6,1,1,2,NA,77.98165137614679,2.7522935779816518,2.7522935779816518,0,2.7522935779816518,0,13.761467889908257,40,860,7.75,3,NE,MTORG,49,68,45.3,76.3,0,179,202
2022,RWBL04654895176696,RWBL,33,3,27,1,Failed,-2,-141,Incubating,5,6,1,1,2,NA,77.98165137614679,2.7522935779816518,2.7522935779816518,0,2.7522935779816518,0,13.761467889908257,40,860,7.75,3,NE,MTORG,49,68,45.3,76.3,0,179,202
2022,RWBL04653535176580,RWBL,8,2,6,0,Survive,-3,-142,Incubating,0,0,0,1,3,NA,0,0,0,NA,0,100,0,NA,1350,11.25,3,NE,MTORG,49,68,45.3,76.3,0,179,202
2022,RWBL04653535176580,RWBL,12,4,6,0,Survive,-3,-142,Incubating,0,0,0,1,3,NA,0,0,0,NA,0,100,0,NA,1350,11.25,3,NE,MTORG,49,68,45.3,76.3,0,179,202
2022,RWBL04653535176580,RWBL,15,3,6,0,Survive,-3,-142,Incubating,0,0,0,1,3,NA,0,0,0,NA,0,100,0,NA,1350,11.25,3,NE,MTORG,49,68,45.3,76.3,0,179,202
2022,RWBL04653535176580,RWBL,19,4,6,0,Survive,-3,-142,Incubating,0,0,0,1,3,NA,0,0,0,NA,0,100,0,NA,1350,11.25,3,NE,MTORG,49,68,45.3,76.3,0,179,202
2022,RWBL04653535176580,RWBL,22,3,6,0,Survive,-3,-142,Incubating,0,0,0,1,3,NA,0,0,0,NA,0,100,0,NA,1350,11.25,3,NE,MTORG,49,68,45.3,76.3,0,179,202
2022,RWBL04653535176580,RWBL,25,3,6,0,Survive,-3,-142,Nestling,0,0,0,1,3,NA,0,0,0,NA,0,100,0,NA,1350,11.25,3,NE,MTORG,49,68,45.3,76.3,0,179,202
2022,RWBL04653535176580,RWBL,27,2,6,0,Survive,-3,-142,Nestling,0,0,0,1,3,NA,0,0,0,NA,0,100,0,NA,1350,11.25,3,NE,MTORG,49,68,45.3,76.3,0,179,202
2022,RWBL04653535176580,RWBL,30,3,6,1,Failed,-3,-142,Nestling,0,0,0,1,3,NA,0,0,0,NA,0,100,0,NA,1350,11.25,3,NE,MTORG,49,68,45.3,76.3,0,179,202
2022,RWBL04656075176969,RWBL,8,3,5,0,Survive,-7,-146,Laying,1,2,1,0,0,NA,0,0,0,15,0,85,0,NA,1170,15,3,NE,MTORG,49,68,45.3,76.3,0,179,202
2022,RWBL04656075176969,RWBL,12,4,5,0,Survive,-7,-146,Incubating,1,2,1,0,2,NA,0,0,0,15,0,85,0,NA,1170,15,3,NE,MTORG,49,68,45.3,76.3,0,179,202
2022,RWBL04656075176969,RWBL,15,3,5,0,Survive,-7,-146,Incubating,1,2,1,0,2,NA,0,0,0,15,0,85,0,NA,1170,15,3,NE,MTORG,49,68,45.3,76.3,0,179,202
2022,RWBL04656075176969,RWBL,19,4,5,0,Survive,-7,-146,Incubating,1,2,1,0,2,NA,0,0,0,15,0,85,0,NA,1170,15,3,NE,MTORG,49,68,45.3,76.3,0,179,202
2022,RWBL04656075176969,RWBL,22,3,5,0,Survive,-7,-146,Incubating,1,2,1,0,2,NA,0,0,0,15,0,85,0,NA,1170,15,3,NE,MTORG,49,68,45.3,76.3,0,179,202
2022,RWBL04656075176969,RWBL,25,3,5,0,Survive,-7,-146,Nestling,1,2,1,0,2,NA,0,0,0,15,0,85,0,NA,1170,15,3,NE,MTORG,49,68,45.3,76.3,0,179,202
2022,RWBL04656075176969,RWBL,27,2,5,1,Failed,-7,-146,Nestling,1,2,1,0,2,NA,0,0,0,15,0,85,0,NA,1170,15,3,NE,MTORG,49,68,45.3,76.3,0,179,202
2022,RWBL04653765176590,RWBL,30,3,27,0,Survive,10,-129,Incubating,3,3,1,2,1,NA,0,0,0,3.4090909090909087,0,96.5909090909091,0,NA,1210,10,3,NE,MTORG,49,68,45.3,76.3,0,179,202
2022,RWBL04653765176590,RWBL,33,3,27,0,Survive,10,-129,Nestling,3,3,1,2,1,NA,0,0,0,3.4090909090909087,0,96.5909090909091,0,NA,1210,10,3,NE,MTORG,49,68,45.3,76.3,0,179,202
2022,RWBL04653765176590,RWBL,36,3,27,1,Failed,10,-129,Nestling,3,3,1,2,1,NA,0,0,0,3.4090909090909087,0,96.5909090909091,0,NA,1210,10,3,NE,MTORG,49,68,45.3,76.3,0,179,202
